Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
NC_011292	Mycobacterium phage Konstantine	95	16	3.16
NC_020489	Rhodobacter phage RcapNL	64	12	9.38
NC_015253	Brochothrix phage A9	199	22	3.52
NC_024794	Escherichia phage vB_EcoM_PhAPEC2	254	54	7.87
NC_004456	Vibrio phage VHML	57	15	10.53
NC_016163	Yersinia phage phiR1-37	367	64	3.00
NC_007149	Vibriophage VP4	31	66	35.48
NC_025115	Ralstonia phage RSY1	49	27	8.16
NC_005841	Enterobacteria phage ST104	63	42	14.29
NC_009526	Staphylococcus phage 80alpha	73	20	5.48
NC_027996	Campylobacter virus CPt10	196	11	3.06
NC_019512	Helicobacter phage 1961P	33	11	6.06
NC_015286	Synechococcus phage Syn19	215	297	29.77
NC_007049	Staphylococcus phage 53	74	19	5.41
NC_022058	Mycobacterium phage Adzzy	96	47	7.29
NC_006963	Blackberry yellow vein-associated virus	9	6	11.11
NC_013647	Klebsiella phage KP32	44	61	25.00
NC_008168	Choristoneura occidentalis granulovirus	116	2	1.72
NC_022096	Pseudomonas phage PaBG	308	117	3.90
NC_009877	Mycobacterium phage U2	81	49	7.41
NC_008603	Paramecium bursaria Chlorella virus FR483	849	311	4.00
NC_019421	Clostridium phage phiMMP02	76	73	5.26
NC_001798	Human alphaherpesvirus 2	77	8	3.90
NC_023615	Invertebrate iridescent virus 22	174	77	5.17
NC_013648	Enterococcus phage phiFL3A	64	31	10.94
NC_006949	Enterobacteria phage ES18	79	35	10.13
NC_006565	Lactobacillus virus LP65	165	9	3.03
NC_023552	Mycobacterium phage Donovan	78	31	11.54
NC_023725	Mycobacterium phage Nappy	234	67	5.56
NC_019719	Enterobacteria phage HK633	67	30	16.42
NC_022982	Xylella phage Paz	51	11	9.80
NC_005893	Lactobacillus phage phiAT3	55	3	5.45
NC_021311	Mycobacterium phage Phaux	145	66	6.90
NC_008376	Geobacillus phage GBSV1	54	22	12.96
NC_023587	Synechococcus phage ACG-2014h	221	286	28.05
NC_019550	Liberibacter phage SC2	47	33	12.77
NC_020841	Psychrobacter phage pOW20-A	71	108	15.49
NC_008194	Mycobacterium virus 244	142	57	6.34
NC_003310	Monkeypox virus Zaire-96-I-16	191	40	2.62
NC_015271	Salmonella phage Vi06	47	20	21.28
NC_003309	Burkholderia virus phiE125	71	58	16.90
NC_019525	Bdellovibrio phage phi1422	76	21	6.58
NC_024329	Podovirus Lau218	48	74	18.75
NC_025452	Dickeya phage RC-2014	196	29	8.16
NC_018838	Propionibacterium phage P100_A	45	5	4.44
NC_022071	Mycobacterium phage Crossroads	133	17	4.51
NC_003313	Vibrio phage K139	44	1	2.27
NC_014636	Aeromonas phage phiAS5	343	60	6.41
NC_005178	Pseudomonas phage D3112	55	2	3.64
NC_013638	Pseudomonas phage phi-2	43	10	4.65
NC_018504	Apocheima cinerarium nucleopolyhedrovirus	117	2	1.71
NC_012868	Enterobacteria phage St-1	11	5	45.45
NC_023699	Mycobacterium phage SG4	105	55	5.71
NC_015228	Sweet potato vein clearing virus	9	1	11.11
NC_023554	Mycobacterium phage JAMaL	98	15	5.10
NC_023577	Mycobacterium phage Obama12	89	112	15.73
NC_023706	Rhodococcus phage ReqiDocB7	105	13	3.81
NC_022763	Bacillus phage Spock	283	53	4.24
NC_004117	Mamestra configurata nucleopolyhedrovirus B	168	9	2.38
NC_011269	Mycobacterium phage ScottMcG	221	67	6.33
NC_023720	Mycobacterium phage Perseus	92	39	8.70
NC_003494	Infectious spleen and kidney necrosis virus	125	19	2.40
NC_024784	Escherichia phage vB_EcoS_AHS24	81	20	7.41
NC_019398	Cronobacter phage vB_CsaM_GAP161	275	56	9.45
NC_007383	Trichoplusia ni single nucleopolyhedrovirus	145	8	2.07
NC_005891	Vibrio phage VP5	48	16	10.42
NC_022338	Propionibacterium phage PHL060L00	46	1	2.17
NC_017974	Cronobacter phage CR3	265	52	6.04
NC_024697	Aureococcus anophagefferens virus	376	261	7.98
NC_004812	Macacine alphaherpesvirus 1	75	9	2.67
NC_022067	Mycobacterium phage Wanda	240	93	5.00
NC_023602	Mycobacterium phage 32HC	86	42	4.65
NC_018875	Epinotia aporema granulovirus	132	3	0.76
NC_016072	Megavirus chiliensis	1120	682	6.70
NC_021558	Paenibacillus phage PG1	67	6	4.48
NC_023502	Rhizobium phage vB_RleS_L338C	181	52	4.97
NC_023607	Mycobacterium phage 40AC	90	87	11.11
NC_025467	Enterococcus phage vB_Efae230P-4	25	2	4.00
NC_022323	Escherichia phage JES2013	220	27	5.00
NC_000929	Escherichia virus Mu	55	5	5.45
NC_023426	Anomala cuprea entomopoxvirus	263	124	1.90
NC_008574	Ralstonia phage RSM1	15	4	6.67
NC_020848	Vibrio phage VBP47	115	42	10.43
NC_019513	Staphylococcus phage SMSAP5	42	32	19.05
NC_021348	Mycobacterium phage ArcherS7	237	61	5.06
NC_021344	Escherichia phage Lw1	273	45	6.96
NC_025449	Escherichia phage ECML-134	270	34	5.19
NC_023610	Erwinia phage PhiEaH1	241	35	2.07
NC_025466	Shewanella sp. phage 3/49	70	36	12.86
NC_018272	Nonlabens phage P12024L	58	142	37.93
NC_018847	Propionibacterium phage ATCC29399B_T	46	1	2.17
NC_024451	Armadillidium vulgare iridescent virus	203	66	5.42
NC_025458	Shewanella sp. phage 1/41	69	19	11.59
NC_015457	Shigella phage Shfl2	265	34	5.28
NC_015719	Escherichia phage K30	49	53	20.41
NC_012788	Mycobacterium phage Angel	61	10	1.64
NC_013643	Enterococcus phage phiFL2A	63	24	6.35
NC_023553	Mycobacterium phage Echild	100	52	8.00
NC_005882	Burkholderia virus BcepMu	53	17	5.66
NC_019506	Clostridium phage phiCP13O	55	22	9.09
NC_014637	Cafeteria roenbergensis virus BV-PW1	544	507	11.58
NC_013694	Mycobacterium phage Peaches	86	126	16.28
NC_022968	Escherichia phage 4MG	271	54	5.90
NC_019921	Staphylococcus phage phi5967PVL	42	3	4.76
NC_024486	Duck adenovirus 2	36	1	2.78
NC_007048	Staphylococcus phage 69	69	4	2.90
NC_013645	Streptococcus phage Abc2	48	6	6.25
NC_015285	Prochlorococcus phage Syn33	227	310	29.52
NC_023600	Mycobacterium phage Jolie1	98	14	4.08
NC_020199	Staphylococcus phage phi7401PVL	44	38	20.45
NC_012223	Escherichia virus SSL2009a	67	25	10.45
NC_019448	Staphylococcus phage GH15	214	33	3.74
NC_024203	Lactococcus phage P092	76	1	1.32
NC_023568	Vibrio phage VH7D	327	106	10.70
NC_019723	Enterobacteria phage HK630	69	12	10.14
NC_024789	Escherichia phage vB_EcoS_AKS96	74	27	6.76
NC_008203	Mycobacterium phage Che12	98	32	7.14
NC_016658	Cyanophage NATL1A-7	65	21	15.38
NC_001909	Lactococcus virus bIL170	64	12	4.69
NC_001491	Equid alphaherpesvirus 1	80	9	1.25
NC_011166	Pseudomonas phage LMA2	94	146	70.21
NC_024217	Nitrincola phage 1M3-16	144	50	9.72
NC_020838	Synechococcus phage S-RIP2	54	124	24.07
NC_006883	Prochlorococcus phage P-SSM2	334	534	25.45
NC_021332	Staphylococcus phage StauST398-3	69	10	4.35
NC_001271	Yersinia phage phiYeO3-12	59	98	22.03
NC_007151	Chrysodeixis chalcites nucleopolyhedrovirus	151	10	1.99
NC_019450	Pseudomonas phage JG004	161	46	11.18
NC_005857	Klebsiella phage phiKO2	64	41	15.62
NC_004928	Enterobacteria phage RB69	273	35	5.49
NC_023701	Mycobacterium phage Acadian	97	39	7.22
NC_015294	Pseudomonas phage PAK_P1	181	49	10.50
NC_017940	European catfish virus	136	51	5.15
NC_023710	Mycobacterium phage RidgeCB	94	37	6.38
NC_020843	Vibrio phage 11895-B1	196	43	5.61
NC_024386	Leuconostoc phage phiLN25	41	6	4.88
NC_004003	Goatpox virus Pellor	150	12	2.00
NC_003389	Swinepox virus	150	35	3.33
NC_020486	Synechococcus phage S-RIM8 A.HR1	211	312	28.44
NC_003356	Enterobacteria phage phiP27	58	53	10.34
NC_023580	Mycobacterium phage Saal	101	19	2.97
NC_020846	Vibrio phage pYD21-A	74	26	8.11
NC_021319	Halovirus HCTV-2	86	14	1.16
NC_020847	Prochlorococcus phage MED4-184	59	43	23.73
NC_026928	Synechococcus phage ACG-2014e	213	306	27.70
NC_021561	Vibrio phage pYD38-B	57	24	12.28
NC_019721	Enterobacterial phage mEp390	59	45	16.95
NC_007064	Staphylococcus phage 92	64	10	6.25
NC_005337	Bovine papular stomatitis virus	131	6	1.53
NC_022086	Mycobacterium phage LittleCherry	87	66	9.20
NC_023571	Oenococcus phage phiS11	59	21	3.39
NC_001847	Bovine alphaherpesvirus 1	70	15	2.86
NC_025471	Idiomarinaceae phage Phi1M2-2	65	18	10.77
NC_000852	Paramecium bursaria Chlorella virus 1	802	324	4.49
NC_008201	Mannheimia phage phiMHaA1	49	18	8.16
NC_023606	Mycobacterium phage CRB1	94	52	7.45
NC_015283	Prochlorococcus phage P-RSM4	239	373	29.71
NC_012027	Mycobacterium phage Phlyer	103	20	5.83
NC_023503	Streptococcus phage 20617	68	45	4.41
NC_023693	Enterobacteria phage phi92	250	196	8.80
NC_008252	Neodiprion abietis NPV	93	1	1.08
NC_004105	Ectromelia virus	173	42	2.89
NC_021067	Vibrio phage helene 12B3	263	67	4.18
NC_002665	Bovine gammaherpesvirus 4	79	1	1.27
NC_009603	Microbacterium phage Min1	77	45	7.79
NC_008206	Mycobacterium phage Wildcat	148	38	6.08
NC_021794	Cellulophaga phage phi18:3	123	70	14.63
NC_016656	Cyanophage P-SSP2	56	30	19.64
NC_027351	Salmonella phage SSE121	242	51	8.68
NC_019422	Clostridium phage phiMMP04	51	10	9.80
NC_007051	Staphylococcus phage 2638A	57	34	10.53
NC_019710	Enterobacteria phage HK140	71	25	12.68
NC_011756	Pseudomonas phage SN	92	144	69.57
NC_012742	Xanthomonas phage phiL7	58	50	18.97
NC_008562	Microcystis aeruginosa phage Ma-LMM01	184	50	5.98
NC_023569	Vibrio phage SHOU24	96	13	5.21
NC_015208	Pseudomonas phage phi15	50	30	18.00
NC_006820	Synechococcus phage S-PM2	244	253	25.41
NC_008584	Thermus phage phiYS40	170	64	5.29
NC_000872	Streptococcus phage Sfi21	50	1	2.00
NC_002361	Columbid circovirus	5	1	20.00
NC_009233	Heliothis virescens ascovirus 3e	180	5	1.67
NC_021539	Listeria phage LP-030-2	69	13	4.35
NC_011216	Burkholderia phage KS10	49	12	4.08
NC_020844	Salicola phage CGphi29	64	100	20.31
NC_020870	Leuconostoc phage phiLN04	39	2	5.13
NC_018280	Celeribacter phage P12053L	56	202	32.14
NC_009811	Listeria virus A511	190	13	2.11
NC_004112	Lactobacillus phage A2	61	14	8.20
NC_020204	Klebsiella phage JD001	68	30	10.29
NC_018277	Staphylococcus phage SpaA1	63	10	6.35
NC_019517	Escherichia phage FV3	218	23	4.59
NC_024136	Mycobacterium phage Seabiscuit	94	35	8.51
NC_013594	Escherichia phage D108	57	4	3.51
NC_017984	Acinetobacter bacteriophage AP22	89	81	10.11
NC_014662	Enterobacter phage CC31	279	44	7.17
NC_019455	Haemophilus phage SuMu	55	3	5.45
NC_015273	Burkholderia phage KS14	44	5	6.82
NC_019725	Escherichia phage ADB-2	78	14	3.85
NC_024207	Bacillus phage Evoli	294	32	1.70
NC_008798	Staphylococcus phage phiETA2	69	5	2.90
NC_005309	Canarypox virus	328	30	2.74
NC_008363	Lactococcus virus P008	58	16	3.45
NC_019419	Escherichia virus JL1	60	26	13.33
NC_023556	Achromobacter phage JWAlpha	91	12	7.69
NC_024368	Mycobacterium phage Pinto	87	56	9.20
NC_016655	Rhodococcus phage REQ1	85	25	7.06
NC_024361	Streptococcus phage DCC1738	56	10	8.93
NC_005282	Salmonella phage FelixO1	131	38	9.92
NC_021249	Choristoneura rosaceana entomopoxvirus 'L'	296	20	3.04
NC_011645	Bacillus phage TP21-L	56	27	8.93
NC_021061	Mycobacterium phage Butters	66	23	7.58
NC_008152	Escherichia virus K1-5	52	13	5.77
NC_007057	Staphylococcus phage 96	74	7	2.70
NC_016158	Escherichia phage HK639	76	27	10.53
NC_022971	Pseudomonas phage phiIBB-PAA2	69	147	10.14
NC_006884	Prochlorococcus phage P-SSM4	221	340	29.41
NC_025470	Shewanella sp. phage 1/40	236	34	5.08
NC_018860	Bacillus phage BCP78	227	55	2.20
NC_007821	Enterobacteria phage WA13 sensu lato	10	4	40.00
NC_009235	Burkholderia virus phi6442	71	33	7.04
NC_021533	Mycobacterium phage BTCU-1	73	58	12.33
NC_001697	Haemophilus phage HP1	42	13	9.52
NC_007045	Staphylococcus phage PT1028	22	1	4.55
NC_013055	Burkholderia phage KS9	50	83	18.00
NC_009236	Burkholderia virus phiE122	50	14	10.00
NC_024150	California sea lion adenovirus 1	30	4	3.33
NC_023591	Mycobacterium phage Adler	125	17	6.40
NC_021329	Halovirus HRTV-4	73	17	2.74
NC_020082	Edwardsiella phage MSW-3	66	22	9.09
NC_019930	Tetrasphaera phage TJE1	66	15	6.06
NC_007809	Pseudomonas phage M6	85	80	14.12
NC_018843	Salmonella phage SSU5	130	110	13.08
NC_003907	Vibrio phage VpV262	67	5	7.46
NC_006940	Salmonella phage SS3e	58	8	6.90
NC_007967	Streptomyces phage mu1/6	52	9	5.77
NC_023609	Mycobacterium phage RhynO	73	79	17.81
NC_011802	Salmonella phage SE1	67	44	17.91
NC_004156	Helicoverpa zea nudivirus 2	113	57	5.31
NC_019909	Yersinia phage phiR1-RT	262	39	7.25
NC_013692	Pseudomonas phage LIT1	90	13	4.44
NC_024355	Staphylococcus phage 6ec	142	47	9.86
NC_023867	Dragonfly associated cyclovirus 4	2	1	50.00
NC_024382	Alcelaphine gammaherpesvirus 2	70	5	1.43
NC_028854	Paenibacillus phage Sitara	74	42	12.16
NC_011167	Bacillus virus IEBH	86	4	3.49
NC_022766	Bacillus virus Glittering	78	46	5.13
NC_010583	Escherichia virus EPS7	170	42	7.65
NC_018282	Pseudomonas phage MP1412	77	81	16.88
NC_004775	Salmonella phage epsilon15	51	59	23.53
NC_004629	Pseudomonas phage phiKZ	306	22	1.96
NC_024138	Mycobacterium phage MosMoris	111	19	5.41
NC_009814	Listeria phage P35	56	6	5.36
NC_021309	Mycobacterium phage Phrux	141	62	6.38
NC_007917	Clostridium virus phiCD119	79	33	7.59
NC_019443	Synechococcus phage metaG-MbCM1	234	244	26.50
NC_006549	Singapore grouper iridovirus	162	55	3.70
NC_023614	Croceibacter phage P2559Y	51	69	21.57
NC_008617	Staphylococcus phage phiNM3	65	13	9.23
NC_003287	Enterobacteria phage M13	10	5	10.00
NC_015049	Cricetid gammaherpesvirus 2	82	6	2.44
NC_024384	Listeria phage LP-030-3	73	4	2.74
NC_011285	Mycobacterium phage Troll4	84	11	4.76
NC_011272	Mycobacterium phage Rizal	220	63	5.91
NC_011041	Escherichia phage V5	233	23	4.72
NC_011976	Salmonella phage epsilon34	73	44	12.33
NC_018519	Blueberry virus A	10	3	10.00
NC_028788	Paenibacillus phage Diva	60	39	10.00
NC_023499	Staphylococcus phage StauST398-4	65	12	9.23
NC_017969	Escherichia virus AKFV33	160	59	10.00
NC_015293	Pseudoalteromonas phage H105/1	52	37	11.54
NC_022775	Lactobacillus phage phiJB	46	7	6.52
NC_004002	Sheeppox virus	148	13	2.03
NC_004745	Yersinia phage L-413C	40	3	2.50
NC_024148	Mycobacterium phage Phantastic	91	66	12.09
NC_005210	Beet pseudoyellows virus	8	3	12.50
NC_023593	Escherichia phage KBNP1711	126	69	10.32
NC_019768	Enterobacteria phage HK106	65	30	18.46
NC_009011	Spodoptera frugiperda multiple nucleopolyhedrovirus	143	2	1.40
NC_001266	Rabbit fibroma virus	165	9	1.82
NC_026926	Synechococcus phage ACG-2014j	230	294	26.09
NC_010808	Staphylococcus phage phiMR25	70	19	7.14
NC_021788	Cellulophaga phage phi4:1	197	21	6.09
NC_020080	Klebsiella phage KP27	276	51	7.61
NC_021795	Cellulophaga phage phi17:1	65	21	12.31
NC_016924	Cotia virus SPAn232	185	6	1.08
NC_023548	Citrobacter phage CR8	57	56	17.54
NC_021247	Adoxophyes honmai entomopoxvirus 'L'	247	13	1.62
NC_021335	Halovirus HRTV-7	105	2	0.95
NC_014791	Ugandan cassava brown streak virus	2	3	50.00
NC_011357	Stx2-converting phage 1717	77	43	14.29
NC_015270	Enterococcus phage EFRM31	23	4	4.35
NC_011534	Kluyvera phage Kvp1	47	64	27.66
NC_023704	Mycobacterium phage Doom	85	35	8.24
NC_009815	Listeria phage A006	62	8	4.84
NC_018269	Marinomonas phage P12026	54	69	16.67
NC_015279	Synechococcus phage S-SM2	267	422	33.71
NC_021774	Salmonella phage FSL SP-004	40	3	2.50
NC_027383	Escherichia phage YD-2008.s	62	23	12.90
NC_015938	Salmonella phage 7-11	151	121	13.25
NC_020231	Caviid betaherpesvirus 2	110	2	1.82
NC_007019	Streptococcus phage 2972	44	9	2.27
NC_023561	Enterobacter phage PG7	294	42	7.14
NC_023498	Mycobacterium phage Validus	105	15	6.67
NC_009127	Cyprinid herpesvirus 3	163	19	1.84
NC_004686	Mycobacterium phage Che9d	111	64	6.31
NC_019509	Cronobacter virus ESP29491	45	17	15.56
NC_020871	Listeria phage vB_LmoM_AG20	178	12	1.69
NC_011039	Mycobacterium phage Predator	92	11	5.43
NC_005906	Neodiprion lecontei nucleopolyhedrovirus	89	1	1.12
NC_013598	Streptococcus phage Alq132	44	5	2.27
NC_006268	Sulfolobus virus STSV1	74	5	4.05
NC_021784	Thermus phage phi OH2	60	27	11.67
NC_010342	Halomonas phage phiHAP-1	46	28	13.04
NC_010495	Salmonella phage Vi II-E1	51	36	13.73
NC_021780	Salmonella phage FSLSP088	70	44	11.43
NC_013036	Anatid alphaherpesvirus 1	77	4	1.30
NC_023744	Mycobacterium phage DS6A	97	13	6.19
NC_016447	Aotine betaherpesvirus 1	146	1	0.68
NC_023566	Rhizobium phage vB_RglS_P106B	95	40	11.58
NC_022563	Squirrelpox virus	141	5	1.42
NC_010276	Orgyia leucostigma nucleopolyhedrovirus	135	15	1.48
NC_019918	Pseudomonas phage vB_PaeM_C2-10_Ab1	158	44	10.76
NC_003345	Halorubrum phage HF2	114	12	4.39
NC_023718	Pseudomonas phage phiPto-bp6g	68	2	1.47
NC_005069	Yersinia phage PY54	67	22	8.96
NC_015251	Aeromonas virus 65	437	54	3.89
NC_023612	Geobacillus phage GBK2	62	89	11.29
NC_012783	Cercopithecine betaherpesvirus 5	177	1	0.56
NC_023501	Bacillus phage BPS10C	271	6	1.48
NC_007709	Xanthomonas phage OP1	59	39	18.64
NC_019538	Aeromonas phage CC2	427	33	2.34
NC_021334	Mycobacterium phage WIVsmall	83	20	6.02
NC_016567	Vibrio phage SIO-2	115	5	1.74
NC_021853	Lactococcus phage 340	58	12	3.45
NC_013600	Sodalis phage SO1	59	24	11.86
NC_006623	Gallid alphaherpesvirus 1	79	6	1.27
NC_023681	Mamestra brassicae multiple nucleopolyhedrovirus	159	9	2.52
NC_007605	Human gammaherpesvirus 4	95	8	1.05
NC_011703	Pseudomonas phage 14-1	90	145	71.11
NC_022965	Mycobacterium phage CloudWang3	103	79	10.68
NC_021070	Vibrio phage martha 12B12	51	3	5.88
NC_014765	Bathycoccus sp. RCC1105 virus BpV1	203	319	20.20
NC_005263	Burkholderia virus Bcep1	71	26	9.86
NC_019514	Erwinia phage vB_EamP-S6	115	16	4.35
NC_005833	Escherichia virus T1	78	29	10.26
NC_024450	Falconid herpesvirus 1	130	11	2.31
NC_015721	Bdellovibrio phage phi1402	42	3	2.38
NC_011551	Bacteriophage APSE-2	41	64	24.39
NC_023567	Klebsiella phage F19	51	15	7.84
NC_002577	Gallid alphaherpesvirus 3	76	5	2.63
NC_008717	Pseudomonas phage DMS3	52	3	5.77
NC_002656	Mycobacterium phage Bxb1	86	34	8.14
NC_018085	Bacillus phage BtCS33	57	20	10.53
NC_003050	Streptococcus phage MM1	53	24	5.66
NC_015960	Yokapox virus	186	33	2.69
NC_021789	Cellulophaga phage phi19:3	129	65	15.50
NC_019502	Bacillus phage phIS3501	51	15	9.80
NC_016164	Synechococcus phage S-CBS1	43	58	23.26
NC_019709	Enterobacteria phage mEpX1	66	27	15.15
NC_021535	Mycobacterium phage Jobu08	85	82	12.94
NC_011399	Ralstonia phage RSM3	14	4	7.14
NC_016761	Salmonella phage SPN1S	52	61	23.08
NC_024375	Listeria phage LP-026	114	18	4.39
NC_025429	Rhizobium phage vB_RleM_P10VF	257	78	7.78
NC_023712	Mycobacterium phage Firecracker	128	28	4.69
NC_003327	Vibrio phage VSK	14	1	7.14
NC_021863	Staphylococcus phage SA13	62	5	4.84
NC_021302	Mycobacterium phage Fishburne	77	32	10.39
NC_001962	Bombyx mori nucleopolyhedrovirus	143	2	1.40
NC_017976	Bacillus phage PBC1	50	34	10.00
NC_015456	Shigella virus Shfl1	80	17	6.25
NC_018836	Streptomyces phage phiHau3	72	31	12.50
NC_020477	Bacillus virus Eoghan	75	50	4.00
NC_025459	Aeromonas phage pAh6-C	86	11	4.65
NC_011421	Bacillus virus SPO1	204	84	4.90
NC_022069	Mycobacterium phage Jabbawokkie	106	26	3.77
NC_020158	Halovirus HVTV-1	173	48	5.20
NC_015265	Burkholderia phage KS5	46	8	10.87
NC_008208	Aeromonas virus 25	242	50	10.33
NC_008207	Mycobacterium phage Catera	218	64	5.50
NC_025425	Enterobacteria phage GEC-3S	277	40	8.30
NC_011616	Spodoptera litura nucleopolyhedrovirus II	147	6	2.04
NC_023715	Yersinia phage Yep-phi	45	66	31.11
NC_019508	Clostridium phage phiCP34O	52	24	9.62
NC_004736	Vibrio phage VGJphi	13	1	7.69
NC_012756	Streptococcus phage PH10	54	1	1.85
NC_020481	Pelagibacter phage HTVC010P	64	122	32.81
NC_019919	Yersinia phage phiR201	166	59	9.04
NC_023747	Mycobacterium phage BarrelRoll	95	16	6.32
NC_011308	Listeria phage P40	62	4	3.23
NC_008586	Ectropis obliqua nucleopolyhedrovirus	126	6	2.38
NC_008195	Mycobacterium phage Cooper	99	7	4.04
NC_018279	Salmonella phage vB_SosS_Oslo	79	74	12.66
NC_007646	Ovine gammaherpesvirus 2	73	8	1.37
NC_020857	Cyanophage MED4-117	63	45	22.22
NC_019496	Clostridium phage phiCP26F	49	24	10.20
NC_022915	Ralstonia phage RSK1	54	77	22.22
NC_004165	Bacillus virus B103	17	25	5.88
NC_011022	Mycobacterium phage DD5	87	45	5.75
NC_022988	Mycobacterium phage Bruin	141	65	7.09
NC_002642	Yaba-like disease virus	152	16	3.29
NC_023588	Stenotrophomonas phage Smp131	46	10	8.70
NC_020081	Bacillus phage phiAGATE	210	74	5.71
NC_001895	Escherichia virus P2	43	8	6.98
NC_019511	Staphylococcus virus SA11	186	26	4.30
NC_022060	Mycobacterium phage Velveteen	100	19	4.00
NC_022914	Staphylococcus phage phiRS7	62	32	11.29
NC_018850	Pseudomonas phage UFV-P2	75	119	9.33
NC_022752	Salmonella phage SETP13	69	14	8.70
NC_019488	Salmonella phage RE-2010	47	13	8.51
NC_015933	Escherichia phage vB_EcoP_G7C	79	6	6.33
NC_022059	Mycobacterium phage DrDrey	144	61	6.94
