Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
NC_024329	Podovirus Lau218	48	100	22.92
NC_025452	Dickeya phage RC-2014	196	23	5.10
NC_018838	Propionibacterium phage P100_A	45	6	6.67
NC_022071	Mycobacterium phage Crossroads	133	24	7.52
NC_003313	Vibrio phage K139	44	3	4.55
NC_014636	Aeromonas phage phiAS5	343	103	8.75
NC_005178	Pseudomonas phage D3112	55	5	5.45
NC_013638	Pseudomonas phage phi-2	43	6	4.65
NC_018504	Apocheima cinerarium nucleopolyhedrovirus	117	2	1.71
NC_023699	Mycobacterium phage SG4	105	81	7.62
NC_023554	Mycobacterium phage JAMaL	98	16	6.12
NC_023577	Mycobacterium phage Obama12	89	105	13.48
NC_023706	Rhodococcus phage ReqiDocB7	105	19	4.76
NC_022763	Bacillus phage Spock	283	94	3.89
NC_004117	Mamestra configurata nucleopolyhedrovirus B	168	22	3.57
NC_011269	Mycobacterium phage ScottMcG	221	98	4.98
NC_023720	Mycobacterium phage Perseus	92	31	7.61
NC_003494	Infectious spleen and kidney necrosis virus	125	31	3.20
NC_024784	Escherichia phage vB_EcoS_AHS24	81	15	7.41
NC_019398	Cronobacter phage vB_CsaM_GAP161	275	106	10.55
NC_007383	Trichoplusia ni single nucleopolyhedrovirus	145	16	2.07
NC_005891	Vibrio phage VP5	48	31	14.58
NC_018841	Propionibacterium phage P101A	47	1	2.13
NC_022338	Propionibacterium phage PHL060L00	46	1	2.17
NC_017974	Cronobacter phage CR3	265	69	6.04
NC_024697	Aureococcus anophagefferens virus	376	425	10.37
NC_004812	Macacine alphaherpesvirus 1	75	15	1.33
NC_022067	Mycobacterium phage Wanda	240	134	6.25
NC_023602	Mycobacterium phage 32HC	86	34	4.65
NC_018875	Epinotia aporema granulovirus	132	6	2.27
NC_016072	Megavirus chiliensis	1120	1245	8.39
NC_021558	Paenibacillus phage PG1	67	7	4.48
NC_023502	Rhizobium phage vB_RleS_L338C	181	101	9.39
NC_023607	Mycobacterium phage 40AC	90	70	13.33
NC_022323	Escherichia phage JES2013	220	32	7.27
NC_000929	Escherichia virus Mu	55	10	9.09
NC_023426	Anomala cuprea entomopoxvirus	263	236	1.52
NC_008574	Ralstonia phage RSM1	15	5	6.67
NC_020848	Vibrio phage VBP47	115	50	8.70
NC_019513	Staphylococcus phage SMSAP5	42	44	19.05
NC_021348	Mycobacterium phage ArcherS7	237	97	4.64
NC_021344	Escherichia phage Lw1	273	87	8.42
NC_025449	Escherichia phage ECML-134	270	59	8.15
NC_023610	Erwinia phage PhiEaH1	241	82	4.15
NC_025466	Shewanella sp. phage 3/49	70	47	10.00
NC_018272	Nonlabens phage P12024L	58	94	39.66
NC_018847	Propionibacterium phage ATCC29399B_T	46	2	4.35
NC_024451	Armadillidium vulgare iridescent virus	203	108	5.91
NC_025458	Shewanella sp. phage 1/41	69	31	17.39
NC_015457	Shigella phage Shfl2	265	52	7.55
NC_015719	Escherichia phage K30	49	34	22.45
NC_012788	Mycobacterium phage Angel	61	20	4.92
NC_013643	Enterococcus phage phiFL2A	63	27	9.52
NC_023553	Mycobacterium phage Echild	100	58	11.00
NC_005882	Burkholderia virus BcepMu	53	35	9.43
NC_019506	Clostridium phage phiCP13O	55	16	7.27
NC_014637	Cafeteria roenbergensis virus BV-PW1	544	883	11.76
NC_013694	Mycobacterium phage Peaches	86	108	15.12
NC_022968	Escherichia phage 4MG	271	75	7.75
NC_019921	Staphylococcus phage phi5967PVL	42	5	9.52
NC_024486	Duck adenovirus 2	36	3	2.78
NC_007048	Staphylococcus phage 69	69	5	4.35
NC_013645	Streptococcus phage Abc2	48	2	4.17
NC_015285	Prochlorococcus phage Syn33	227	425	32.60
NC_023600	Mycobacterium phage Jolie1	98	23	7.14
NC_020199	Staphylococcus phage phi7401PVL	44	49	20.45
NC_012223	Escherichia virus SSL2009a	67	43	16.42
NC_019448	Staphylococcus phage GH15	214	58	4.67
NC_003679	Border disease virus	1	1	100.00
NC_024203	Lactococcus phage P092	76	1	1.32
NC_023568	Vibrio phage VH7D	327	169	12.23
NC_019723	Enterobacteria phage HK630	69	43	23.19
NC_024789	Escherichia phage vB_EcoS_AKS96	74	22	8.11
NC_008203	Mycobacterium phage Che12	98	33	8.16
NC_016658	Cyanophage NATL1A-7	65	38	16.92
NC_001909	Lactococcus virus bIL170	64	9	1.56
NC_001491	Equid alphaherpesvirus 1	80	26	2.50
NC_011166	Pseudomonas phage LMA2	94	220	96.81
NC_024217	Nitrincola phage 1M3-16	144	46	9.03
NC_020838	Synechococcus phage S-RIP2	54	150	22.22
NC_006883	Prochlorococcus phage P-SSM2	334	867	29.64
NC_021332	Staphylococcus phage StauST398-3	69	14	8.70
NC_001271	Yersinia phage phiYeO3-12	59	50	27.12
NC_007151	Chrysodeixis chalcites nucleopolyhedrovirus	151	26	2.65
NC_019450	Pseudomonas phage JG004	161	35	8.07
NC_005857	Klebsiella phage phiKO2	64	58	18.75
NC_004928	Enterobacteria phage RB69	273	59	8.79
NC_023701	Mycobacterium phage Acadian	97	41	7.22
NC_015294	Pseudomonas phage PAK_P1	181	34	7.18
NC_017940	European catfish virus	136	88	5.88
NC_023710	Mycobacterium phage RidgeCB	94	19	7.45
NC_020843	Vibrio phage 11895-B1	196	59	6.12
NC_024386	Leuconostoc phage phiLN25	41	4	4.88
NC_004003	Goatpox virus Pellor	150	18	3.33
NC_003389	Swinepox virus	150	42	4.00
NC_020486	Synechococcus phage S-RIM8 A.HR1	211	440	31.75
NC_003356	Enterobacteria phage phiP27	58	69	15.52
NC_018713	Pestivirus strain Aydin/04-TR	1	1	100.00
NC_023580	Mycobacterium phage Saal	101	27	4.95
NC_020846	Vibrio phage pYD21-A	74	51	10.81
NC_021319	Halovirus HCTV-2	86	14	2.33
NC_020847	Prochlorococcus phage MED4-184	59	35	15.25
NC_026928	Synechococcus phage ACG-2014e	213	409	29.58
NC_021561	Vibrio phage pYD38-B	57	18	7.02
NC_019721	Enterobacterial phage mEp390	59	81	22.03
NC_007064	Staphylococcus phage 92	64	15	6.25
NC_005337	Bovine papular stomatitis virus	131	12	1.53
NC_022086	Mycobacterium phage LittleCherry	87	41	10.34
NC_023571	Oenococcus phage phiS11	59	32	3.39
NC_001847	Bovine alphaherpesvirus 1	70	21	2.86
NC_025471	Idiomarinaceae phage Phi1M2-2	65	30	12.31
NC_000852	Paramecium bursaria Chlorella virus 1	802	779	12.47
NC_008201	Mannheimia phage phiMHaA1	49	33	22.45
NC_023606	Mycobacterium phage CRB1	94	63	10.64
NC_014474	Simian retrovirus 4	4	1	25.00
NC_015283	Prochlorococcus phage P-RSM4	239	475	29.71
NC_012027	Mycobacterium phage Phlyer	103	23	4.85
NC_023503	Streptococcus phage 20617	68	92	5.88
NC_023693	Enterobacteria phage phi92	250	245	7.60
NC_004105	Ectromelia virus	173	62	4.62
NC_021067	Vibrio phage helene 12B3	263	78	5.32
NC_002665	Bovine gammaherpesvirus 4	79	9	5.06
NC_009603	Microbacterium phage Min1	77	62	10.39
NC_008206	Mycobacterium phage Wildcat	148	55	5.41
NC_021794	Cellulophaga phage phi18:3	123	50	8.94
NC_016656	Cyanophage P-SSP2	56	49	21.43
NC_027351	Salmonella phage SSE121	242	77	8.68
NC_019422	Clostridium phage phiMMP04	51	19	9.80
NC_007051	Staphylococcus phage 2638A	57	41	15.79
NC_019710	Enterobacteria phage HK140	71	51	26.76
NC_011756	Pseudomonas phage SN	92	217	94.57
NC_012742	Xanthomonas phage phiL7	58	50	17.24
NC_008562	Microcystis aeruginosa phage Ma-LMM01	184	139	7.61
NC_023569	Vibrio phage SHOU24	96	15	5.21
NC_015208	Pseudomonas phage phi15	50	22	18.00
NC_006820	Synechococcus phage S-PM2	244	348	26.23
NC_008584	Thermus phage phiYS40	170	114	5.88
NC_009233	Heliothis virescens ascovirus 3e	180	4	1.67
NC_021539	Listeria phage LP-030-2	69	24	5.80
NC_011216	Burkholderia phage KS10	49	32	6.12
NC_002331	Xestia c-nigrum granulovirus	181	2	0.55
NC_020844	Salicola phage CGphi29	64	113	18.75
NC_018280	Celeribacter phage P12053L	56	234	28.57
NC_009811	Listeria virus A511	190	43	4.74
NC_004112	Lactobacillus phage A2	61	21	9.84
NC_020204	Klebsiella phage JD001	68	42	14.71
NC_018277	Staphylococcus phage SpaA1	63	14	6.35
NC_019517	Escherichia phage FV3	218	27	6.42
NC_024136	Mycobacterium phage Seabiscuit	94	14	8.51
NC_013594	Escherichia phage D108	57	10	8.77
NC_017984	Acinetobacter bacteriophage AP22	89	100	10.11
NC_014662	Enterobacter phage CC31	279	65	8.96
NC_019455	Haemophilus phage SuMu	55	3	3.64
NC_015273	Burkholderia phage KS14	44	21	31.82
NC_019725	Escherichia phage ADB-2	78	15	5.13
NC_024207	Bacillus phage Evoli	294	72	2.38
NC_008798	Staphylococcus phage phiETA2	69	4	2.90
NC_005309	Canarypox virus	328	38	3.35
NC_008363	Lactococcus virus P008	58	18	1.72
NC_019419	Escherichia virus JL1	60	44	20.00
NC_023556	Achromobacter phage JWAlpha	91	20	8.79
NC_024368	Mycobacterium phage Pinto	87	25	9.20
NC_016655	Rhodococcus phage REQ1	85	22	12.94
NC_024361	Streptococcus phage DCC1738	56	21	10.71
NC_023585	Sulfolobus monocaudavirus SMV1	51	1	1.96
NC_005282	Salmonella phage FelixO1	131	52	9.16
NC_021249	Choristoneura rosaceana entomopoxvirus 'L'	296	22	4.05
NC_011645	Bacillus phage TP21-L	56	42	8.93
NC_021061	Mycobacterium phage Butters	66	38	4.55
NC_008152	Escherichia virus K1-5	52	18	11.54
NC_007057	Staphylococcus phage 96	74	10	4.05
NC_016158	Escherichia phage HK639	76	46	18.42
NC_022971	Pseudomonas phage phiIBB-PAA2	69	165	11.59
NC_006884	Prochlorococcus phage P-SSM4	221	458	33.48
NC_025470	Shewanella sp. phage 1/40	236	51	5.08
NC_018860	Bacillus phage BCP78	227	101	3.96
NC_008520	Anticarsia gemmatalis nucleopolyhedrovirus	158	8	1.90
NC_009235	Burkholderia virus phi6442	71	83	18.31
NC_021533	Mycobacterium phage BTCU-1	73	49	9.59
NC_001697	Haemophilus phage HP1	42	20	19.05
NC_007045	Staphylococcus phage PT1028	22	2	4.55
NC_013055	Burkholderia phage KS9	50	150	34.00
NC_009236	Burkholderia virus phiE122	50	32	30.00
NC_024150	California sea lion adenovirus 1	30	6	3.33
NC_023591	Mycobacterium phage Adler	125	12	3.20
NC_021329	Halovirus HRTV-4	73	8	1.37
NC_020082	Edwardsiella phage MSW-3	66	17	9.09
NC_019930	Tetrasphaera phage TJE1	66	18	7.58
NC_007809	Pseudomonas phage M6	85	117	10.59
NC_018843	Salmonella phage SSU5	130	186	14.62
NC_001942	Mycoplasma phage MAV1	15	2	6.67
NC_003907	Vibrio phage VpV262	67	5	5.97
NC_006940	Salmonella phage SS3e	58	14	10.34
NC_007967	Streptomyces phage mu1/6	52	19	7.69
NC_023609	Mycobacterium phage RhynO	73	71	15.07
NC_011802	Salmonella phage SE1	67	54	13.43
NC_000899	Fowl aviadenovirus D	29	4	3.45
NC_004156	Helicoverpa zea nudivirus 2	113	91	3.54
NC_019909	Yersinia phage phiR1-RT	262	72	9.16
NC_013692	Pseudomonas phage LIT1	90	18	4.44
NC_024355	Staphylococcus phage 6ec	142	60	10.56
NC_024382	Alcelaphine gammaherpesvirus 2	70	7	4.29
NC_028854	Paenibacillus phage Sitara	74	62	17.57
NC_011167	Bacillus virus IEBH	86	6	3.49
NC_022766	Bacillus virus Glittering	78	88	5.13
NC_010583	Escherichia virus EPS7	170	69	11.76
NC_018282	Pseudomonas phage MP1412	77	124	14.29
NC_004775	Salmonella phage epsilon15	51	93	29.41
NC_004629	Pseudomonas phage phiKZ	306	161	35.95
NC_024138	Mycobacterium phage MosMoris	111	20	7.21
NC_009814	Listeria phage P35	56	3	5.36
NC_021309	Mycobacterium phage Phrux	141	114	8.51
NC_007917	Clostridium virus phiCD119	79	39	8.86
NC_019443	Synechococcus phage metaG-MbCM1	234	300	27.35
NC_006549	Singapore grouper iridovirus	162	88	4.94
NC_023614	Croceibacter phage P2559Y	51	84	21.57
NC_008617	Staphylococcus phage phiNM3	65	20	10.77
NC_003287	Enterobacteria phage M13	10	9	10.00
NC_015049	Cricetid gammaherpesvirus 2	82	12	2.44
NC_024384	Listeria phage LP-030-3	73	3	2.74
NC_011285	Mycobacterium phage Troll4	84	26	2.38
NC_011272	Mycobacterium phage Rizal	220	93	4.55
NC_011041	Escherichia phage V5	233	29	6.01
NC_011976	Salmonella phage epsilon34	73	69	16.44
NC_018519	Blueberry virus A	10	8	10.00
NC_028788	Paenibacillus phage Diva	60	59	18.33
NC_023499	Staphylococcus phage StauST398-4	65	24	12.31
NC_017969	Escherichia virus AKFV33	160	83	16.88
NC_015293	Pseudoalteromonas phage H105/1	52	36	5.77
NC_022775	Lactobacillus phage phiJB	46	12	4.35
NC_004002	Sheeppox virus	148	17	3.38
NC_004814	Streptococcus phage C1	20	1	5.00
NC_004745	Yersinia phage L-413C	40	13	22.50
NC_024148	Mycobacterium phage Phantastic	91	68	12.09
NC_005210	Beet pseudoyellows virus	8	6	12.50
NC_023593	Escherichia phage KBNP1711	126	91	7.94
NC_019768	Enterobacteria phage HK106	65	61	27.69
NC_009011	Spodoptera frugiperda multiple nucleopolyhedrovirus	143	10	1.40
NC_001266	Rabbit fibroma virus	165	13	3.03
NC_026926	Synechococcus phage ACG-2014j	230	443	30.43
NC_010808	Staphylococcus phage phiMR25	70	21	4.29
NC_010240	Helicoverpa armigera granulovirus	179	1	0.56
NC_021788	Cellulophaga phage phi4:1	197	41	7.11
NC_020080	Klebsiella phage KP27	276	89	8.70
NC_021795	Cellulophaga phage phi17:1	65	22	9.23
NC_016924	Cotia virus SPAn232	185	8	1.62
NC_023548	Citrobacter phage CR8	57	33	19.30
NC_021247	Adoxophyes honmai entomopoxvirus 'L'	247	13	1.62
NC_021335	Halovirus HRTV-7	105	4	0.95
NC_014791	Ugandan cassava brown streak virus	2	9	50.00
NC_011357	Stx2-converting phage 1717	77	85	19.48
NC_015270	Enterococcus phage EFRM31	23	11	13.04
NC_011534	Kluyvera phage Kvp1	47	43	25.53
NC_023704	Mycobacterium phage Doom	85	31	8.24
NC_009815	Listeria phage A006	62	5	6.45
NC_018269	Marinomonas phage P12026	54	100	14.81
NC_015279	Synechococcus phage S-SM2	267	574	37.45
NC_021774	Salmonella phage FSL SP-004	40	10	17.50
NC_027383	Escherichia phage YD-2008.s	62	39	19.35
NC_015938	Salmonella phage 7-11	151	138	10.60
NC_020231	Caviid betaherpesvirus 2	110	6	1.82
NC_007019	Streptococcus phage 2972	44	15	2.27
NC_023561	Enterobacter phage PG7	294	66	9.18
NC_023498	Mycobacterium phage Validus	105	21	5.71
NC_009127	Cyprinid herpesvirus 3	163	26	1.23
NC_005137	Choristoneura fumiferana DEF multiple nucleopolyhedrovirus	149	3	1.34
NC_004686	Mycobacterium phage Che9d	111	83	8.11
NC_019509	Cronobacter virus ESP29491	45	18	13.33
NC_020871	Listeria phage vB_LmoM_AG20	178	37	3.93
NC_011039	Mycobacterium phage Predator	92	15	4.35
NC_013598	Streptococcus phage Alq132	44	8	6.82
NC_006268	Sulfolobus virus STSV1	74	3	2.70
NC_021784	Thermus phage phi OH2	60	45	15.00
NC_010342	Halomonas phage phiHAP-1	46	26	13.04
NC_010495	Salmonella phage Vi II-E1	51	58	13.73
NC_021780	Salmonella phage FSLSP088	70	42	10.00
NC_013036	Anatid alphaherpesvirus 1	77	4	2.60
NC_023744	Mycobacterium phage DS6A	97	25	8.25
NC_016447	Aotine betaherpesvirus 1	146	3	0.68
NC_023566	Rhizobium phage vB_RglS_P106B	95	40	11.58
NC_022563	Squirrelpox virus	141	11	2.13
NC_010276	Orgyia leucostigma nucleopolyhedrovirus	135	25	2.96
NC_019918	Pseudomonas phage vB_PaeM_C2-10_Ab1	158	33	7.59
NC_003345	Halorubrum phage HF2	114	26	4.39
NC_023718	Pseudomonas phage phiPto-bp6g	68	1	1.47
NC_005069	Yersinia phage PY54	67	27	13.43
NC_015251	Aeromonas virus 65	437	83	6.18
NC_023612	Geobacillus phage GBK2	62	117	12.90
NC_012783	Cercopithecine betaherpesvirus 5	177	2	0.56
NC_023501	Bacillus phage BPS10C	271	14	1.48
NC_007709	Xanthomonas phage OP1	59	48	22.03
NC_019538	Aeromonas phage CC2	427	75	6.09
NC_021334	Mycobacterium phage WIVsmall	83	28	6.02
NC_016567	Vibrio phage SIO-2	115	9	0.87
NC_021853	Lactococcus phage 340	58	16	3.45
NC_013600	Sodalis phage SO1	59	43	20.34
NC_006623	Gallid alphaherpesvirus 1	79	7	1.27
NC_023681	Mamestra brassicae multiple nucleopolyhedrovirus	159	17	3.14
NC_007605	Human gammaherpesvirus 4	95	10	2.11
NC_011703	Pseudomonas phage 14-1	90	218	96.67
NC_018862	Dragonfly-associated microphage 1	5	1	20.00
NC_016509	Grapevine leafroll-associated virus 1	10	1	10.00
NC_022965	Mycobacterium phage CloudWang3	103	94	17.48
NC_021070	Vibrio phage martha 12B12	51	2	3.92
NC_014765	Bathycoccus sp. RCC1105 virus BpV1	203	667	35.47
NC_005263	Burkholderia virus Bcep1	71	49	14.08
NC_019514	Erwinia phage vB_EamP-S6	115	30	6.09
NC_005833	Escherichia virus T1	78	27	7.69
NC_024450	Falconid herpesvirus 1	130	15	1.54
NC_015721	Bdellovibrio phage phi1402	42	5	7.14
NC_011551	Bacteriophage APSE-2	41	97	24.39
NC_023567	Klebsiella phage F19	51	11	7.84
NC_002577	Gallid alphaherpesvirus 3	76	7	1.32
NC_008717	Pseudomonas phage DMS3	52	7	9.62
NC_002656	Mycobacterium phage Bxb1	86	18	5.81
NC_018085	Bacillus phage BtCS33	57	35	10.53
NC_003050	Streptococcus phage MM1	53	28	9.43
NC_015960	Yokapox virus	186	42	2.15
NC_021789	Cellulophaga phage phi19:3	129	43	9.30
NC_019502	Bacillus phage phIS3501	51	25	9.80
NC_016164	Synechococcus phage S-CBS1	43	107	23.26
NC_019709	Enterobacteria phage mEpX1	66	35	22.73
NC_021535	Mycobacterium phage Jobu08	85	67	12.94
NC_011399	Ralstonia phage RSM3	14	5	7.14
NC_016761	Salmonella phage SPN1S	52	99	30.77
NC_024375	Listeria phage LP-026	114	25	4.39
NC_025429	Rhizobium phage vB_RleM_P10VF	257	102	9.73
NC_023712	Mycobacterium phage Firecracker	128	40	6.25
NC_021863	Staphylococcus phage SA13	62	13	6.45
NC_021302	Mycobacterium phage Fishburne	77	54	9.09
NC_001962	Bombyx mori nucleopolyhedrovirus	143	13	2.80
NC_017976	Bacillus phage PBC1	50	46	12.00
NC_015456	Shigella virus Shfl1	80	20	7.50
NC_018836	Streptomyces phage phiHau3	72	35	13.89
NC_020477	Bacillus virus Eoghan	75	92	4.00
NC_025459	Aeromonas phage pAh6-C	86	11	4.65
NC_011421	Bacillus virus SPO1	204	139	4.41
NC_022069	Mycobacterium phage Jabbawokkie	106	33	5.66
NC_020158	Halovirus HVTV-1	173	66	6.94
NC_015265	Burkholderia phage KS5	46	32	28.26
NC_008208	Aeromonas virus 25	242	80	11.57
NC_008207	Mycobacterium phage Catera	218	95	5.05
NC_025425	Enterobacteria phage GEC-3S	277	50	8.30
NC_011616	Spodoptera litura nucleopolyhedrovirus II	147	11	2.72
NC_012812	Bovine viral diarrhea virus 3 Th/04_KhonKaen	1	1	100.00
NC_023715	Yersinia phage Yep-phi	45	40	22.22
NC_019508	Clostridium phage phiCP34O	52	21	9.62
NC_012756	Streptococcus phage PH10	54	3	3.70
NC_020481	Pelagibacter phage HTVC010P	64	191	39.06
NC_019919	Yersinia phage phiR201	166	107	17.47
NC_023747	Mycobacterium phage BarrelRoll	95	27	5.26
NC_011308	Listeria phage P40	62	2	1.61
NC_008586	Ectropis obliqua nucleopolyhedrovirus	126	15	2.38
NC_008195	Mycobacterium phage Cooper	99	13	7.07
NC_018279	Salmonella phage vB_SosS_Oslo	79	96	12.66
NC_007646	Ovine gammaherpesvirus 2	73	9	2.74
NC_020857	Cyanophage MED4-117	63	35	14.29
NC_019496	Clostridium phage phiCP26F	49	20	12.24
NC_022915	Ralstonia phage RSK1	54	79	24.07
NC_004165	Bacillus virus B103	17	19	5.88
NC_011022	Mycobacterium phage DD5	87	24	5.75
NC_022988	Mycobacterium phage Bruin	141	121	9.22
NC_002642	Yaba-like disease virus	152	19	3.95
NC_023588	Stenotrophomonas phage Smp131	46	16	21.74
NC_020081	Bacillus phage phiAGATE	210	132	7.14
NC_001895	Escherichia virus P2	43	20	20.93
NC_019511	Staphylococcus virus SA11	186	33	4.84
NC_022060	Mycobacterium phage Velveteen	100	26	3.00
NC_022914	Staphylococcus phage phiRS7	62	51	14.52
NC_018850	Pseudomonas phage UFV-P2	75	129	9.33
NC_022752	Salmonella phage SETP13	69	29	8.70
NC_019488	Salmonella phage RE-2010	47	21	27.66
NC_015933	Escherichia phage vB_EcoP_G7C	79	8	8.86
NC_022059	Mycobacterium phage DrDrey	144	115	8.33
