Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
NC_020853	Loktanella phage pCB2051-A	76	51	9.21
NC_024122	Salmonella phage vB_SalM_SJ3	210	12	2.86
NC_011373	Pseudomonas phage PAJU2	79	44	12.66
NC_021531	Cronobacter phage CR5	231	97	2.16
NC_019402	Cronobacter phage vB_CsaP_GAP52	115	48	9.57
NC_028748	Bacillus phage vB_BtS_BMBtp3	76	2	1.32
NC_015290	Prochlorococcus phage P-SSM7	237	162	10.13
NC_021312	Phaeocystis globosa virus	434	541	6.45
NC_020198	Pseudomonas phage JBD30	56	7	10.71
NC_011644	Equid alphaherpesvirus 9	80	24	2.50
NC_015264	Pseudomonas phage phiIBB-PF7A	52	5	5.77
NC_026924	Synechococcus phage ACG-2014g	216	70	9.72
NC_013021	Cyanophage PSS2	131	52	5.34
NC_021540	Vibrio phage JA-1	79	8	3.80
NC_019411	Caulobacter virus Swift	343	40	3.79
NC_002531	Alcelaphine gammaherpesvirus 1	71	9	2.82
NC_002643	Bdellovibrio phage phiMH2K	11	2	18.18
NC_018861	Campylobacter phage CP30A	162	2	1.23
NC_015159	Vibrio phage ICP3	54	11	11.11
NC_021862	Ralstonia phage RSS30	3	1	33.33
NC_023703	Mycobacterium phage Dori	94	7	5.32
NC_021775	Salmonella phage FSL SP-031	59	9	8.47
NC_021804	Cellulophaga phage phi39:1	48	26	6.25
NC_019927	Cronobacter phage ENT47670	46	42	19.57
NC_020860	Cellulophaga phage phiSM	59	31	6.78
NC_014564	Turkey adenovirus 1	37	1	2.70
NC_024134	Escherichia phage FFH2	218	14	3.67
NC_020854	Cyanophage KBS-S-2A	64	65	18.75
NC_001826	Murid gammaherpesvirus 4	80	12	5.00
NC_024121	Serratia phage PS2	275	30	4.36
NC_002816	Cydia pomonella granulovirus	143	1	0.70
NC_023705	Mycobacterium phage Liefie	61	12	3.28
NC_025455	Synechococcus phage S-CBP2	53	9	7.55
NC_020416	Salmonella phage vB_SenMS16	268	19	3.36
NC_028990	Enterococcus phage vB_EfaS_IME196	57	4	5.26
NC_003291	Listeria phage 2389	59	7	3.39
NC_020839	Rhodobacter phage RC1	56	38	12.50
NC_022065	Mycobacterium phage Contagion	140	70	2.86
NC_011292	Mycobacterium phage Konstantine	95	9	3.16
NC_020489	Rhodobacter phage RcapNL	64	22	10.94
NC_015253	Brochothrix phage A9	199	3	1.01
NC_024794	Escherichia phage vB_EcoM_PhAPEC2	254	74	2.76
NC_004456	Vibrio phage VHML	57	33	22.81
NC_016163	Yersinia phage phiR1-37	367	111	2.45
NC_007149	Vibriophage VP4	31	9	19.35
NC_025115	Ralstonia phage RSY1	49	75	38.78
NC_005841	Enterobacteria phage ST104	63	41	7.94
NC_009526	Staphylococcus phage 80alpha	73	15	4.11
NC_027996	Campylobacter virus CPt10	196	9	2.04
NC_019512	Helicobacter phage 1961P	33	8	3.03
NC_015286	Synechococcus phage Syn19	215	74	11.63
NC_007049	Staphylococcus phage 53	74	18	4.05
NC_022058	Mycobacterium phage Adzzy	96	9	6.25
NC_006963	Blackberry yellow vein-associated virus	9	12	11.11
NC_013647	Klebsiella phage KP32	44	11	13.64
NC_008168	Choristoneura occidentalis granulovirus	116	1	0.86
NC_022096	Pseudomonas phage PaBG	308	139	3.90
NC_009877	Mycobacterium phage U2	81	4	2.47
NC_008603	Paramecium bursaria Chlorella virus FR483	849	461	2.83
NC_019421	Clostridium phage phiMMP02	76	13	3.95
NC_001798	Human alphaherpesvirus 2	77	8	2.60
NC_023615	Invertebrate iridescent virus 22	174	89	6.90
NC_013648	Enterococcus phage phiFL3A	64	9	4.69
NC_006949	Enterobacteria phage ES18	79	20	10.13
NC_006565	Lactobacillus virus LP65	165	11	1.21
NC_023552	Mycobacterium phage Donovan	78	12	5.13
NC_023725	Mycobacterium phage Nappy	234	58	3.85
NC_019719	Enterobacteria phage HK633	67	51	14.93
NC_022982	Xylella phage Paz	51	8	5.88
NC_005893	Lactobacillus phage phiAT3	55	11	3.64
NC_021311	Mycobacterium phage Phaux	145	70	3.45
NC_008376	Geobacillus phage GBSV1	54	15	11.11
NC_023587	Synechococcus phage ACG-2014h	221	52	11.31
NC_019550	Liberibacter phage SC2	47	10	12.77
NC_020841	Psychrobacter phage pOW20-A	71	82	15.49
NC_008194	Mycobacterium virus 244	142	68	2.11
NC_003310	Monkeypox virus Zaire-96-I-16	191	41	3.14
NC_003309	Burkholderia virus phiE125	71	125	29.58
NC_019525	Bdellovibrio phage phi1422	76	6	3.95
NC_024329	Podovirus Lau218	48	21	12.50
NC_025452	Dickeya phage RC-2014	196	13	3.57
NC_018838	Propionibacterium phage P100_A	45	1	2.22
NC_022071	Mycobacterium phage Crossroads	133	6	3.01
NC_003313	Vibrio phage K139	44	5	4.55
NC_014636	Aeromonas phage phiAS5	343	97	3.21
NC_005178	Pseudomonas phage D3112	55	7	9.09
NC_013638	Pseudomonas phage phi-2	43	2	2.33
NC_018504	Apocheima cinerarium nucleopolyhedrovirus	117	2	1.71
NC_023699	Mycobacterium phage SG4	105	11	2.86
NC_023554	Mycobacterium phage JAMaL	98	2	2.04
NC_023577	Mycobacterium phage Obama12	89	20	7.87
NC_023706	Rhodococcus phage ReqiDocB7	105	15	2.86
NC_022763	Bacillus phage Spock	283	50	2.47
NC_004117	Mamestra configurata nucleopolyhedrovirus B	168	27	2.38
NC_011269	Mycobacterium phage ScottMcG	221	60	3.62
NC_023720	Mycobacterium phage Perseus	92	5	4.35
NC_003494	Infectious spleen and kidney necrosis virus	125	20	2.40
NC_024784	Escherichia phage vB_EcoS_AHS24	81	9	4.94
NC_019398	Cronobacter phage vB_CsaM_GAP161	275	31	2.91
NC_007383	Trichoplusia ni single nucleopolyhedrovirus	145	27	2.76
NC_005891	Vibrio phage VP5	48	2	4.17
NC_022338	Propionibacterium phage PHL060L00	46	1	2.17
NC_017974	Cronobacter phage CR3	265	47	2.64
NC_024697	Aureococcus anophagefferens virus	376	303	6.65
NC_004812	Macacine alphaherpesvirus 1	75	24	4.00
NC_022067	Mycobacterium phage Wanda	240	49	3.75
NC_023602	Mycobacterium phage 32HC	86	8	3.49
NC_018875	Epinotia aporema granulovirus	132	2	1.52
NC_016072	Megavirus chiliensis	1120	973	5.71
NC_023502	Rhizobium phage vB_RleS_L338C	181	92	7.18
NC_023607	Mycobacterium phage 40AC	90	14	6.67
NC_022323	Escherichia phage JES2013	220	14	3.64
NC_000929	Escherichia virus Mu	55	17	14.55
NC_023426	Anomala cuprea entomopoxvirus	263	299	0.76
NC_008574	Ralstonia phage RSM1	15	12	6.67
NC_020848	Vibrio phage VBP47	115	7	4.35
NC_019513	Staphylococcus phage SMSAP5	42	10	11.90
NC_021348	Mycobacterium phage ArcherS7	237	55	3.38
NC_021344	Escherichia phage Lw1	273	32	2.93
NC_025449	Escherichia phage ECML-134	270	30	1.85
NC_023610	Erwinia phage PhiEaH1	241	77	3.73
NC_025466	Shewanella sp. phage 3/49	70	7	5.71
NC_018272	Nonlabens phage P12024L	58	30	20.69
NC_018847	Propionibacterium phage ATCC29399B_T	46	1	2.17
NC_024451	Armadillidium vulgare iridescent virus	203	58	6.40
NC_025458	Shewanella sp. phage 1/41	69	13	10.14
NC_015457	Shigella phage Shfl2	265	37	3.40
NC_015719	Escherichia phage K30	49	9	10.20
NC_012788	Mycobacterium phage Angel	61	12	3.28
NC_013643	Enterococcus phage phiFL2A	63	9	4.76
NC_023553	Mycobacterium phage Echild	100	11	5.00
NC_005882	Burkholderia virus BcepMu	53	40	18.87
NC_019506	Clostridium phage phiCP13O	55	4	5.45
NC_014637	Cafeteria roenbergensis virus BV-PW1	544	666	8.64
NC_013694	Mycobacterium phage Peaches	86	23	9.30
NC_022968	Escherichia phage 4MG	271	73	4.06
NC_024486	Duck adenovirus 2	36	1	2.78
NC_007048	Staphylococcus phage 69	69	3	1.45
NC_013645	Streptococcus phage Abc2	48	4	8.33
NC_015285	Prochlorococcus phage Syn33	227	76	9.69
NC_020199	Staphylococcus phage phi7401PVL	44	13	9.09
NC_012223	Escherichia virus SSL2009a	67	14	10.45
NC_019448	Staphylococcus phage GH15	214	21	2.80
NC_023568	Vibrio phage VH7D	327	108	6.42
NC_019723	Enterobacteria phage HK630	69	30	10.14
NC_024789	Escherichia phage vB_EcoS_AKS96	74	8	4.05
NC_008203	Mycobacterium phage Che12	98	8	5.10
NC_016658	Cyanophage NATL1A-7	65	11	9.23
NC_001909	Lactococcus virus bIL170	64	4	3.12
NC_001491	Equid alphaherpesvirus 1	80	23	2.50
NC_011166	Pseudomonas phage LMA2	94	130	96.81
NC_024217	Nitrincola phage 1M3-16	144	10	4.17
NC_020838	Synechococcus phage S-RIP2	54	17	11.11
NC_006883	Prochlorococcus phage P-SSM2	334	321	12.28
NC_021332	Staphylococcus phage StauST398-3	69	9	2.90
NC_001271	Yersinia phage phiYeO3-12	59	18	15.25
NC_007151	Chrysodeixis chalcites nucleopolyhedrovirus	151	31	3.97
NC_019450	Pseudomonas phage JG004	161	6	3.11
NC_005857	Klebsiella phage phiKO2	64	44	17.19
NC_004928	Enterobacteria phage RB69	273	35	1.83
NC_023701	Mycobacterium phage Acadian	97	3	2.06
NC_015294	Pseudomonas phage PAK_P1	181	8	3.87
NC_017940	European catfish virus	136	60	5.15
NC_023710	Mycobacterium phage RidgeCB	94	3	2.13
NC_020843	Vibrio phage 11895-B1	196	59	2.04
NC_004003	Goatpox virus Pellor	150	9	2.00
NC_003389	Swinepox virus	150	22	2.67
NC_020486	Synechococcus phage S-RIM8 A.HR1	211	28	9.00
NC_003356	Enterobacteria phage phiP27	58	58	18.97
NC_023580	Mycobacterium phage Saal	101	15	1.98
NC_020846	Vibrio phage pYD21-A	74	13	8.11
NC_021319	Halovirus HCTV-2	86	1	1.16
NC_020847	Prochlorococcus phage MED4-184	59	11	6.78
NC_026928	Synechococcus phage ACG-2014e	213	71	9.39
NC_021561	Vibrio phage pYD38-B	57	7	3.51
NC_019721	Enterobacterial phage mEp390	59	29	15.25
NC_007064	Staphylococcus phage 92	64	8	3.12
NC_005337	Bovine papular stomatitis virus	131	2	1.53
NC_022086	Mycobacterium phage LittleCherry	87	13	5.75
NC_023571	Oenococcus phage phiS11	59	15	6.78
NC_001847	Bovine alphaherpesvirus 1	70	21	4.29
NC_025471	Idiomarinaceae phage Phi1M2-2	65	12	7.69
NC_000852	Paramecium bursaria Chlorella virus 1	802	443	2.99
NC_008201	Mannheimia phage phiMHaA1	49	40	34.69
NC_023606	Mycobacterium phage CRB1	94	14	5.32
NC_015283	Prochlorococcus phage P-RSM4	239	57	11.30
NC_012027	Mycobacterium phage Phlyer	103	3	1.94
NC_023503	Streptococcus phage 20617	68	69	5.88
NC_023693	Enterobacteria phage phi92	250	206	4.80
NC_008252	Neodiprion abietis NPV	93	1	1.08
NC_004105	Ectromelia virus	173	44	3.47
NC_021067	Vibrio phage helene 12B3	263	37	2.66
NC_002665	Bovine gammaherpesvirus 4	79	13	3.80
NC_009603	Microbacterium phage Min1	77	18	6.49
NC_008206	Mycobacterium phage Wildcat	148	35	3.38
NC_021794	Cellulophaga phage phi18:3	123	14	4.07
NC_016656	Cyanophage P-SSP2	56	12	10.71
NC_027351	Salmonella phage SSE121	242	53	4.13
NC_019422	Clostridium phage phiMMP04	51	4	5.88
NC_007051	Staphylococcus phage 2638A	57	13	10.53
NC_019710	Enterobacteria phage HK140	71	44	18.31
NC_011756	Pseudomonas phage SN	92	126	94.57
NC_012742	Xanthomonas phage phiL7	58	26	13.79
NC_008562	Microcystis aeruginosa phage Ma-LMM01	184	51	4.35
NC_023569	Vibrio phage SHOU24	96	8	3.12
NC_015208	Pseudomonas phage phi15	50	4	6.00
NC_006820	Synechococcus phage S-PM2	244	50	9.43
NC_008584	Thermus phage phiYS40	170	93	3.53
NC_000872	Streptococcus phage Sfi21	50	2	4.00
NC_009233	Heliothis virescens ascovirus 3e	180	3	1.11
NC_021539	Listeria phage LP-030-2	69	9	4.35
NC_011216	Burkholderia phage KS10	49	37	20.41
NC_002331	Xestia c-nigrum granulovirus	181	2	0.55
NC_020844	Salicola phage CGphi29	64	33	18.75
NC_020870	Leuconostoc phage phiLN04	39	2	5.13
NC_018280	Celeribacter phage P12053L	56	66	17.86
NC_009811	Listeria virus A511	190	29	2.63
NC_004112	Lactobacillus phage A2	61	9	4.92
NC_020204	Klebsiella phage JD001	68	8	7.35
NC_018277	Staphylococcus phage SpaA1	63	1	1.59
NC_019517	Escherichia phage FV3	218	13	3.21
NC_024136	Mycobacterium phage Seabiscuit	94	5	3.19
NC_013594	Escherichia phage D108	57	17	14.04
NC_017984	Acinetobacter bacteriophage AP22	89	66	8.99
NC_014662	Enterobacter phage CC31	279	27	3.94
NC_019455	Haemophilus phage SuMu	55	10	12.73
NC_015273	Burkholderia phage KS14	44	36	43.18
NC_019725	Escherichia phage ADB-2	78	4	3.85
NC_024207	Bacillus phage Evoli	294	42	1.70
NC_008798	Staphylococcus phage phiETA2	69	3	1.45
NC_005309	Canarypox virus	328	24	2.74
NC_008363	Lactococcus virus P008	58	2	1.72
NC_019419	Escherichia virus JL1	60	15	15.00
NC_023556	Achromobacter phage JWAlpha	91	8	4.40
NC_024368	Mycobacterium phage Pinto	87	7	3.45
NC_016655	Rhodococcus phage REQ1	85	13	5.88
NC_024361	Streptococcus phage DCC1738	56	15	10.71
NC_005282	Salmonella phage FelixO1	131	10	3.05
NC_021249	Choristoneura rosaceana entomopoxvirus 'L'	296	18	3.04
NC_011645	Bacillus phage TP21-L	56	15	5.36
NC_021061	Mycobacterium phage Butters	66	17	4.55
NC_008152	Escherichia virus K1-5	52	3	3.85
NC_007057	Staphylococcus phage 96	74	8	2.70
NC_016158	Escherichia phage HK639	76	21	13.16
NC_022971	Pseudomonas phage phiIBB-PAA2	69	22	8.70
NC_006884	Prochlorococcus phage P-SSM4	221	50	9.50
NC_025470	Shewanella sp. phage 1/40	236	42	2.97
NC_018860	Bacillus phage BCP78	227	81	2.64
NC_008520	Anticarsia gemmatalis nucleopolyhedrovirus	158	4	1.27
NC_009235	Burkholderia virus phi6442	71	93	19.72
NC_021533	Mycobacterium phage BTCU-1	73	17	6.85
NC_001697	Haemophilus phage HP1	42	20	21.43
NC_007045	Staphylococcus phage PT1028	22	2	4.55
NC_013055	Burkholderia phage KS9	50	125	26.00
NC_009236	Burkholderia virus phiE122	50	42	40.00
NC_024150	California sea lion adenovirus 1	30	1	3.33
NC_023591	Mycobacterium phage Adler	125	8	3.20
NC_021329	Halovirus HRTV-4	73	3	1.37
NC_020082	Edwardsiella phage MSW-3	66	8	6.06
NC_019930	Tetrasphaera phage TJE1	66	5	3.03
NC_007809	Pseudomonas phage M6	85	44	11.76
NC_018843	Salmonella phage SSU5	130	118	14.62
NC_006940	Salmonella phage SS3e	58	4	3.45
NC_007967	Streptomyces phage mu1/6	52	4	5.77
NC_023609	Mycobacterium phage RhynO	73	15	8.22
NC_011802	Salmonella phage SE1	67	44	10.45
NC_004156	Helicoverpa zea nudivirus 2	113	101	4.42
NC_019909	Yersinia phage phiR1-RT	262	32	3.05
NC_013692	Pseudomonas phage LIT1	90	11	3.33
NC_024355	Staphylococcus phage 6ec	142	20	5.63
NC_024382	Alcelaphine gammaherpesvirus 2	70	10	4.29
NC_028854	Paenibacillus phage Sitara	74	16	12.16
NC_011167	Bacillus virus IEBH	86	1	1.16
NC_022766	Bacillus virus Glittering	78	63	2.56
NC_010583	Escherichia virus EPS7	170	38	4.12
NC_018282	Pseudomonas phage MP1412	77	56	14.29
NC_004775	Salmonella phage epsilon15	51	18	17.65
NC_004629	Pseudomonas phage phiKZ	306	75	11.11
NC_024138	Mycobacterium phage MosMoris	111	5	3.60
NC_009814	Listeria phage P35	56	3	3.57
NC_021309	Mycobacterium phage Phrux	141	69	2.84
NC_007917	Clostridium virus phiCD119	79	9	7.59
NC_019443	Synechococcus phage metaG-MbCM1	234	29	8.12
NC_006549	Singapore grouper iridovirus	162	52	3.09
NC_023614	Croceibacter phage P2559Y	51	18	9.80
NC_008617	Staphylococcus phage phiNM3	65	3	1.54
NC_003287	Enterobacteria phage M13	10	16	10.00
NC_015049	Cricetid gammaherpesvirus 2	82	9	2.44
NC_024384	Listeria phage LP-030-3	73	3	4.11
NC_011285	Mycobacterium phage Troll4	84	9	2.38
NC_011272	Mycobacterium phage Rizal	220	57	3.18
NC_011041	Escherichia phage V5	233	12	2.58
NC_011976	Salmonella phage epsilon34	73	48	9.59
NC_018519	Blueberry virus A	10	4	10.00
NC_028788	Paenibacillus phage Diva	60	14	13.33
NC_023499	Staphylococcus phage StauST398-4	65	11	3.08
NC_017969	Escherichia virus AKFV33	160	51	5.00
NC_015293	Pseudoalteromonas phage H105/1	52	36	11.54
NC_022775	Lactobacillus phage phiJB	46	3	4.35
NC_004002	Sheeppox virus	148	9	2.03
NC_004745	Yersinia phage L-413C	40	28	40.00
NC_024148	Mycobacterium phage Phantastic	91	18	6.59
NC_005210	Beet pseudoyellows virus	8	6	12.50
NC_023593	Escherichia phage KBNP1711	126	16	3.17
NC_019768	Enterobacteria phage HK106	65	52	13.85
NC_009011	Spodoptera frugiperda multiple nucleopolyhedrovirus	143	2	0.70
NC_001266	Rabbit fibroma virus	165	7	1.82
NC_026926	Synechococcus phage ACG-2014j	230	72	10.00
NC_003094	Helicoverpa armigera nucleopolyhedrovirus	137	1	0.73
NC_010808	Staphylococcus phage phiMR25	70	3	1.43
NC_010240	Helicoverpa armigera granulovirus	179	2	0.56
NC_021788	Cellulophaga phage phi4:1	197	27	4.06
NC_020080	Klebsiella phage KP27	276	34	3.26
NC_021795	Cellulophaga phage phi17:1	65	3	3.08
NC_016924	Cotia virus SPAn232	185	5	1.08
NC_023548	Citrobacter phage CR8	57	11	8.77
NC_021247	Adoxophyes honmai entomopoxvirus 'L'	247	6	1.21
NC_021335	Halovirus HRTV-7	105	1	0.95
NC_014791	Ugandan cassava brown streak virus	2	2	50.00
NC_011357	Stx2-converting phage 1717	77	97	22.08
NC_015270	Enterococcus phage EFRM31	23	2	4.35
NC_011534	Kluyvera phage Kvp1	47	13	8.51
NC_023704	Mycobacterium phage Doom	85	6	3.53
NC_009815	Listeria phage A006	62	3	3.23
NC_018269	Marinomonas phage P12026	54	64	11.11
NC_015279	Synechococcus phage S-SM2	267	128	14.61
NC_021774	Salmonella phage FSL SP-004	40	27	35.00
NC_027383	Escherichia phage YD-2008.s	62	12	9.68
NC_015938	Salmonella phage 7-11	151	38	7.28
NC_020231	Caviid betaherpesvirus 2	110	2	0.91
NC_007019	Streptococcus phage 2972	44	3	4.55
NC_023561	Enterobacter phage PG7	294	30	3.74
NC_023498	Mycobacterium phage Validus	105	9	3.81
NC_009127	Cyprinid herpesvirus 3	163	38	1.23
NC_004686	Mycobacterium phage Che9d	111	13	3.60
NC_001449	Venezuelan equine encephalitis virus	4	2	50.00
NC_019509	Cronobacter virus ESP29491	45	6	6.67
NC_020871	Listeria phage vB_LmoM_AG20	178	27	2.25
NC_011039	Mycobacterium phage Predator	92	12	1.09
NC_005906	Neodiprion lecontei nucleopolyhedrovirus	89	1	1.12
NC_013598	Streptococcus phage Alq132	44	3	4.55
NC_021784	Thermus phage phi OH2	60	26	10.00
NC_010342	Halomonas phage phiHAP-1	46	28	10.87
NC_010495	Salmonella phage Vi II-E1	51	23	5.88
NC_021780	Salmonella phage FSLSP088	70	14	10.00
NC_013036	Anatid alphaherpesvirus 1	77	3	1.30
NC_023744	Mycobacterium phage DS6A	97	8	4.12
NC_016447	Aotine betaherpesvirus 1	146	2	1.37
NC_023566	Rhizobium phage vB_RglS_P106B	95	12	7.37
NC_022563	Squirrelpox virus	141	3	1.42
NC_010276	Orgyia leucostigma nucleopolyhedrovirus	135	40	3.70
NC_019918	Pseudomonas phage vB_PaeM_C2-10_Ab1	158	6	3.16
NC_003345	Halorubrum phage HF2	114	16	4.39
NC_005069	Yersinia phage PY54	67	22	8.96
NC_015251	Aeromonas virus 65	437	71	2.06
NC_023612	Geobacillus phage GBK2	62	79	9.68
NC_023501	Bacillus phage BPS10C	271	9	1.85
NC_007709	Xanthomonas phage OP1	59	16	13.56
NC_019538	Aeromonas phage CC2	427	50	1.41
NC_021334	Mycobacterium phage WIVsmall	83	9	2.41
NC_016567	Vibrio phage SIO-2	115	1	0.87
NC_021853	Lactococcus phage 340	58	4	3.45
NC_013600	Sodalis phage SO1	59	13	13.56
NC_006623	Gallid alphaherpesvirus 1	79	2	1.27
NC_023681	Mamestra brassicae multiple nucleopolyhedrovirus	159	29	2.52
NC_007605	Human gammaherpesvirus 4	95	16	2.11
NC_011703	Pseudomonas phage 14-1	90	124	96.67
NC_018862	Dragonfly-associated microphage 1	5	1	20.00
NC_022965	Mycobacterium phage CloudWang3	103	13	4.85
NC_021070	Vibrio phage martha 12B12	51	9	13.73
NC_014765	Bathycoccus sp. RCC1105 virus BpV1	203	405	10.34
NC_005263	Burkholderia virus Bcep1	71	11	9.86
NC_019514	Erwinia phage vB_EamP-S6	115	30	2.61
NC_005833	Escherichia virus T1	78	8	6.41
NC_024450	Falconid herpesvirus 1	130	17	1.54
NC_015721	Bdellovibrio phage phi1402	42	1	2.38
NC_011551	Bacteriophage APSE-2	41	16	17.07
NC_023567	Klebsiella phage F19	51	2	1.96
NC_002577	Gallid alphaherpesvirus 3	76	7	2.63
NC_008717	Pseudomonas phage DMS3	52	9	15.38
NC_002656	Mycobacterium phage Bxb1	86	3	3.49
NC_018085	Bacillus phage BtCS33	57	11	7.02
NC_003050	Streptococcus phage MM1	53	6	1.89
NC_015960	Yokapox virus	186	30	1.61
NC_021789	Cellulophaga phage phi19:3	129	4	2.33
NC_019502	Bacillus phage phIS3501	51	13	5.88
NC_016164	Synechococcus phage S-CBS1	43	42	13.95
NC_019709	Enterobacteria phage mEpX1	66	38	16.67
NC_021535	Mycobacterium phage Jobu08	85	28	8.24
NC_011399	Ralstonia phage RSM3	14	12	7.14
NC_016761	Salmonella phage SPN1S	52	27	15.38
NC_024375	Listeria phage LP-026	114	15	2.63
NC_025429	Rhizobium phage vB_RleM_P10VF	257	91	5.84
NC_023712	Mycobacterium phage Firecracker	128	18	3.12
NC_021863	Staphylococcus phage SA13	62	10	1.61
NC_021302	Mycobacterium phage Fishburne	77	12	5.19
NC_001962	Bombyx mori nucleopolyhedrovirus	143	10	2.10
NC_017976	Bacillus phage PBC1	50	8	8.00
NC_015456	Shigella virus Shfl1	80	5	3.75
NC_018836	Streptomyces phage phiHau3	72	5	6.94
NC_020477	Bacillus virus Eoghan	75	64	2.67
NC_011421	Bacillus virus SPO1	204	118	3.43
NC_022069	Mycobacterium phage Jabbawokkie	106	12	2.83
NC_020158	Halovirus HVTV-1	173	36	2.89
NC_015265	Burkholderia phage KS5	46	52	43.48
NC_008208	Aeromonas virus 25	242	38	4.55
NC_008207	Mycobacterium phage Catera	218	57	3.67
NC_025425	Enterobacteria phage GEC-3S	277	11	3.25
NC_011616	Spodoptera litura nucleopolyhedrovirus II	147	14	0.68
NC_023715	Yersinia phage Yep-phi	45	9	8.89
NC_019508	Clostridium phage phiCP34O	52	3	3.85
NC_004736	Vibrio phage VGJphi	13	3	15.38
NC_012756	Streptococcus phage PH10	54	2	3.70
NC_020481	Pelagibacter phage HTVC010P	64	12	7.81
NC_019919	Yersinia phage phiR201	166	64	3.61
NC_023747	Mycobacterium phage BarrelRoll	95	16	5.26
NC_008586	Ectropis obliqua nucleopolyhedrovirus	126	10	1.59
NC_008195	Mycobacterium phage Cooper	99	1	1.01
NC_018279	Salmonella phage vB_SosS_Oslo	79	79	17.72
NC_007646	Ovine gammaherpesvirus 2	73	14	2.74
NC_020857	Cyanophage MED4-117	63	11	6.35
NC_019496	Clostridium phage phiCP26F	49	4	6.12
NC_022915	Ralstonia phage RSK1	54	9	11.11
NC_004165	Bacillus virus B103	17	6	5.88
NC_011022	Mycobacterium phage DD5	87	5	3.45
NC_022988	Mycobacterium phage Bruin	141	70	2.84
NC_002642	Yaba-like disease virus	152	7	1.97
NC_023588	Stenotrophomonas phage Smp131	46	30	36.96
NC_020081	Bacillus phage phiAGATE	210	84	4.29
NC_001895	Escherichia virus P2	43	28	37.21
NC_019511	Staphylococcus virus SA11	186	18	3.76
NC_022060	Mycobacterium phage Velveteen	100	15	2.00
NC_022914	Staphylococcus phage phiRS7	62	12	6.45
NC_018850	Pseudomonas phage UFV-P2	75	17	6.67
NC_022752	Salmonella phage SETP13	69	6	4.35
NC_019488	Salmonella phage RE-2010	47	30	36.17
NC_015933	Escherichia phage vB_EcoP_G7C	79	2	2.53
NC_022059	Mycobacterium phage DrDrey	144	70	2.78
NC_025444	Mycobacterium phage RedRock	95	9	6.32
NC_022758	Staphylococcus phage YMC/09/04/R1988	62	20	11.29
NC_019545	Salmonella phage SPN3UB	71	10	11.27
NC_019510	Erwinia phage vB_EamP-L1	51	8	13.73
NC_019544	Deep-sea thermophilic phage D6E	49	82	14.29
NC_014767	Micromonas sp. RCC1109 virus MpV1	244	340	11.89
NC_025431	Mesorhizobium phage vB_MloP_Lo5R7ANS	64	15	9.38
NC_008721	Streptococcus phage SMP	48	3	4.17
NC_019507	Campylobacter virus CP21	257	3	0.78
NC_024358	Anabaena phage A-4L	38	10	7.89
NC_023707	Mycobacterium phage Turbido	94	7	4.26
NC_022751	Cyanophage PP	41	7	4.88
NC_018856	Bacillus phage Bastille	273	42	1.47
NC_022066	Mycobacterium phage Redno2	231	49	4.33
NC_013693	Shigella phage Ag3	216	16	4.17
NC_028776	Escherichia phage CAjan	91	72	8.79
NC_023006	Pseudomonas phage PPpW-3	66	46	21.21
NC_009820	Mycobacterium phage Tweety	109	14	3.67
