Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
NC_020198	Pseudomonas phage JBD30	56	2	3.57
NC_001716	Human betaherpesvirus 7	86	3	2.33
NC_011644	Equid alphaherpesvirus 9	80	22	2.50
NC_015264	Pseudomonas phage phiIBB-PF7A	52	27	15.38
NC_026924	Synechococcus phage ACG-2014g	216	395	31.94
NC_013021	Cyanophage PSS2	131	128	9.16
NC_021540	Vibrio phage JA-1	79	22	10.13
NC_019411	Caulobacter virus Swift	343	129	7.00
NC_002531	Alcelaphine gammaherpesvirus 1	71	13	4.23
NC_018861	Campylobacter phage CP30A	162	20	5.56
NC_015159	Vibrio phage ICP3	54	61	16.67
NC_023703	Mycobacterium phage Dori	94	14	8.51
NC_021775	Salmonella phage FSL SP-031	59	20	10.17
NC_021804	Cellulophaga phage phi39:1	48	61	22.92
NC_019927	Cronobacter phage ENT47670	46	67	23.91
NC_020860	Cellulophaga phage phiSM	59	36	13.56
NC_014564	Turkey adenovirus 1	37	4	2.70
NC_024134	Escherichia phage FFH2	218	35	7.34
NC_020854	Cyanophage KBS-S-2A	64	149	39.06
NC_001826	Murid gammaherpesvirus 4	80	18	6.25
NC_024121	Serratia phage PS2	275	54	7.64
NC_001420	Enterobacteria phage G4 sensu lato	11	11	63.64
NC_002816	Cydia pomonella granulovirus	143	1	0.70
NC_023705	Mycobacterium phage Liefie	61	21	3.28
NC_001450	Equine infectious anemia virus	4	1	25.00
NC_025455	Synechococcus phage S-CBP2	53	52	20.75
NC_020416	Salmonella phage vB_SenMS16	268	64	8.21
NC_028990	Enterococcus phage vB_EfaS_IME196	57	10	10.53
NC_003291	Listeria phage 2389	59	20	5.08
NC_020839	Rhodobacter phage RC1	56	73	8.93
NC_022065	Mycobacterium phage Contagion	140	113	6.43
NC_011292	Mycobacterium phage Konstantine	95	14	2.11
NC_020489	Rhodobacter phage RcapNL	64	10	10.94
NC_015253	Brochothrix phage A9	199	16	3.52
NC_024794	Escherichia phage vB_EcoM_PhAPEC2	254	109	9.45
NC_004456	Vibrio phage VHML	57	27	15.79
NC_016163	Yersinia phage phiR1-37	367	118	3.00
NC_007149	Vibriophage VP4	31	62	29.03
NC_025115	Ralstonia phage RSY1	49	65	20.41
NC_005841	Enterobacteria phage ST104	63	57	17.46
NC_009526	Staphylococcus phage 80alpha	73	37	9.59
NC_027996	Campylobacter virus CPt10	196	26	7.14
NC_019512	Helicobacter phage 1961P	33	16	6.06
NC_015286	Synechococcus phage Syn19	215	453	30.23
NC_007049	Staphylococcus phage 53	74	40	9.46
NC_022058	Mycobacterium phage Adzzy	96	43	11.46
NC_006963	Blackberry yellow vein-associated virus	9	8	11.11
NC_013647	Klebsiella phage KP32	44	52	22.73
NC_008168	Choristoneura occidentalis granulovirus	116	3	2.59
NC_022096	Pseudomonas phage PaBG	308	178	4.22
NC_009877	Mycobacterium phage U2	81	39	7.41
NC_008603	Paramecium bursaria Chlorella virus FR483	849	634	7.89
NC_019421	Clostridium phage phiMMP02	76	48	5.26
NC_001798	Human alphaherpesvirus 2	77	12	3.90
NC_023615	Invertebrate iridescent virus 22	174	141	8.62
NC_013648	Enterococcus phage phiFL3A	64	28	12.50
NC_006949	Enterobacteria phage ES18	79	62	15.19
NC_006565	Lactobacillus virus LP65	165	19	3.64
NC_023552	Mycobacterium phage Donovan	78	51	7.69
NC_023725	Mycobacterium phage Nappy	234	97	5.13
NC_019719	Enterobacteria phage HK633	67	53	20.90
NC_022982	Xylella phage Paz	51	20	17.65
NC_005893	Lactobacillus phage phiAT3	55	6	3.64
NC_021311	Mycobacterium phage Phaux	145	116	6.90
NC_008376	Geobacillus phage GBSV1	54	19	12.96
NC_023587	Synechococcus phage ACG-2014h	221	365	27.60
NC_019550	Liberibacter phage SC2	47	25	17.02
NC_020841	Psychrobacter phage pOW20-A	71	131	15.49
NC_008194	Mycobacterium virus 244	142	101	5.63
NC_003310	Monkeypox virus Zaire-96-I-16	191	51	3.14
NC_015271	Salmonella phage Vi06	47	20	21.28
NC_003309	Burkholderia virus phiE125	71	94	23.94
NC_019525	Bdellovibrio phage phi1422	76	33	6.58
NC_024329	Podovirus Lau218	48	124	16.67
NC_025452	Dickeya phage RC-2014	196	30	8.16
NC_018838	Propionibacterium phage P100_A	45	3	4.44
NC_022071	Mycobacterium phage Crossroads	133	26	5.26
NC_003313	Vibrio phage K139	44	9	11.36
NC_014636	Aeromonas phage phiAS5	343	110	8.75
NC_005178	Pseudomonas phage D3112	55	3	5.45
NC_013638	Pseudomonas phage phi-2	43	11	4.65
NC_018504	Apocheima cinerarium nucleopolyhedrovirus	117	3	1.71
NC_012868	Enterobacteria phage St-1	11	8	54.55
NC_023699	Mycobacterium phage SG4	105	65	7.62
NC_023554	Mycobacterium phage JAMaL	98	22	6.12
NC_023577	Mycobacterium phage Obama12	89	112	15.73
NC_023706	Rhodococcus phage ReqiDocB7	105	30	4.76
NC_022763	Bacillus phage Spock	283	80	3.89
NC_004117	Mamestra configurata nucleopolyhedrovirus B	168	19	1.79
NC_011269	Mycobacterium phage ScottMcG	221	102	4.98
NC_023720	Mycobacterium phage Perseus	92	34	7.61
NC_003494	Infectious spleen and kidney necrosis virus	125	29	3.20
NC_024784	Escherichia phage vB_EcoS_AHS24	81	22	7.41
NC_019398	Cronobacter phage vB_CsaM_GAP161	275	97	9.82
NC_007383	Trichoplusia ni single nucleopolyhedrovirus	145	12	2.07
NC_005891	Vibrio phage VP5	48	19	10.42
NC_018841	Propionibacterium phage P101A	47	1	2.13
NC_022338	Propionibacterium phage PHL060L00	46	2	2.17
NC_017974	Cronobacter phage CR3	265	95	8.68
NC_024697	Aureococcus anophagefferens virus	376	568	14.63
NC_004812	Macacine alphaherpesvirus 1	75	20	4.00
NC_022067	Mycobacterium phage Wanda	240	119	3.75
NC_023602	Mycobacterium phage 32HC	86	34	4.65
NC_018875	Epinotia aporema granulovirus	132	4	1.52
NC_016072	Megavirus chiliensis	1120	1331	8.75
NC_021558	Paenibacillus phage PG1	67	4	2.99
NC_023502	Rhizobium phage vB_RleS_L338C	181	126	13.26
NC_023607	Mycobacterium phage 40AC	90	89	16.67
NC_022323	Escherichia phage JES2013	220	38	7.27
NC_000929	Escherichia virus Mu	55	7	7.27
NC_023426	Anomala cuprea entomopoxvirus	263	235	1.14
NC_008574	Ralstonia phage RSM1	15	9	6.67
NC_020848	Vibrio phage VBP47	115	35	11.30
NC_019513	Staphylococcus phage SMSAP5	42	24	14.29
NC_021348	Mycobacterium phage ArcherS7	237	98	5.06
NC_021344	Escherichia phage Lw1	273	71	8.79
NC_025449	Escherichia phage ECML-134	270	60	7.04
NC_023610	Erwinia phage PhiEaH1	241	77	3.73
NC_025466	Shewanella sp. phage 3/49	70	53	15.71
NC_018272	Nonlabens phage P12024L	58	79	32.76
NC_018847	Propionibacterium phage ATCC29399B_T	46	1	2.17
NC_024451	Armadillidium vulgare iridescent virus	203	119	7.88
NC_025458	Shewanella sp. phage 1/41	69	22	11.59
NC_015457	Shigella phage Shfl2	265	64	7.92
NC_015719	Escherichia phage K30	49	46	16.33
NC_012788	Mycobacterium phage Angel	61	21	3.28
NC_013643	Enterococcus phage phiFL2A	63	23	9.52
NC_023553	Mycobacterium phage Echild	100	57	10.00
NC_005882	Burkholderia virus BcepMu	53	38	18.87
NC_019506	Clostridium phage phiCP13O	55	15	9.09
NC_014637	Cafeteria roenbergensis virus BV-PW1	544	993	13.05
NC_013694	Mycobacterium phage Peaches	86	119	17.44
NC_022968	Escherichia phage 4MG	271	80	6.64
NC_019921	Staphylococcus phage phi5967PVL	42	3	7.14
NC_024486	Duck adenovirus 2	36	1	2.78
NC_007048	Staphylococcus phage 69	69	7	2.90
NC_013645	Streptococcus phage Abc2	48	3	4.17
NC_015285	Prochlorococcus phage Syn33	227	421	32.16
NC_023600	Mycobacterium phage Jolie1	98	15	4.08
NC_020199	Staphylococcus phage phi7401PVL	44	34	20.45
NC_012223	Escherichia virus SSL2009a	67	31	13.43
NC_019448	Staphylococcus phage GH15	214	44	4.21
NC_021797	Cellulophaga phage phi12:2	13	2	7.69
NC_024203	Lactococcus phage P092	76	3	3.95
NC_023568	Vibrio phage VH7D	327	193	11.01
NC_019723	Enterobacteria phage HK630	69	25	10.14
NC_024789	Escherichia phage vB_EcoS_AKS96	74	25	8.11
NC_008203	Mycobacterium phage Che12	98	35	9.18
NC_016658	Cyanophage NATL1A-7	65	19	12.31
NC_001909	Lactococcus virus bIL170	64	12	1.56
NC_001491	Equid alphaherpesvirus 1	80	22	2.50
NC_011166	Pseudomonas phage LMA2	94	201	82.98
NC_024217	Nitrincola phage 1M3-16	144	64	15.28
NC_020838	Synechococcus phage S-RIP2	54	134	27.78
NC_006883	Prochlorococcus phage P-SSM2	334	723	30.54
NC_021332	Staphylococcus phage StauST398-3	69	15	4.35
NC_001271	Yersinia phage phiYeO3-12	59	75	22.03
NC_007151	Chrysodeixis chalcites nucleopolyhedrovirus	151	18	3.31
NC_019450	Pseudomonas phage JG004	161	64	16.15
NC_005857	Klebsiella phage phiKO2	64	45	18.75
NC_004928	Enterobacteria phage RB69	273	66	8.42
NC_023701	Mycobacterium phage Acadian	97	38	6.19
NC_015294	Pseudomonas phage PAK_P1	181	63	14.36
NC_017940	European catfish virus	136	104	8.09
NC_023710	Mycobacterium phage RidgeCB	94	25	6.38
NC_020843	Vibrio phage 11895-B1	196	79	7.65
NC_024386	Leuconostoc phage phiLN25	41	3	2.44
NC_004003	Goatpox virus Pellor	150	15	2.67
NC_003389	Swinepox virus	150	43	4.00
NC_020486	Synechococcus phage S-RIM8 A.HR1	211	401	30.33
NC_003356	Enterobacteria phage phiP27	58	73	18.97
NC_023580	Mycobacterium phage Saal	101	37	6.93
NC_020846	Vibrio phage pYD21-A	74	29	9.46
NC_021319	Halovirus HCTV-2	86	19	2.33
NC_020847	Prochlorococcus phage MED4-184	59	44	25.42
NC_026928	Synechococcus phage ACG-2014e	213	364	28.17
NC_021561	Vibrio phage pYD38-B	57	26	12.28
NC_019721	Enterobacterial phage mEp390	59	58	20.34
NC_007064	Staphylococcus phage 92	64	24	7.81
NC_005337	Bovine papular stomatitis virus	131	7	1.53
NC_022086	Mycobacterium phage LittleCherry	87	57	11.49
NC_023571	Oenococcus phage phiS11	59	22	5.08
NC_001847	Bovine alphaherpesvirus 1	70	25	2.86
NC_025471	Idiomarinaceae phage Phi1M2-2	65	24	10.77
NC_000852	Paramecium bursaria Chlorella virus 1	802	626	8.35
NC_008201	Mannheimia phage phiMHaA1	49	40	24.49
NC_023606	Mycobacterium phage CRB1	94	58	8.51
NC_015283	Prochlorococcus phage P-RSM4	239	463	29.29
NC_012027	Mycobacterium phage Phlyer	103	11	4.85
NC_023503	Streptococcus phage 20617	68	103	5.88
NC_023693	Enterobacteria phage phi92	250	238	9.60
NC_008252	Neodiprion abietis NPV	93	1	1.08
NC_004105	Ectromelia virus	173	52	4.05
NC_021067	Vibrio phage helene 12B3	263	84	6.08
NC_002665	Bovine gammaherpesvirus 4	79	12	5.06
NC_009603	Microbacterium phage Min1	77	51	9.09
NC_008206	Mycobacterium phage Wildcat	148	50	3.38
NC_021794	Cellulophaga phage phi18:3	123	61	15.45
NC_016656	Cyanophage P-SSP2	56	35	17.86
NC_027351	Salmonella phage SSE121	242	74	8.68
NC_019422	Clostridium phage phiMMP04	51	29	9.80
NC_007051	Staphylococcus phage 2638A	57	23	12.28
NC_019710	Enterobacteria phage HK140	71	48	19.72
NC_011756	Pseudomonas phage SN	92	201	82.61
NC_012742	Xanthomonas phage phiL7	58	42	24.14
NC_008562	Microcystis aeruginosa phage Ma-LMM01	184	87	6.52
NC_023569	Vibrio phage SHOU24	96	13	6.25
NC_015208	Pseudomonas phage phi15	50	46	16.00
NC_006820	Synechococcus phage S-PM2	244	330	26.23
NC_008584	Thermus phage phiYS40	170	118	6.47
NC_000872	Streptococcus phage Sfi21	50	7	8.00
NC_009233	Heliothis virescens ascovirus 3e	180	11	3.33
NC_021539	Listeria phage LP-030-2	69	23	5.80
NC_011216	Burkholderia phage KS10	49	25	4.08
NC_020844	Salicola phage CGphi29	64	108	20.31
NC_020870	Leuconostoc phage phiLN04	39	2	5.13
NC_018280	Celeribacter phage P12053L	56	246	39.29
NC_009811	Listeria virus A511	190	34	5.79
NC_004112	Lactobacillus phage A2	61	22	8.20
NC_020204	Klebsiella phage JD001	68	46	16.18
NC_018277	Staphylococcus phage SpaA1	63	15	4.76
NC_019517	Escherichia phage FV3	218	34	6.88
NC_024136	Mycobacterium phage Seabiscuit	94	34	8.51
NC_013594	Escherichia phage D108	57	7	7.02
NC_017984	Acinetobacter bacteriophage AP22	89	110	12.36
NC_014662	Enterobacter phage CC31	279	84	9.32
NC_019455	Haemophilus phage SuMu	55	4	3.64
NC_015273	Burkholderia phage KS14	44	12	18.18
NC_019725	Escherichia phage ADB-2	78	28	8.97
NC_024207	Bacillus phage Evoli	294	65	2.72
NC_008798	Staphylococcus phage phiETA2	69	8	4.35
NC_002214	Streptococcus phage Sfi11	51	5	3.92
NC_005309	Canarypox virus	328	38	3.35
NC_008363	Lactococcus virus P008	58	17	1.72
NC_019419	Escherichia virus JL1	60	32	15.00
NC_023556	Achromobacter phage JWAlpha	91	26	19.78
NC_024368	Mycobacterium phage Pinto	87	40	9.20
NC_016655	Rhodococcus phage REQ1	85	30	11.76
NC_024361	Streptococcus phage DCC1738	56	16	8.93
NC_005282	Salmonella phage FelixO1	131	32	9.92
NC_021249	Choristoneura rosaceana entomopoxvirus 'L'	296	20	3.04
NC_011645	Bacillus phage TP21-L	56	42	8.93
NC_021061	Mycobacterium phage Butters	66	49	4.55
NC_008152	Escherichia virus K1-5	52	17	7.69
NC_007057	Staphylococcus phage 96	74	7	1.35
NC_016158	Escherichia phage HK639	76	43	19.74
NC_022971	Pseudomonas phage phiIBB-PAA2	69	117	14.49
NC_006884	Prochlorococcus phage P-SSM4	221	431	29.86
NC_025470	Shewanella sp. phage 1/40	236	62	5.08
NC_018860	Bacillus phage BCP78	227	95	3.96
NC_008520	Anticarsia gemmatalis nucleopolyhedrovirus	158	5	1.27
NC_007821	Enterobacteria phage WA13 sensu lato	10	7	50.00
NC_009235	Burkholderia virus phi6442	71	69	18.31
NC_021533	Mycobacterium phage BTCU-1	73	57	10.96
NC_001697	Haemophilus phage HP1	42	18	14.29
NC_007045	Staphylococcus phage PT1028	22	2	4.55
NC_013055	Burkholderia phage KS9	50	115	30.00
NC_009236	Burkholderia virus phiE122	50	26	28.00
NC_024150	California sea lion adenovirus 1	30	7	3.33
NC_023591	Mycobacterium phage Adler	125	19	4.00
NC_021329	Halovirus HRTV-4	73	11	2.74
NC_020082	Edwardsiella phage MSW-3	66	25	7.58
NC_019930	Tetrasphaera phage TJE1	66	10	10.61
NC_007809	Pseudomonas phage M6	85	91	20.00
NC_018843	Salmonella phage SSU5	130	195	22.31
NC_003907	Vibrio phage VpV262	67	3	2.99
NC_006940	Salmonella phage SS3e	58	8	8.62
NC_007967	Streptomyces phage mu1/6	52	18	7.69
NC_023609	Mycobacterium phage RhynO	73	80	17.81
NC_011802	Salmonella phage SE1	67	53	16.42
NC_004156	Helicoverpa zea nudivirus 2	113	96	5.31
NC_019909	Yersinia phage phiR1-RT	262	83	10.31
NC_013692	Pseudomonas phage LIT1	90	28	13.33
NC_024355	Staphylococcus phage 6ec	142	56	9.86
NC_024382	Alcelaphine gammaherpesvirus 2	70	7	2.86
NC_028854	Paenibacillus phage Sitara	74	45	16.22
NC_011167	Bacillus virus IEBH	86	7	5.81
NC_022766	Bacillus virus Glittering	78	93	5.13
NC_010583	Escherichia virus EPS7	170	68	11.76
NC_018282	Pseudomonas phage MP1412	77	96	23.38
NC_004775	Salmonella phage epsilon15	51	59	25.49
NC_004629	Pseudomonas phage phiKZ	306	71	8.17
NC_024138	Mycobacterium phage MosMoris	111	23	3.60
NC_009814	Listeria phage P35	56	4	3.57
NC_021309	Mycobacterium phage Phrux	141	114	7.09
NC_007917	Clostridium virus phiCD119	79	34	11.39
NC_019443	Synechococcus phage metaG-MbCM1	234	310	27.35
NC_006549	Singapore grouper iridovirus	162	100	6.79
NC_023614	Croceibacter phage P2559Y	51	61	23.53
NC_008617	Staphylococcus phage phiNM3	65	21	7.69
NC_003287	Enterobacteria phage M13	10	8	10.00
NC_015049	Cricetid gammaherpesvirus 2	82	13	2.44
NC_024384	Listeria phage LP-030-3	73	2	2.74
NC_011285	Mycobacterium phage Troll4	84	32	2.38
NC_011272	Mycobacterium phage Rizal	220	97	4.55
NC_011041	Escherichia phage V5	233	37	6.87
NC_011976	Salmonella phage epsilon34	73	64	16.44
NC_018519	Blueberry virus A	10	9	10.00
NC_028788	Paenibacillus phage Diva	60	41	16.67
NC_023499	Staphylococcus phage StauST398-4	65	23	9.23
NC_017969	Escherichia virus AKFV33	160	85	15.00
NC_015293	Pseudoalteromonas phage H105/1	52	50	9.62
NC_022775	Lactobacillus phage phiJB	46	20	6.52
NC_004002	Sheeppox virus	148	14	2.70
NC_004745	Yersinia phage L-413C	40	15	17.50
NC_024148	Mycobacterium phage Phantastic	91	69	13.19
NC_005210	Beet pseudoyellows virus	8	3	12.50
NC_023593	Escherichia phage KBNP1711	126	60	7.94
NC_019768	Enterobacteria phage HK106	65	52	24.62
NC_009011	Spodoptera frugiperda multiple nucleopolyhedrovirus	143	4	2.10
NC_001266	Rabbit fibroma virus	165	15	4.24
NC_026926	Synechococcus phage ACG-2014j	230	376	30.00
NC_010808	Staphylococcus phage phiMR25	70	23	5.71
NC_021788	Cellulophaga phage phi4:1	197	53	7.11
NC_020080	Klebsiella phage KP27	276	89	9.06
NC_021795	Cellulophaga phage phi17:1	65	24	9.23
NC_016924	Cotia virus SPAn232	185	12	1.62
NC_023548	Citrobacter phage CR8	57	46	17.54
NC_021247	Adoxophyes honmai entomopoxvirus 'L'	247	13	2.02
NC_021335	Halovirus HRTV-7	105	2	0.95
NC_014791	Ugandan cassava brown streak virus	2	4	50.00
NC_011357	Stx2-converting phage 1717	77	84	24.68
NC_015270	Enterococcus phage EFRM31	23	6	13.04
NC_011534	Kluyvera phage Kvp1	47	59	27.66
NC_023704	Mycobacterium phage Doom	85	28	5.88
NC_009815	Listeria phage A006	62	14	9.68
NC_018269	Marinomonas phage P12026	54	84	12.96
NC_015279	Synechococcus phage S-SM2	267	501	32.21
NC_021774	Salmonella phage FSL SP-004	40	15	17.50
NC_027383	Escherichia phage YD-2008.s	62	27	14.52
NC_015938	Salmonella phage 7-11	151	138	15.89
NC_020231	Caviid betaherpesvirus 2	110	4	1.82
NC_007019	Streptococcus phage 2972	44	13	6.82
NC_023561	Enterobacter phage PG7	294	82	8.84
NC_023498	Mycobacterium phage Validus	105	21	6.67
NC_009127	Cyprinid herpesvirus 3	163	27	1.23
NC_005137	Choristoneura fumiferana DEF multiple nucleopolyhedrovirus	149	1	0.67
NC_004686	Mycobacterium phage Che9d	111	74	6.31
NC_019509	Cronobacter virus ESP29491	45	29	17.78
NC_020871	Listeria phage vB_LmoM_AG20	178	34	5.62
NC_011039	Mycobacterium phage Predator	92	13	4.35
NC_005906	Neodiprion lecontei nucleopolyhedrovirus	89	1	1.12
NC_013598	Streptococcus phage Alq132	44	11	9.09
NC_006268	Sulfolobus virus STSV1	74	4	5.41
NC_021784	Thermus phage phi OH2	60	31	10.00
NC_010342	Halomonas phage phiHAP-1	46	30	10.87
NC_010495	Salmonella phage Vi II-E1	51	64	19.61
NC_021780	Salmonella phage FSLSP088	70	31	12.86
NC_013036	Anatid alphaherpesvirus 1	77	5	1.30
NC_023744	Mycobacterium phage DS6A	97	25	6.19
NC_023566	Rhizobium phage vB_RglS_P106B	95	32	13.68
NC_022563	Squirrelpox virus	141	12	1.42
NC_010276	Orgyia leucostigma nucleopolyhedrovirus	135	29	2.22
NC_019918	Pseudomonas phage vB_PaeM_C2-10_Ab1	158	64	16.46
NC_003345	Halorubrum phage HF2	114	25	5.26
NC_023718	Pseudomonas phage phiPto-bp6g	68	1	1.47
NC_005069	Yersinia phage PY54	67	29	10.45
NC_015251	Aeromonas virus 65	437	92	5.49
NC_023612	Geobacillus phage GBK2	62	108	11.29
NC_012783	Cercopithecine betaherpesvirus 5	177	3	0.56
NC_023501	Bacillus phage BPS10C	271	19	1.48
NC_007709	Xanthomonas phage OP1	59	43	23.73
NC_019538	Aeromonas phage CC2	427	66	4.68
NC_021334	Mycobacterium phage WIVsmall	83	36	8.43
NC_016567	Vibrio phage SIO-2	115	17	6.96
NC_021853	Lactococcus phage 340	58	16	3.45
NC_013600	Sodalis phage SO1	59	34	16.95
NC_006623	Gallid alphaherpesvirus 1	79	11	1.27
NC_023681	Mamestra brassicae multiple nucleopolyhedrovirus	159	21	1.89
NC_007605	Human gammaherpesvirus 4	95	14	2.11
NC_011703	Pseudomonas phage 14-1	90	201	83.33
NC_022965	Mycobacterium phage CloudWang3	103	78	13.59
NC_021070	Vibrio phage martha 12B12	51	1	1.96
NC_014765	Bathycoccus sp. RCC1105 virus BpV1	203	638	34.98
NC_005263	Burkholderia virus Bcep1	71	40	9.86
NC_019514	Erwinia phage vB_EamP-S6	115	42	9.57
NC_005833	Escherichia virus T1	78	32	11.54
NC_024450	Falconid herpesvirus 1	130	12	1.54
NC_015721	Bdellovibrio phage phi1402	42	2	4.76
NC_011551	Bacteriophage APSE-2	41	54	21.95
NC_023567	Klebsiella phage F19	51	10	7.84
NC_002577	Gallid alphaherpesvirus 3	76	10	2.63
NC_008717	Pseudomonas phage DMS3	52	1	1.92
NC_002656	Mycobacterium phage Bxb1	86	20	4.65
NC_018085	Bacillus phage BtCS33	57	31	10.53
NC_003050	Streptococcus phage MM1	53	32	13.21
NC_015960	Yokapox virus	186	46	2.15
NC_021789	Cellulophaga phage phi19:3	129	55	16.28
NC_019502	Bacillus phage phIS3501	51	20	11.76
NC_016164	Synechococcus phage S-CBS1	43	105	34.88
NC_019709	Enterobacteria phage mEpX1	66	45	21.21
NC_021535	Mycobacterium phage Jobu08	85	73	11.76
NC_011399	Ralstonia phage RSM3	14	9	7.14
NC_016761	Salmonella phage SPN1S	52	75	30.77
NC_024375	Listeria phage LP-026	114	32	4.39
NC_025429	Rhizobium phage vB_RleM_P10VF	257	135	10.12
NC_023712	Mycobacterium phage Firecracker	128	30	2.34
NC_021863	Staphylococcus phage SA13	62	21	6.45
NC_021302	Mycobacterium phage Fishburne	77	52	7.79
NC_001962	Bombyx mori nucleopolyhedrovirus	143	11	1.40
NC_017976	Bacillus phage PBC1	50	22	12.00
NC_015456	Shigella virus Shfl1	80	35	10.00
NC_018836	Streptomyces phage phiHau3	72	28	8.33
NC_020477	Bacillus virus Eoghan	75	91	5.33
NC_025459	Aeromonas phage pAh6-C	86	15	4.65
NC_011421	Bacillus virus SPO1	204	154	6.37
NC_022069	Mycobacterium phage Jabbawokkie	106	35	4.72
NC_020158	Halovirus HVTV-1	173	71	6.36
NC_015265	Burkholderia phage KS5	46	27	19.57
NC_008208	Aeromonas virus 25	242	71	10.33
NC_008207	Mycobacterium phage Catera	218	101	5.05
NC_025425	Enterobacteria phage GEC-3S	277	50	7.22
NC_011616	Spodoptera litura nucleopolyhedrovirus II	147	5	0.68
NC_023715	Yersinia phage Yep-phi	45	55	28.89
NC_019508	Clostridium phage phiCP34O	52	17	9.62
NC_012756	Streptococcus phage PH10	54	7	9.26
NC_020481	Pelagibacter phage HTVC010P	64	95	23.44
NC_019919	Yersinia phage phiR201	166	93	12.05
NC_023747	Mycobacterium phage BarrelRoll	95	27	7.37
NC_011308	Listeria phage P40	62	1	1.61
NC_008586	Ectropis obliqua nucleopolyhedrovirus	126	12	1.59
NC_008195	Mycobacterium phage Cooper	99	10	6.06
NC_018279	Salmonella phage vB_SosS_Oslo	79	106	16.46
NC_007646	Ovine gammaherpesvirus 2	73	17	4.11
NC_020857	Cyanophage MED4-117	63	45	25.40
NC_019496	Clostridium phage phiCP26F	49	24	14.29
NC_022915	Ralstonia phage RSK1	54	76	24.07
NC_004165	Bacillus virus B103	17	24	5.88
NC_011022	Mycobacterium phage DD5	87	38	5.75
NC_022988	Mycobacterium phage Bruin	141	118	7.80
NC_002642	Yaba-like disease virus	152	16	2.63
NC_023588	Stenotrophomonas phage Smp131	46	20	19.57
NC_020081	Bacillus phage phiAGATE	210	114	7.14
NC_001895	Escherichia virus P2	43	20	20.93
NC_019511	Staphylococcus virus SA11	186	47	5.38
NC_022060	Mycobacterium phage Velveteen	100	32	4.00
NC_022914	Staphylococcus phage phiRS7	62	38	9.68
NC_018850	Pseudomonas phage UFV-P2	75	90	12.00
NC_022752	Salmonella phage SETP13	69	23	10.14
NC_019488	Salmonella phage RE-2010	47	24	27.66
NC_015933	Escherichia phage vB_EcoP_G7C	79	15	16.46
NC_022059	Mycobacterium phage DrDrey	144	109	6.25
NC_025444	Mycobacterium phage RedRock	95	58	11.58
NC_022758	Staphylococcus phage YMC/09/04/R1988	62	33	14.52
NC_019545	Salmonella phage SPN3UB	71	37	9.86
