Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
NC_020841	Psychrobacter phage pOW20-A	71	181	22.54
NC_008194	Mycobacterium virus 244	142	107	10.56
NC_003310	Monkeypox virus Zaire-96-I-16	191	107	4.19
NC_015271	Salmonella phage Vi06	47	13	21.28
NC_003309	Burkholderia virus phiE125	71	135	29.58
NC_019525	Bdellovibrio phage phi1422	76	63	11.84
NC_024329	Podovirus Lau218	48	116	27.08
NC_025452	Dickeya phage RC-2014	196	68	13.78
NC_018838	Propionibacterium phage P100_A	45	8	11.11
NC_001452	Visna/maedi virus	6	1	16.67
NC_022071	Mycobacterium phage Crossroads	133	46	11.28
NC_003313	Vibrio phage K139	44	11	15.91
NC_014636	Aeromonas phage phiAS5	343	171	10.50
NC_005178	Pseudomonas phage D3112	55	14	16.36
NC_013638	Pseudomonas phage phi-2	43	26	25.58
NC_018504	Apocheima cinerarium nucleopolyhedrovirus	117	8	2.56
NC_023699	Mycobacterium phage SG4	105	80	8.57
NC_023554	Mycobacterium phage JAMaL	98	25	9.18
NC_023577	Mycobacterium phage Obama12	89	125	15.73
NC_023706	Rhodococcus phage ReqiDocB7	105	21	4.76
NC_022763	Bacillus phage Spock	283	108	4.59
NC_004117	Mamestra configurata nucleopolyhedrovirus B	168	31	2.98
NC_011269	Mycobacterium phage ScottMcG	221	118	5.43
NC_023720	Mycobacterium phage Perseus	92	49	10.87
NC_003494	Infectious spleen and kidney necrosis virus	125	36	4.00
NC_024784	Escherichia phage vB_EcoS_AHS24	81	24	12.35
NC_019398	Cronobacter phage vB_CsaM_GAP161	275	133	14.91
NC_007383	Trichoplusia ni single nucleopolyhedrovirus	145	23	3.45
NC_005891	Vibrio phage VP5	48	22	12.50
NC_018841	Propionibacterium phage P101A	47	3	6.38
NC_022338	Propionibacterium phage PHL060L00	46	5	8.70
NC_017974	Cronobacter phage CR3	265	112	7.92
NC_024697	Aureococcus anophagefferens virus	376	636	13.56
NC_004812	Macacine alphaherpesvirus 1	75	19	4.00
NC_022067	Mycobacterium phage Wanda	240	145	7.92
NC_023602	Mycobacterium phage 32HC	86	42	4.65
NC_018875	Epinotia aporema granulovirus	132	11	2.27
NC_016072	Megavirus chiliensis	1120	1664	10.45
NC_021558	Paenibacillus phage PG1	67	10	5.97
NC_023502	Rhizobium phage vB_RleS_L338C	181	127	11.05
NC_023607	Mycobacterium phage 40AC	90	79	13.33
NC_025467	Enterococcus phage vB_Efae230P-4	25	1	4.00
NC_022323	Escherichia phage JES2013	220	75	11.36
NC_000929	Escherichia virus Mu	55	24	14.55
NC_023426	Anomala cuprea entomopoxvirus	263	235	1.90
NC_008574	Ralstonia phage RSM1	15	7	6.67
NC_020848	Vibrio phage VBP47	115	54	12.17
NC_019513	Staphylococcus phage SMSAP5	42	59	19.05
NC_021348	Mycobacterium phage ArcherS7	237	114	5.06
NC_021344	Escherichia phage Lw1	273	109	12.45
NC_025449	Escherichia phage ECML-134	270	100	10.00
NC_001511	Ovine lentivirus	6	1	16.67
NC_023610	Erwinia phage PhiEaH1	241	128	9.96
NC_025466	Shewanella sp. phage 3/49	70	54	17.14
NC_018272	Nonlabens phage P12024L	58	178	43.10
NC_018847	Propionibacterium phage ATCC29399B_T	46	3	4.35
NC_024451	Armadillidium vulgare iridescent virus	203	162	10.34
NC_025458	Shewanella sp. phage 1/41	69	29	17.39
NC_015457	Shigella phage Shfl2	265	105	10.19
NC_015719	Escherichia phage K30	49	38	16.33
NC_012788	Mycobacterium phage Angel	61	19	3.28
NC_013643	Enterococcus phage phiFL2A	63	23	7.94
NC_023553	Mycobacterium phage Echild	100	72	12.00
NC_005882	Burkholderia virus BcepMu	53	54	16.98
NC_019506	Clostridium phage phiCP13O	55	23	10.91
NC_014637	Cafeteria roenbergensis virus BV-PW1	544	1239	16.18
NC_013694	Mycobacterium phage Peaches	86	130	17.44
NC_022968	Escherichia phage 4MG	271	133	10.33
NC_019921	Staphylococcus phage phi5967PVL	42	7	9.52
NC_024486	Duck adenovirus 2	36	3	2.78
NC_007048	Staphylococcus phage 69	69	5	2.90
NC_013645	Streptococcus phage Abc2	48	7	8.33
NC_015285	Prochlorococcus phage Syn33	227	732	34.80
NC_023600	Mycobacterium phage Jolie1	98	23	6.12
NC_020199	Staphylococcus phage phi7401PVL	44	64	22.73
NC_012223	Escherichia virus SSL2009a	67	43	14.93
NC_019448	Staphylococcus phage GH15	214	58	6.07
NC_021797	Cellulophaga phage phi12:2	13	1	7.69
NC_024203	Lactococcus phage P092	76	1	1.32
NC_023568	Vibrio phage VH7D	327	302	15.60
NC_019723	Enterobacteria phage HK630	69	40	17.39
NC_024789	Escherichia phage vB_EcoS_AKS96	74	33	12.16
NC_008203	Mycobacterium phage Che12	98	37	9.18
NC_016658	Cyanophage NATL1A-7	65	35	16.92
NC_001909	Lactococcus virus bIL170	64	17	3.12
NC_001491	Equid alphaherpesvirus 1	80	33	3.75
NC_011166	Pseudomonas phage LMA2	94	245	96.81
NC_024217	Nitrincola phage 1M3-16	144	83	14.58
NC_020838	Synechococcus phage S-RIP2	54	178	27.78
NC_006883	Prochlorococcus phage P-SSM2	334	1295	35.03
NC_021332	Staphylococcus phage StauST398-3	69	14	7.25
NC_001271	Yersinia phage phiYeO3-12	59	86	20.34
NC_007151	Chrysodeixis chalcites nucleopolyhedrovirus	151	40	3.97
NC_019450	Pseudomonas phage JG004	161	97	18.63
NC_005857	Klebsiella phage phiKO2	64	66	18.75
NC_004928	Enterobacteria phage RB69	273	98	11.72
NC_023701	Mycobacterium phage Acadian	97	44	8.25
NC_015294	Pseudomonas phage PAK_P1	181	101	17.13
NC_017940	European catfish virus	136	111	8.82
NC_023710	Mycobacterium phage RidgeCB	94	31	8.51
NC_020843	Vibrio phage 11895-B1	196	94	11.73
NC_024386	Leuconostoc phage phiLN25	41	4	4.88
NC_004003	Goatpox virus Pellor	150	29	4.00
NC_003389	Swinepox virus	150	74	4.00
NC_020486	Synechococcus phage S-RIM8 A.HR1	211	731	33.65
NC_003356	Enterobacteria phage phiP27	58	113	24.14
NC_023580	Mycobacterium phage Saal	101	44	7.92
NC_020846	Vibrio phage pYD21-A	74	46	10.81
NC_021319	Halovirus HCTV-2	86	18	2.33
NC_020847	Prochlorococcus phage MED4-184	59	65	37.29
NC_026928	Synechococcus phage ACG-2014e	213	636	34.27
NC_021561	Vibrio phage pYD38-B	57	30	10.53
NC_019721	Enterobacterial phage mEp390	59	91	25.42
NC_007064	Staphylococcus phage 92	64	19	9.38
NC_005337	Bovine papular stomatitis virus	131	14	1.53
NC_022086	Mycobacterium phage LittleCherry	87	63	12.64
NC_023571	Oenococcus phage phiS11	59	43	5.08
NC_001847	Bovine alphaherpesvirus 1	70	37	4.29
NC_025471	Idiomarinaceae phage Phi1M2-2	65	38	16.92
NC_000852	Paramecium bursaria Chlorella virus 1	802	927	12.09
NC_008201	Mannheimia phage phiMHaA1	49	45	30.61
NC_023606	Mycobacterium phage CRB1	94	65	10.64
NC_014474	Simian retrovirus 4	4	1	25.00
NC_015283	Prochlorococcus phage P-RSM4	239	806	33.89
NC_012027	Mycobacterium phage Phlyer	103	29	7.77
NC_023503	Streptococcus phage 20617	68	124	7.35
NC_023693	Enterobacteria phage phi92	250	325	11.60
NC_008252	Neodiprion abietis NPV	93	2	1.08
NC_004105	Ectromelia virus	173	107	4.62
NC_021067	Vibrio phage helene 12B3	263	103	6.08
NC_002665	Bovine gammaherpesvirus 4	79	11	5.06
NC_009603	Microbacterium phage Min1	77	73	9.09
NC_008206	Mycobacterium phage Wildcat	148	62	7.43
NC_021794	Cellulophaga phage phi18:3	123	90	13.01
NC_016656	Cyanophage P-SSP2	56	40	23.21
NC_027351	Salmonella phage SSE121	242	139	13.22
NC_019422	Clostridium phage phiMMP04	51	27	9.80
NC_007051	Staphylococcus phage 2638A	57	53	14.04
NC_019710	Enterobacteria phage HK140	71	66	26.76
NC_011756	Pseudomonas phage SN	92	242	94.57
NC_012742	Xanthomonas phage phiL7	58	80	34.48
NC_008562	Microcystis aeruginosa phage Ma-LMM01	184	129	8.15
NC_023569	Vibrio phage SHOU24	96	24	5.21
NC_015208	Pseudomonas phage phi15	50	26	18.00
NC_006820	Synechococcus phage S-PM2	244	617	32.79
NC_008584	Thermus phage phiYS40	170	117	5.88
NC_000872	Streptococcus phage Sfi21	50	10	10.00
NC_009233	Heliothis virescens ascovirus 3e	180	13	2.78
NC_021539	Listeria phage LP-030-2	69	21	7.25
NC_011216	Burkholderia phage KS10	49	32	6.12
NC_002331	Xestia c-nigrum granulovirus	181	9	2.76
NC_020844	Salicola phage CGphi29	64	117	18.75
NC_020870	Leuconostoc phage phiLN04	39	1	2.56
NC_018280	Celeribacter phage P12053L	56	281	42.86
NC_009811	Listeria virus A511	190	43	7.89
NC_004112	Lactobacillus phage A2	61	27	9.84
NC_020204	Klebsiella phage JD001	68	61	13.24
NC_018277	Staphylococcus phage SpaA1	63	10	6.35
NC_019517	Escherichia phage FV3	218	69	10.09
NC_024136	Mycobacterium phage Seabiscuit	94	37	11.70
NC_013594	Escherichia phage D108	57	25	15.79
NC_017984	Acinetobacter bacteriophage AP22	89	125	15.73
NC_014662	Enterobacter phage CC31	279	125	11.47
NC_019455	Haemophilus phage SuMu	55	10	16.36
NC_015273	Burkholderia phage KS14	44	44	45.45
NC_019725	Escherichia phage ADB-2	78	24	5.13
NC_024207	Bacillus phage Evoli	294	74	2.72
NC_008798	Staphylococcus phage phiETA2	69	4	1.45
NC_002214	Streptococcus phage Sfi11	51	6	3.92
NC_005309	Canarypox virus	328	49	2.74
NC_008363	Lactococcus virus P008	58	17	3.45
NC_019419	Escherichia virus JL1	60	43	16.67
NC_023556	Achromobacter phage JWAlpha	91	56	21.98
NC_024368	Mycobacterium phage Pinto	87	45	13.79
NC_016655	Rhodococcus phage REQ1	85	28	11.76
NC_024361	Streptococcus phage DCC1738	56	18	10.71
NC_005282	Salmonella phage FelixO1	131	61	15.27
NC_021249	Choristoneura rosaceana entomopoxvirus 'L'	296	49	4.73
NC_011645	Bacillus phage TP21-L	56	37	10.71
NC_021061	Mycobacterium phage Butters	66	42	9.09
NC_008152	Escherichia virus K1-5	52	21	13.46
NC_007057	Staphylococcus phage 96	74	11	2.70
NC_016158	Escherichia phage HK639	76	57	21.05
NC_022971	Pseudomonas phage phiIBB-PAA2	69	150	17.39
NC_006884	Prochlorococcus phage P-SSM4	221	738	33.03
NC_025470	Shewanella sp. phage 1/40	236	91	8.05
NC_018860	Bacillus phage BCP78	227	125	6.17
NC_008520	Anticarsia gemmatalis nucleopolyhedrovirus	158	9	1.27
NC_009235	Burkholderia virus phi6442	71	93	19.72
NC_021533	Mycobacterium phage BTCU-1	73	61	10.96
NC_001697	Haemophilus phage HP1	42	24	16.67
NC_007045	Staphylococcus phage PT1028	22	2	4.55
NC_013055	Burkholderia phage KS9	50	177	36.00
NC_009236	Burkholderia virus phiE122	50	47	40.00
NC_024150	California sea lion adenovirus 1	30	8	3.33
NC_023591	Mycobacterium phage Adler	125	15	4.00
NC_021329	Halovirus HRTV-4	73	11	2.74
NC_020082	Edwardsiella phage MSW-3	66	30	12.12
NC_019930	Tetrasphaera phage TJE1	66	23	7.58
NC_007809	Pseudomonas phage M6	85	129	23.53
NC_018843	Salmonella phage SSU5	130	221	20.77
NC_001942	Mycoplasma phage MAV1	15	2	6.67
NC_003907	Vibrio phage VpV262	67	9	8.96
NC_006940	Salmonella phage SS3e	58	25	20.69
NC_007967	Streptomyces phage mu1/6	52	15	5.77
NC_023609	Mycobacterium phage RhynO	73	79	19.18
NC_011802	Salmonella phage SE1	67	70	22.39
NC_000899	Fowl aviadenovirus D	29	4	3.45
NC_004156	Helicoverpa zea nudivirus 2	113	121	7.08
NC_019909	Yersinia phage phiR1-RT	262	120	12.21
NC_013692	Pseudomonas phage LIT1	90	31	16.67
NC_024355	Staphylococcus phage 6ec	142	85	10.56
NC_024382	Alcelaphine gammaherpesvirus 2	70	11	2.86
NC_028854	Paenibacillus phage Sitara	74	59	20.27
NC_011167	Bacillus virus IEBH	86	8	3.49
NC_022766	Bacillus virus Glittering	78	121	6.41
NC_010583	Escherichia virus EPS7	170	104	16.47
NC_018282	Pseudomonas phage MP1412	77	130	25.97
NC_004775	Salmonella phage epsilon15	51	89	31.37
NC_004629	Pseudomonas phage phiKZ	306	131	24.51
NC_024138	Mycobacterium phage MosMoris	111	24	5.41
NC_009814	Listeria phage P35	56	6	5.36
NC_021309	Mycobacterium phage Phrux	141	124	8.51
NC_007917	Clostridium virus phiCD119	79	52	13.92
NC_019443	Synechococcus phage metaG-MbCM1	234	555	30.77
NC_017979	Goose adenovirus 4	34	3	2.94
NC_006549	Singapore grouper iridovirus	162	106	5.56
NC_023614	Croceibacter phage P2559Y	51	78	27.45
NC_008617	Staphylococcus phage phiNM3	65	27	15.38
NC_003287	Enterobacteria phage M13	10	11	10.00
NC_015049	Cricetid gammaherpesvirus 2	82	16	2.44
NC_024384	Listeria phage LP-030-3	73	7	5.48
NC_011285	Mycobacterium phage Troll4	84	35	4.76
NC_011272	Mycobacterium phage Rizal	220	113	5.45
NC_011041	Escherichia phage V5	233	72	10.73
NC_011976	Salmonella phage epsilon34	73	76	20.55
NC_018519	Blueberry virus A	10	9	10.00
NC_028788	Paenibacillus phage Diva	60	56	21.67
NC_023499	Staphylococcus phage StauST398-4	65	31	16.92
NC_017969	Escherichia virus AKFV33	160	145	18.75
NC_015293	Pseudoalteromonas phage H105/1	52	63	15.38
NC_022775	Lactobacillus phage phiJB	46	17	6.52
NC_004002	Sheeppox virus	148	28	3.38
NC_004814	Streptococcus phage C1	20	1	5.00
NC_004745	Yersinia phage L-413C	40	31	40.00
NC_024148	Mycobacterium phage Phantastic	91	73	13.19
NC_005210	Beet pseudoyellows virus	8	3	12.50
NC_023593	Escherichia phage KBNP1711	126	87	9.52
NC_019768	Enterobacteria phage HK106	65	75	29.23
NC_009011	Spodoptera frugiperda multiple nucleopolyhedrovirus	143	11	2.80
NC_001266	Rabbit fibroma virus	165	29	4.85
NC_026926	Synechococcus phage ACG-2014j	230	659	34.35
NC_010808	Staphylococcus phage phiMR25	70	21	5.71
NC_010240	Helicoverpa armigera granulovirus	179	10	2.79
NC_021788	Cellulophaga phage phi4:1	197	75	9.64
NC_020080	Klebsiella phage KP27	276	121	12.32
NC_021795	Cellulophaga phage phi17:1	65	27	15.38
NC_016924	Cotia virus SPAn232	185	23	2.16
NC_023548	Citrobacter phage CR8	57	58	15.79
NC_021247	Adoxophyes honmai entomopoxvirus 'L'	247	29	2.83
NC_021335	Halovirus HRTV-7	105	3	1.90
NC_014791	Ugandan cassava brown streak virus	2	9	50.00
NC_011357	Stx2-converting phage 1717	77	103	23.38
NC_015270	Enterococcus phage EFRM31	23	14	21.74
NC_011534	Kluyvera phage Kvp1	47	51	23.40
NC_023704	Mycobacterium phage Doom	85	40	10.59
NC_009815	Listeria phage A006	62	22	9.68
NC_018269	Marinomonas phage P12026	54	124	22.22
NC_015279	Synechococcus phage S-SM2	267	949	40.82
NC_021774	Salmonella phage FSL SP-004	40	33	40.00
NC_027383	Escherichia phage YD-2008.s	62	35	16.13
NC_015938	Salmonella phage 7-11	151	164	15.23
NC_001494	Jaagsiekte sheep retrovirus	5	1	20.00
NC_020231	Caviid betaherpesvirus 2	110	7	1.82
NC_007019	Streptococcus phage 2972	44	16	6.82
NC_023561	Enterobacter phage PG7	294	120	10.88
NC_023498	Mycobacterium phage Validus	105	26	7.62
NC_009127	Cyprinid herpesvirus 3	163	54	1.84
NC_005137	Choristoneura fumiferana DEF multiple nucleopolyhedrovirus	149	4	2.68
NC_004686	Mycobacterium phage Che9d	111	83	5.41
NC_019509	Cronobacter virus ESP29491	45	25	13.33
NC_020871	Listeria phage vB_LmoM_AG20	178	42	7.87
NC_011039	Mycobacterium phage Predator	92	17	2.17
NC_005906	Neodiprion lecontei nucleopolyhedrovirus	89	2	1.12
NC_013598	Streptococcus phage Alq132	44	11	9.09
NC_006268	Sulfolobus virus STSV1	74	1	1.35
NC_021784	Thermus phage phi OH2	60	43	20.00
NC_010342	Halomonas phage phiHAP-1	46	39	13.04
NC_010495	Salmonella phage Vi II-E1	51	71	15.69
NC_021780	Salmonella phage FSLSP088	70	74	25.71
NC_013036	Anatid alphaherpesvirus 1	77	11	2.60
NC_023744	Mycobacterium phage DS6A	97	25	8.25
NC_016447	Aotine betaherpesvirus 1	146	6	1.37
NC_023566	Rhizobium phage vB_RglS_P106B	95	59	10.53
NC_022563	Squirrelpox virus	141	9	1.42
NC_010276	Orgyia leucostigma nucleopolyhedrovirus	135	50	3.70
NC_019918	Pseudomonas phage vB_PaeM_C2-10_Ab1	158	95	18.99
NC_003345	Halorubrum phage HF2	114	26	4.39
NC_023718	Pseudomonas phage phiPto-bp6g	68	4	5.88
NC_005069	Yersinia phage PY54	67	38	11.94
NC_015251	Aeromonas virus 65	437	137	7.32
NC_023612	Geobacillus phage GBK2	62	152	16.13
NC_012783	Cercopithecine betaherpesvirus 5	177	3	0.56
NC_023501	Bacillus phage BPS10C	271	24	3.69
NC_007709	Xanthomonas phage OP1	59	71	35.59
NC_019538	Aeromonas phage CC2	427	130	7.03
NC_021334	Mycobacterium phage WIVsmall	83	39	12.05
NC_016567	Vibrio phage SIO-2	115	18	3.48
NC_021853	Lactococcus phage 340	58	18	3.45
NC_013600	Sodalis phage SO1	59	48	18.64
NC_006623	Gallid alphaherpesvirus 1	79	11	1.27
NC_023681	Mamestra brassicae multiple nucleopolyhedrovirus	159	35	3.77
NC_007605	Human gammaherpesvirus 4	95	21	3.16
NC_011703	Pseudomonas phage 14-1	90	239	96.67
NC_018862	Dragonfly-associated microphage 1	5	2	20.00
NC_022965	Mycobacterium phage CloudWang3	103	78	15.53
NC_021070	Vibrio phage martha 12B12	51	9	11.76
NC_014765	Bathycoccus sp. RCC1105 virus BpV1	203	1123	42.36
NC_005263	Burkholderia virus Bcep1	71	37	11.27
NC_019514	Erwinia phage vB_EamP-S6	115	51	13.91
NC_005833	Escherichia virus T1	78	38	8.97
NC_024450	Falconid herpesvirus 1	130	22	2.31
NC_015721	Bdellovibrio phage phi1402	42	3	4.76
NC_011551	Bacteriophage APSE-2	41	95	26.83
NC_023567	Klebsiella phage F19	51	20	15.69
NC_002577	Gallid alphaherpesvirus 3	76	12	3.95
NC_008717	Pseudomonas phage DMS3	52	16	19.23
NC_002656	Mycobacterium phage Bxb1	86	33	6.98
NC_018085	Bacillus phage BtCS33	57	43	12.28
NC_003050	Streptococcus phage MM1	53	36	11.32
NC_015960	Yokapox virus	186	86	2.15
NC_021789	Cellulophaga phage phi19:3	129	75	14.73
NC_019502	Bacillus phage phIS3501	51	36	11.76
NC_016164	Synechococcus phage S-CBS1	43	128	46.51
NC_019709	Enterobacteria phage mEpX1	66	59	27.27
NC_021535	Mycobacterium phage Jobu08	85	85	14.12
NC_011399	Ralstonia phage RSM3	14	7	7.14
NC_016761	Salmonella phage SPN1S	52	101	34.62
NC_024375	Listeria phage LP-026	114	29	4.39
NC_025429	Rhizobium phage vB_RleM_P10VF	257	197	11.67
NC_023712	Mycobacterium phage Firecracker	128	48	6.25
NC_021863	Staphylococcus phage SA13	62	10	6.45
NC_021302	Mycobacterium phage Fishburne	77	53	7.79
NC_001962	Bombyx mori nucleopolyhedrovirus	143	19	2.80
NC_017976	Bacillus phage PBC1	50	43	14.00
NC_015456	Shigella virus Shfl1	80	31	7.50
NC_018836	Streptomyces phage phiHau3	72	42	9.72
NC_003084	Culex nigripalpus nucleopolyhedrovirus	109	1	0.92
NC_020477	Bacillus virus Eoghan	75	119	6.67
NC_025459	Aeromonas phage pAh6-C	86	19	11.63
NC_011421	Bacillus virus SPO1	204	193	6.86
NC_022069	Mycobacterium phage Jabbawokkie	106	29	4.72
NC_009875	Staphylococcus phage SAP-2	20	1	5.00
NC_020158	Halovirus HVTV-1	173	83	7.51
NC_015265	Burkholderia phage KS5	46	63	43.48
NC_008208	Aeromonas virus 25	242	135	14.88
NC_008207	Mycobacterium phage Catera	218	111	5.50
NC_025425	Enterobacteria phage GEC-3S	277	89	10.47
NC_011616	Spodoptera litura nucleopolyhedrovirus II	147	18	4.08
NC_023715	Yersinia phage Yep-phi	45	43	22.22
NC_019508	Clostridium phage phiCP34O	52	23	13.46
NC_012756	Streptococcus phage PH10	54	8	11.11
NC_020481	Pelagibacter phage HTVC010P	64	197	39.06
NC_019919	Yersinia phage phiR201	166	157	17.47
NC_023747	Mycobacterium phage BarrelRoll	95	29	8.42
NC_011308	Listeria phage P40	62	3	3.23
NC_008586	Ectropis obliqua nucleopolyhedrovirus	126	23	2.38
NC_008195	Mycobacterium phage Cooper	99	15	7.07
NC_018279	Salmonella phage vB_SosS_Oslo	79	117	20.25
NC_007646	Ovine gammaherpesvirus 2	73	20	4.11
NC_020857	Cyanophage MED4-117	63	73	38.10
NC_019496	Clostridium phage phiCP26F	49	31	18.37
NC_022915	Ralstonia phage RSK1	54	88	31.48
NC_004165	Bacillus virus B103	17	20	5.88
NC_011022	Mycobacterium phage DD5	87	49	10.34
NC_022988	Mycobacterium phage Bruin	141	133	9.93
NC_002642	Yaba-like disease virus	152	38	4.61
