Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
NC_025452	Dickeya phage RC-2014	196	51	10.71
NC_018838	Propionibacterium phage P100_A	45	7	11.11
NC_022071	Mycobacterium phage Crossroads	133	37	9.77
NC_003313	Vibrio phage K139	44	8	11.36
NC_014636	Aeromonas phage phiAS5	343	154	9.33
NC_005178	Pseudomonas phage D3112	55	10	10.91
NC_013638	Pseudomonas phage phi-2	43	10	6.98
NC_018504	Apocheima cinerarium nucleopolyhedrovirus	117	8	4.27
NC_023699	Mycobacterium phage SG4	105	92	8.57
NC_023554	Mycobacterium phage JAMaL	98	27	8.16
NC_023577	Mycobacterium phage Obama12	89	144	15.73
NC_023706	Rhodococcus phage ReqiDocB7	105	28	5.71
NC_022763	Bacillus phage Spock	283	122	4.95
NC_004117	Mamestra configurata nucleopolyhedrovirus B	168	39	3.57
NC_011269	Mycobacterium phage ScottMcG	221	124	8.60
NC_023720	Mycobacterium phage Perseus	92	58	8.70
NC_003494	Infectious spleen and kidney necrosis virus	125	40	4.80
NC_024784	Escherichia phage vB_EcoS_AHS24	81	27	7.41
NC_019398	Cronobacter phage vB_CsaM_GAP161	275	116	14.55
NC_007383	Trichoplusia ni single nucleopolyhedrovirus	145	28	2.76
NC_005891	Vibrio phage VP5	48	25	10.42
NC_018841	Propionibacterium phage P101A	47	4	8.51
NC_022338	Propionibacterium phage PHL060L00	46	9	8.70
NC_017974	Cronobacter phage CR3	265	124	9.81
NC_024697	Aureococcus anophagefferens virus	376	599	14.63
NC_004812	Macacine alphaherpesvirus 1	75	27	2.67
NC_022067	Mycobacterium phage Wanda	240	154	5.42
NC_023602	Mycobacterium phage 32HC	86	55	6.98
NC_018875	Epinotia aporema granulovirus	132	14	3.03
NC_016072	Megavirus chiliensis	1120	1727	10.09
NC_021558	Paenibacillus phage PG1	67	8	2.99
NC_023502	Rhizobium phage vB_RleS_L338C	181	167	18.23
NC_023607	Mycobacterium phage 40AC	90	114	14.44
NC_025467	Enterococcus phage vB_Efae230P-4	25	2	4.00
NC_022323	Escherichia phage JES2013	220	82	8.64
NC_000929	Escherichia virus Mu	55	8	7.27
NC_023426	Anomala cuprea entomopoxvirus	263	260	1.90
NC_008574	Ralstonia phage RSM1	15	7	6.67
NC_020848	Vibrio phage VBP47	115	59	13.04
NC_019513	Staphylococcus phage SMSAP5	42	49	21.43
NC_021348	Mycobacterium phage ArcherS7	237	126	8.44
NC_021344	Escherichia phage Lw1	273	103	12.09
NC_025449	Escherichia phage ECML-134	270	71	8.15
NC_023610	Erwinia phage PhiEaH1	241	118	4.15
NC_025466	Shewanella sp. phage 3/49	70	63	18.57
NC_018272	Nonlabens phage P12024L	58	131	37.93
NC_018847	Propionibacterium phage ATCC29399B_T	46	7	6.52
NC_024451	Armadillidium vulgare iridescent virus	203	159	8.37
NC_025458	Shewanella sp. phage 1/41	69	36	17.39
NC_015457	Shigella phage Shfl2	265	80	8.30
NC_015719	Escherichia phage K30	49	73	20.41
NC_012788	Mycobacterium phage Angel	61	33	9.84
NC_013643	Enterococcus phage phiFL2A	63	30	12.70
NC_023553	Mycobacterium phage Echild	100	76	12.00
NC_005882	Burkholderia virus BcepMu	53	59	20.75
NC_019506	Clostridium phage phiCP13O	55	23	9.09
NC_014637	Cafeteria roenbergensis virus BV-PW1	544	1278	15.07
NC_013694	Mycobacterium phage Peaches	86	155	18.60
NC_022968	Escherichia phage 4MG	271	139	8.49
NC_019921	Staphylococcus phage phi5967PVL	42	9	11.90
NC_007048	Staphylococcus phage 69	69	6	2.90
NC_013645	Streptococcus phage Abc2	48	3	6.25
NC_015285	Prochlorococcus phage Syn33	227	578	32.16
NC_023600	Mycobacterium phage Jolie1	98	27	7.14
NC_020199	Staphylococcus phage phi7401PVL	44	58	22.73
NC_012223	Escherichia virus SSL2009a	67	47	14.93
NC_019448	Staphylococcus phage GH15	214	71	7.48
NC_024203	Lactococcus phage P092	76	2	2.63
NC_023568	Vibrio phage VH7D	327	242	11.93
NC_019723	Enterobacteria phage HK630	69	44	21.74
NC_024789	Escherichia phage vB_EcoS_AKS96	74	32	8.11
NC_008203	Mycobacterium phage Che12	98	39	7.14
NC_016658	Cyanophage NATL1A-7	65	44	18.46
NC_001909	Lactococcus virus bIL170	64	18	3.12
NC_001491	Equid alphaherpesvirus 1	80	34	2.50
NC_011166	Pseudomonas phage LMA2	94	210	96.81
NC_024217	Nitrincola phage 1M3-16	144	82	18.06
NC_020838	Synechococcus phage S-RIP2	54	184	25.93
NC_006883	Prochlorococcus phage P-SSM2	334	1100	32.34
NC_021332	Staphylococcus phage StauST398-3	69	27	8.70
NC_001271	Yersinia phage phiYeO3-12	59	140	27.12
NC_007151	Chrysodeixis chalcites nucleopolyhedrovirus	151	45	3.97
NC_019450	Pseudomonas phage JG004	161	95	14.91
NC_005857	Klebsiella phage phiKO2	64	57	21.88
NC_004928	Enterobacteria phage RB69	273	72	8.06
NC_023701	Mycobacterium phage Acadian	97	46	8.25
NC_015294	Pseudomonas phage PAK_P1	181	96	13.26
NC_017940	European catfish virus	136	112	7.35
NC_023710	Mycobacterium phage RidgeCB	94	34	9.57
NC_020843	Vibrio phage 11895-B1	196	109	11.73
NC_024386	Leuconostoc phage phiLN25	41	6	2.44
NC_004003	Goatpox virus Pellor	150	36	4.00
NC_003389	Swinepox virus	150	80	4.67
NC_020486	Synechococcus phage S-RIM8 A.HR1	211	565	31.75
NC_003356	Enterobacteria phage phiP27	58	97	22.41
NC_023580	Mycobacterium phage Saal	101	42	6.93
NC_020846	Vibrio phage pYD21-A	74	55	16.22
NC_021319	Halovirus HCTV-2	86	22	1.16
NC_020847	Prochlorococcus phage MED4-184	59	50	32.20
NC_026928	Synechococcus phage ACG-2014e	213	543	31.46
NC_021561	Vibrio phage pYD38-B	57	42	12.28
NC_019721	Enterobacterial phage mEp390	59	75	20.34
NC_007064	Staphylococcus phage 92	64	23	12.50
NC_005337	Bovine papular stomatitis virus	131	11	2.29
NC_022086	Mycobacterium phage LittleCherry	87	83	11.49
NC_023571	Oenococcus phage phiS11	59	33	3.39
NC_001847	Bovine alphaherpesvirus 1	70	31	2.86
NC_025471	Idiomarinaceae phage Phi1M2-2	65	57	16.92
NC_000852	Paramecium bursaria Chlorella virus 1	802	816	7.61
NC_008201	Mannheimia phage phiMHaA1	49	51	32.65
NC_023606	Mycobacterium phage CRB1	94	81	9.57
NC_014474	Simian retrovirus 4	4	1	25.00
NC_015283	Prochlorococcus phage P-RSM4	239	666	31.80
NC_012027	Mycobacterium phage Phlyer	103	29	7.77
NC_023503	Streptococcus phage 20617	68	126	5.88
NC_023693	Enterobacteria phage phi92	250	347	13.60
NC_008252	Neodiprion abietis NPV	93	1	1.08
NC_004105	Ectromelia virus	173	101	4.05
NC_021067	Vibrio phage helene 12B3	263	126	7.60
NC_002665	Bovine gammaherpesvirus 4	79	9	5.06
NC_009603	Microbacterium phage Min1	77	90	9.09
NC_008206	Mycobacterium phage Wildcat	148	90	7.43
NC_021794	Cellulophaga phage phi18:3	123	57	13.82
NC_016656	Cyanophage P-SSP2	56	55	23.21
NC_027351	Salmonella phage SSE121	242	140	11.98
NC_019422	Clostridium phage phiMMP04	51	29	9.80
NC_007051	Staphylococcus phage 2638A	57	49	17.54
NC_019710	Enterobacteria phage HK140	71	53	22.54
NC_011756	Pseudomonas phage SN	92	211	94.57
NC_012742	Xanthomonas phage phiL7	58	66	25.86
NC_008562	Microcystis aeruginosa phage Ma-LMM01	184	136	7.07
NC_023569	Vibrio phage SHOU24	96	31	8.33
NC_015208	Pseudomonas phage phi15	50	54	18.00
NC_006820	Synechococcus phage S-PM2	244	492	29.10
NC_008584	Thermus phage phiYS40	170	160	5.88
NC_000872	Streptococcus phage Sfi21	50	4	6.00
NC_009233	Heliothis virescens ascovirus 3e	180	19	3.33
NC_021539	Listeria phage LP-030-2	69	32	7.25
NC_011216	Burkholderia phage KS10	49	43	10.20
NC_002331	Xestia c-nigrum granulovirus	181	10	2.21
NC_020844	Salicola phage CGphi29	64	132	20.31
NC_020870	Leuconostoc phage phiLN04	39	3	5.13
NC_018280	Celeribacter phage P12053L	56	296	41.07
NC_009811	Listeria virus A511	190	64	7.89
NC_004112	Lactobacillus phage A2	61	31	9.84
NC_020204	Klebsiella phage JD001	68	50	16.18
NC_018277	Staphylococcus phage SpaA1	63	17	9.52
NC_019517	Escherichia phage FV3	218	77	8.26
NC_024136	Mycobacterium phage Seabiscuit	94	32	9.57
NC_013594	Escherichia phage D108	57	8	7.02
NC_017984	Acinetobacter bacteriophage AP22	89	128	13.48
NC_014662	Enterobacter phage CC31	279	92	11.11
NC_019455	Haemophilus phage SuMu	55	6	5.45
NC_015273	Burkholderia phage KS14	44	37	43.18
NC_019725	Escherichia phage ADB-2	78	28	7.69
NC_024207	Bacillus phage Evoli	294	93	3.06
NC_008798	Staphylococcus phage phiETA2	69	6	2.90
NC_002214	Streptococcus phage Sfi11	51	2	1.96
NC_005309	Canarypox virus	328	62	3.96
NC_008363	Lactococcus virus P008	58	20	3.45
NC_019419	Escherichia virus JL1	60	49	18.33
NC_023556	Achromobacter phage JWAlpha	91	47	21.98
NC_024368	Mycobacterium phage Pinto	87	49	9.20
NC_016655	Rhodococcus phage REQ1	85	29	10.59
NC_024361	Streptococcus phage DCC1738	56	15	10.71
NC_023585	Sulfolobus monocaudavirus SMV1	51	1	1.96
NC_005282	Salmonella phage FelixO1	131	58	15.27
NC_021249	Choristoneura rosaceana entomopoxvirus 'L'	296	40	4.39
NC_011645	Bacillus phage TP21-L	56	45	10.71
NC_021061	Mycobacterium phage Butters	66	46	7.58
NC_008152	Escherichia virus K1-5	52	28	13.46
NC_007057	Staphylococcus phage 96	74	19	2.70
NC_016158	Escherichia phage HK639	76	66	21.05
NC_022971	Pseudomonas phage phiIBB-PAA2	69	212	15.94
NC_006884	Prochlorococcus phage P-SSM4	221	594	31.67
NC_025470	Shewanella sp. phage 1/40	236	106	9.75
NC_018860	Bacillus phage BCP78	227	131	5.73
NC_008520	Anticarsia gemmatalis nucleopolyhedrovirus	158	9	3.16
NC_009235	Burkholderia virus phi6442	71	72	23.94
NC_021533	Mycobacterium phage BTCU-1	73	71	9.59
NC_001697	Haemophilus phage HP1	42	26	9.52
NC_007045	Staphylococcus phage PT1028	22	1	4.55
NC_013055	Burkholderia phage KS9	50	193	38.00
NC_009236	Burkholderia virus phiE122	50	52	46.00
NC_024150	California sea lion adenovirus 1	30	9	3.33
NC_023591	Mycobacterium phage Adler	125	23	4.80
NC_021329	Halovirus HRTV-4	73	9	1.37
NC_020082	Edwardsiella phage MSW-3	66	19	9.09
NC_019930	Tetrasphaera phage TJE1	66	37	13.64
NC_007809	Pseudomonas phage M6	85	127	21.18
NC_018843	Salmonella phage SSU5	130	248	23.85
NC_001942	Mycoplasma phage MAV1	15	2	6.67
NC_003907	Vibrio phage VpV262	67	14	8.96
NC_006940	Salmonella phage SS3e	58	24	12.07
NC_007967	Streptomyces phage mu1/6	52	24	7.69
NC_023609	Mycobacterium phage RhynO	73	97	16.44
NC_011802	Salmonella phage SE1	67	68	20.90
NC_000899	Fowl aviadenovirus D	29	6	3.45
NC_004156	Helicoverpa zea nudivirus 2	113	140	6.19
NC_019909	Yersinia phage phiR1-RT	262	93	12.21
NC_013692	Pseudomonas phage LIT1	90	35	15.56
NC_024355	Staphylococcus phage 6ec	142	81	10.56
NC_024382	Alcelaphine gammaherpesvirus 2	70	15	4.29
NC_028854	Paenibacillus phage Sitara	74	77	18.92
NC_011167	Bacillus virus IEBH	86	11	4.65
NC_022766	Bacillus virus Glittering	78	114	5.13
NC_010583	Escherichia virus EPS7	170	124	19.41
NC_018282	Pseudomonas phage MP1412	77	134	23.38
NC_004775	Salmonella phage epsilon15	51	106	35.29
NC_004629	Pseudomonas phage phiKZ	306	172	37.25
NC_024138	Mycobacterium phage MosMoris	111	38	8.11
NC_009814	Listeria phage P35	56	10	5.36
NC_021309	Mycobacterium phage Phrux	141	154	9.93
NC_007917	Clostridium virus phiCD119	79	42	12.66
NC_019443	Synechococcus phage metaG-MbCM1	234	418	27.78
NC_006549	Singapore grouper iridovirus	162	117	7.41
NC_023614	Croceibacter phage P2559Y	51	75	25.49
NC_008617	Staphylococcus phage phiNM3	65	20	9.23
NC_003287	Enterobacteria phage M13	10	11	20.00
NC_015049	Cricetid gammaherpesvirus 2	82	18	2.44
NC_024384	Listeria phage LP-030-3	73	10	8.22
NC_011285	Mycobacterium phage Troll4	84	40	5.95
NC_011272	Mycobacterium phage Rizal	220	127	8.18
NC_011041	Escherichia phage V5	233	79	8.15
NC_011976	Salmonella phage epsilon34	73	93	19.18
NC_018519	Blueberry virus A	10	13	10.00
NC_028788	Paenibacillus phage Diva	60	74	21.67
NC_023499	Staphylococcus phage StauST398-4	65	31	10.77
NC_017969	Escherichia virus AKFV33	160	158	22.50
NC_015293	Pseudoalteromonas phage H105/1	52	65	13.46
NC_022775	Lactobacillus phage phiJB	46	14	6.52
NC_004002	Sheeppox virus	148	40	4.05
NC_004745	Yersinia phage L-413C	40	27	42.50
NC_024148	Mycobacterium phage Phantastic	91	90	13.19
NC_005210	Beet pseudoyellows virus	8	9	12.50
NC_023593	Escherichia phage KBNP1711	126	108	15.08
NC_019768	Enterobacteria phage HK106	65	63	23.08
NC_009011	Spodoptera frugiperda multiple nucleopolyhedrovirus	143	13	2.80
NC_001266	Rabbit fibroma virus	165	28	3.03
NC_026926	Synechococcus phage ACG-2014j	230	570	33.91
NC_003094	Helicoverpa armigera nucleopolyhedrovirus	137	1	0.73
NC_010808	Staphylococcus phage phiMR25	70	31	7.14
NC_010240	Helicoverpa armigera granulovirus	179	11	2.23
NC_021788	Cellulophaga phage phi4:1	197	79	12.69
NC_020080	Klebsiella phage KP27	276	116	13.04
NC_021795	Cellulophaga phage phi17:1	65	49	13.85
NC_016924	Cotia virus SPAn232	185	25	2.70
NC_023548	Citrobacter phage CR8	57	84	15.79
NC_021247	Adoxophyes honmai entomopoxvirus 'L'	247	29	2.83
NC_021335	Halovirus HRTV-7	105	1	0.95
NC_014791	Ugandan cassava brown streak virus	2	9	50.00
NC_011357	Stx2-converting phage 1717	77	112	19.48
NC_015270	Enterococcus phage EFRM31	23	18	13.04
NC_011534	Kluyvera phage Kvp1	47	103	31.91
NC_023704	Mycobacterium phage Doom	85	48	9.41
NC_009815	Listeria phage A006	62	19	8.06
NC_018269	Marinomonas phage P12026	54	140	18.52
NC_015279	Synechococcus phage S-SM2	267	739	37.45
NC_021774	Salmonella phage FSL SP-004	40	26	40.00
NC_027383	Escherichia phage YD-2008.s	62	44	16.13
NC_015938	Salmonella phage 7-11	151	194	16.56
NC_001494	Jaagsiekte sheep retrovirus	5	1	20.00
NC_020231	Caviid betaherpesvirus 2	110	4	0.91
NC_007019	Streptococcus phage 2972	44	14	4.55
NC_023561	Enterobacter phage PG7	294	94	11.22
NC_023498	Mycobacterium phage Validus	105	32	8.57
NC_009127	Cyprinid herpesvirus 3	163	54	1.84
NC_005137	Choristoneura fumiferana DEF multiple nucleopolyhedrovirus	149	5	3.36
NC_004686	Mycobacterium phage Che9d	111	90	7.21
NC_019509	Cronobacter virus ESP29491	45	29	15.56
NC_020871	Listeria phage vB_LmoM_AG20	178	58	7.87
NC_011039	Mycobacterium phage Predator	92	20	4.35
NC_005906	Neodiprion lecontei nucleopolyhedrovirus	89	1	1.12
NC_013598	Streptococcus phage Alq132	44	9	6.82
NC_006268	Sulfolobus virus STSV1	74	2	2.70
NC_021784	Thermus phage phi OH2	60	42	16.67
NC_010342	Halomonas phage phiHAP-1	46	31	10.87
NC_010495	Salmonella phage Vi II-E1	51	86	21.57
NC_021780	Salmonella phage FSLSP088	70	50	15.71
NC_013036	Anatid alphaherpesvirus 1	77	11	2.60
NC_023744	Mycobacterium phage DS6A	97	39	8.25
NC_016447	Aotine betaherpesvirus 1	146	5	1.37
NC_023566	Rhizobium phage vB_RglS_P106B	95	55	13.68
NC_022563	Squirrelpox virus	141	16	2.84
NC_010276	Orgyia leucostigma nucleopolyhedrovirus	135	63	4.44
NC_019918	Pseudomonas phage vB_PaeM_C2-10_Ab1	158	96	15.19
NC_003345	Halorubrum phage HF2	114	35	4.39
NC_023718	Pseudomonas phage phiPto-bp6g	68	4	2.94
NC_005069	Yersinia phage PY54	67	31	13.43
NC_015251	Aeromonas virus 65	437	134	7.09
NC_023612	Geobacillus phage GBK2	62	168	17.74
NC_012783	Cercopithecine betaherpesvirus 5	177	5	0.56
NC_023501	Bacillus phage BPS10C	271	27	2.95
NC_007709	Xanthomonas phage OP1	59	59	32.20
NC_019538	Aeromonas phage CC2	427	116	6.79
NC_021334	Mycobacterium phage WIVsmall	83	29	8.43
NC_016567	Vibrio phage SIO-2	115	20	6.09
NC_021853	Lactococcus phage 340	58	20	3.45
NC_013600	Sodalis phage SO1	59	47	18.64
NC_006623	Gallid alphaherpesvirus 1	79	4	1.27
NC_023681	Mamestra brassicae multiple nucleopolyhedrovirus	159	40	4.40
NC_007605	Human gammaherpesvirus 4	95	21	3.16
NC_011703	Pseudomonas phage 14-1	90	206	96.67
NC_016509	Grapevine leafroll-associated virus 1	10	3	10.00
NC_022965	Mycobacterium phage CloudWang3	103	107	12.62
NC_021070	Vibrio phage martha 12B12	51	3	3.92
NC_014765	Bathycoccus sp. RCC1105 virus BpV1	203	856	33.99
NC_005263	Burkholderia virus Bcep1	71	64	12.68
NC_019514	Erwinia phage vB_EamP-S6	115	57	13.91
NC_005833	Escherichia virus T1	78	45	10.26
NC_024450	Falconid herpesvirus 1	130	24	1.54
NC_015721	Bdellovibrio phage phi1402	42	4	4.76
NC_011551	Bacteriophage APSE-2	41	104	29.27
NC_023567	Klebsiella phage F19	51	17	7.84
NC_002577	Gallid alphaherpesvirus 3	76	13	2.63
NC_008717	Pseudomonas phage DMS3	52	10	13.46
NC_002656	Mycobacterium phage Bxb1	86	33	8.14
NC_018085	Bacillus phage BtCS33	57	41	12.28
NC_003050	Streptococcus phage MM1	53	32	9.43
NC_015960	Yokapox virus	186	96	3.23
NC_021789	Cellulophaga phage phi19:3	129	56	11.63
NC_019502	Bacillus phage phIS3501	51	33	13.73
NC_016164	Synechococcus phage S-CBS1	43	108	25.58
NC_019709	Enterobacteria phage mEpX1	66	49	24.24
NC_021535	Mycobacterium phage Jobu08	85	102	11.76
NC_011399	Ralstonia phage RSM3	14	7	7.14
NC_016761	Salmonella phage SPN1S	52	110	36.54
NC_024375	Listeria phage LP-026	114	43	5.26
NC_025429	Rhizobium phage vB_RleM_P10VF	257	201	13.23
NC_023712	Mycobacterium phage Firecracker	128	48	5.47
NC_021863	Staphylococcus phage SA13	62	15	8.06
NC_021302	Mycobacterium phage Fishburne	77	71	9.09
NC_001962	Bombyx mori nucleopolyhedrovirus	143	20	5.59
NC_017976	Bacillus phage PBC1	50	48	14.00
NC_015456	Shigella virus Shfl1	80	36	8.75
NC_018836	Streptomyces phage phiHau3	72	46	11.11
NC_020477	Bacillus virus Eoghan	75	117	5.33
NC_025459	Aeromonas phage pAh6-C	86	11	4.65
NC_011421	Bacillus virus SPO1	204	192	7.84
NC_022069	Mycobacterium phage Jabbawokkie	106	37	6.60
NC_010178	Pineapple mealybug wilt-associated virus 1	7	1	14.29
NC_020158	Halovirus HVTV-1	173	99	8.09
NC_015265	Burkholderia phage KS5	46	38	45.65
NC_008208	Aeromonas virus 25	242	100	11.16
NC_008207	Mycobacterium phage Catera	218	127	8.26
NC_025425	Enterobacteria phage GEC-3S	277	64	8.66
NC_011616	Spodoptera litura nucleopolyhedrovirus II	147	17	2.04
NC_023715	Yersinia phage Yep-phi	45	84	28.89
NC_019508	Clostridium phage phiCP34O	52	31	9.62
NC_012756	Streptococcus phage PH10	54	6	9.26
NC_020481	Pelagibacter phage HTVC010P	64	187	40.62
NC_019919	Yersinia phage phiR201	166	170	21.08
NC_023747	Mycobacterium phage BarrelRoll	95	36	8.42
NC_008586	Ectropis obliqua nucleopolyhedrovirus	126	22	3.97
NC_008195	Mycobacterium phage Cooper	99	18	7.07
NC_018279	Salmonella phage vB_SosS_Oslo	79	126	21.52
NC_007646	Ovine gammaherpesvirus 2	73	27	5.48
NC_020857	Cyanophage MED4-117	63	54	34.92
NC_019496	Clostridium phage phiCP26F	49	37	14.29
NC_022915	Ralstonia phage RSK1	54	83	25.93
NC_004165	Bacillus virus B103	17	27	5.88
NC_011022	Mycobacterium phage DD5	87	50	9.20
NC_022988	Mycobacterium phage Bruin	141	154	10.64
NC_002642	Yaba-like disease virus	152	38	3.95
NC_023588	Stenotrophomonas phage Smp131	46	36	41.30
NC_020081	Bacillus phage phiAGATE	210	138	7.14
NC_001895	Escherichia virus P2	43	39	41.86
NC_019511	Staphylococcus virus SA11	186	62	5.91
