Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
NC_003291	Listeria phage 2389	59	24	6.78
NC_020839	Rhodobacter phage RC1	56	80	33.93
NC_022065	Mycobacterium phage Contagion	140	139	9.29
NC_011292	Mycobacterium phage Konstantine	95	27	6.32
NC_020489	Rhodobacter phage RcapNL	64	27	17.19
NC_015253	Brochothrix phage A9	199	39	4.52
NC_024794	Escherichia phage vB_EcoM_PhAPEC2	254	131	10.24
NC_004456	Vibrio phage VHML	57	33	22.81
NC_016163	Yersinia phage phiR1-37	367	133	3.54
NC_007149	Vibriophage VP4	31	67	29.03
NC_025115	Ralstonia phage RSY1	49	49	22.45
NC_005841	Enterobacteria phage ST104	63	91	15.87
NC_009526	Staphylococcus phage 80alpha	73	41	8.22
NC_027996	Campylobacter virus CPt10	196	28	7.65
NC_004462	Thermus thermophilus phage IN93	39	1	2.56
NC_019512	Helicobacter phage 1961P	33	23	6.06
NC_015286	Synechococcus phage Syn19	215	643	36.28
NC_007049	Staphylococcus phage 53	74	40	6.76
NC_022058	Mycobacterium phage Adzzy	96	33	7.29
NC_006963	Blackberry yellow vein-associated virus	9	14	11.11
NC_006639	Cotesia congregata bracovirus	5	1	20.00
NC_015504	Banana streak UL virus	3	1	33.33
NC_013647	Klebsiella phage KP32	44	53	25.00
NC_008168	Choristoneura occidentalis granulovirus	116	5	2.59
NC_022096	Pseudomonas phage PaBG	308	174	4.22
NC_009877	Mycobacterium phage U2	81	20	11.11
NC_008603	Paramecium bursaria Chlorella virus FR483	849	638	8.72
NC_019421	Clostridium phage phiMMP02	76	71	5.26
NC_001798	Human alphaherpesvirus 2	77	15	2.60
NC_023615	Invertebrate iridescent virus 22	174	183	8.05
NC_013648	Enterococcus phage phiFL3A	64	24	10.94
NC_006949	Enterobacteria phage ES18	79	79	17.72
NC_006565	Lactobacillus virus LP65	165	27	6.06
NC_023552	Mycobacterium phage Donovan	78	50	8.97
NC_023725	Mycobacterium phage Nappy	234	124	5.98
NC_019719	Enterobacteria phage HK633	67	63	17.91
NC_022982	Xylella phage Paz	51	23	17.65
NC_005893	Lactobacillus phage phiAT3	55	10	7.27
NC_021311	Mycobacterium phage Phaux	145	145	9.66
NC_008376	Geobacillus phage GBSV1	54	22	16.67
NC_023587	Synechococcus phage ACG-2014h	221	575	34.84
NC_019550	Liberibacter phage SC2	47	47	17.02
NC_020841	Psychrobacter phage pOW20-A	71	187	14.08
NC_008194	Mycobacterium virus 244	142	134	9.86
NC_003310	Monkeypox virus Zaire-96-I-16	191	100	4.19
NC_015271	Salmonella phage Vi06	47	21	19.15
NC_003309	Burkholderia virus phiE125	71	108	25.35
NC_019525	Bdellovibrio phage phi1422	76	50	10.53
NC_024329	Podovirus Lau218	48	122	25.00
NC_025452	Dickeya phage RC-2014	196	56	11.73
NC_018838	Propionibacterium phage P100_A	45	2	2.22
NC_022071	Mycobacterium phage Crossroads	133	24	6.77
NC_003313	Vibrio phage K139	44	4	9.09
NC_014636	Aeromonas phage phiAS5	343	148	10.79
NC_005178	Pseudomonas phage D3112	55	11	14.55
NC_013638	Pseudomonas phage phi-2	43	10	9.30
NC_018504	Apocheima cinerarium nucleopolyhedrovirus	117	2	1.71
NC_023699	Mycobacterium phage SG4	105	67	8.57
NC_023554	Mycobacterium phage JAMaL	98	13	6.12
NC_023577	Mycobacterium phage Obama12	89	81	15.73
NC_023706	Rhodococcus phage ReqiDocB7	105	25	5.71
NC_022763	Bacillus phage Spock	283	128	4.95
NC_004117	Mamestra configurata nucleopolyhedrovirus B	168	34	3.57
NC_011269	Mycobacterium phage ScottMcG	221	120	6.33
NC_023720	Mycobacterium phage Perseus	92	25	8.70
NC_003494	Infectious spleen and kidney necrosis virus	125	35	4.80
NC_024784	Escherichia phage vB_EcoS_AHS24	81	21	11.11
NC_019398	Cronobacter phage vB_CsaM_GAP161	275	136	14.55
NC_007383	Trichoplusia ni single nucleopolyhedrovirus	145	14	2.76
NC_005891	Vibrio phage VP5	48	28	14.58
NC_018841	Propionibacterium phage P101A	47	1	2.13
NC_022338	Propionibacterium phage PHL060L00	46	2	2.17
NC_017974	Cronobacter phage CR3	265	101	8.30
NC_024697	Aureococcus anophagefferens virus	376	537	11.97
NC_004812	Macacine alphaherpesvirus 1	75	20	4.00
NC_022067	Mycobacterium phage Wanda	240	118	6.25
NC_023602	Mycobacterium phage 32HC	86	42	5.81
NC_018875	Epinotia aporema granulovirus	132	10	2.27
NC_016072	Megavirus chiliensis	1120	1466	9.38
NC_021558	Paenibacillus phage PG1	67	9	5.97
NC_023502	Rhizobium phage vB_RleS_L338C	181	142	9.94
NC_023607	Mycobacterium phage 40AC	90	60	14.44
NC_025467	Enterococcus phage vB_Efae230P-4	25	1	4.00
NC_022323	Escherichia phage JES2013	220	55	9.55
NC_000929	Escherichia virus Mu	55	18	20.00
NC_023426	Anomala cuprea entomopoxvirus	263	237	3.04
NC_008574	Ralstonia phage RSM1	15	4	6.67
NC_020848	Vibrio phage VBP47	115	37	10.43
NC_019513	Staphylococcus phage SMSAP5	42	48	21.43
NC_021348	Mycobacterium phage ArcherS7	237	117	5.06
NC_021344	Escherichia phage Lw1	273	117	12.09
NC_025449	Escherichia phage ECML-134	270	89	8.52
NC_023610	Erwinia phage PhiEaH1	241	92	4.15
NC_025466	Shewanella sp. phage 3/49	70	64	17.14
NC_018272	Nonlabens phage P12024L	58	175	48.28
NC_018847	Propionibacterium phage ATCC29399B_T	46	2	2.17
NC_024451	Armadillidium vulgare iridescent virus	203	144	7.88
NC_025458	Shewanella sp. phage 1/41	69	41	23.19
NC_015457	Shigella phage Shfl2	265	93	8.68
NC_015719	Escherichia phage K30	49	49	18.37
NC_012788	Mycobacterium phage Angel	61	22	6.56
NC_013643	Enterococcus phage phiFL2A	63	24	9.52
NC_023553	Mycobacterium phage Echild	100	45	10.00
NC_005882	Burkholderia virus BcepMu	53	47	22.64
NC_019506	Clostridium phage phiCP13O	55	23	10.91
NC_014637	Cafeteria roenbergensis virus BV-PW1	544	1112	15.26
NC_013694	Mycobacterium phage Peaches	86	85	16.28
NC_022968	Escherichia phage 4MG	271	93	8.86
NC_019921	Staphylococcus phage phi5967PVL	42	5	9.52
NC_024486	Duck adenovirus 2	36	1	2.78
NC_007048	Staphylococcus phage 69	69	12	2.90
NC_013645	Streptococcus phage Abc2	48	6	6.25
NC_015285	Prochlorococcus phage Syn33	227	625	32.60
NC_023600	Mycobacterium phage Jolie1	98	14	4.08
NC_020199	Staphylococcus phage phi7401PVL	44	53	20.45
NC_012223	Escherichia virus SSL2009a	67	44	17.91
NC_019448	Staphylococcus phage GH15	214	58	5.14
NC_024203	Lactococcus phage P092	76	1	1.32
NC_023568	Vibrio phage VH7D	327	229	12.84
NC_019723	Enterobacteria phage HK630	69	30	11.59
NC_024789	Escherichia phage vB_EcoS_AKS96	74	25	12.16
NC_008203	Mycobacterium phage Che12	98	29	7.14
NC_016658	Cyanophage NATL1A-7	65	47	18.46
NC_001909	Lactococcus virus bIL170	64	19	3.12
NC_001491	Equid alphaherpesvirus 1	80	33	2.50
NC_011166	Pseudomonas phage LMA2	94	216	96.81
NC_024217	Nitrincola phage 1M3-16	144	74	11.81
NC_020838	Synechococcus phage S-RIP2	54	151	35.19
NC_006883	Prochlorococcus phage P-SSM2	334	1057	32.34
NC_021332	Staphylococcus phage StauST398-3	69	18	4.35
NC_001271	Yersinia phage phiYeO3-12	59	87	25.42
NC_007151	Chrysodeixis chalcites nucleopolyhedrovirus	151	23	2.65
NC_004450	Taro bacilliform virus	3	1	33.33
NC_019450	Pseudomonas phage JG004	161	41	12.42
NC_005857	Klebsiella phage phiKO2	64	49	20.31
NC_004928	Enterobacteria phage RB69	273	92	9.52
NC_023701	Mycobacterium phage Acadian	97	26	7.22
NC_015294	Pseudomonas phage PAK_P1	181	38	9.94
NC_017940	European catfish virus	136	108	6.62
NC_023710	Mycobacterium phage RidgeCB	94	15	8.51
NC_020843	Vibrio phage 11895-B1	196	63	8.67
NC_024386	Leuconostoc phage phiLN25	41	6	7.32
NC_004003	Goatpox virus Pellor	150	32	4.67
NC_003389	Swinepox virus	150	78	4.67
NC_020486	Synechococcus phage S-RIM8 A.HR1	211	639	32.70
NC_003356	Enterobacteria phage phiP27	58	96	22.41
NC_023580	Mycobacterium phage Saal	101	45	8.91
NC_020846	Vibrio phage pYD21-A	74	59	16.22
NC_021319	Halovirus HCTV-2	86	11	4.65
NC_020847	Prochlorococcus phage MED4-184	59	44	28.81
NC_026928	Synechococcus phage ACG-2014e	213	545	34.27
NC_021561	Vibrio phage pYD38-B	57	30	12.28
NC_019721	Enterobacterial phage mEp390	59	72	23.73
NC_007064	Staphylococcus phage 92	64	21	14.06
NC_005337	Bovine papular stomatitis virus	131	18	2.29
NC_022086	Mycobacterium phage LittleCherry	87	43	11.49
NC_023571	Oenococcus phage phiS11	59	53	5.08
NC_001847	Bovine alphaherpesvirus 1	70	27	4.29
NC_025471	Idiomarinaceae phage Phi1M2-2	65	40	15.38
NC_000852	Paramecium bursaria Chlorella virus 1	802	771	9.73
NC_008201	Mannheimia phage phiMHaA1	49	47	24.49
NC_023606	Mycobacterium phage CRB1	94	48	10.64
NC_015283	Prochlorococcus phage P-RSM4	239	684	31.80
NC_012027	Mycobacterium phage Phlyer	103	21	5.83
NC_023503	Streptococcus phage 20617	68	124	4.41
NC_023693	Enterobacteria phage phi92	250	269	7.60
NC_008252	Neodiprion abietis NPV	93	2	2.15
NC_004105	Ectromelia virus	173	103	4.62
NC_021067	Vibrio phage helene 12B3	263	85	7.98
NC_002665	Bovine gammaherpesvirus 4	79	5	3.80
NC_009603	Microbacterium phage Min1	77	94	9.09
NC_008206	Mycobacterium phage Wildcat	148	64	4.05
NC_021794	Cellulophaga phage phi18:3	123	73	13.01
NC_016656	Cyanophage P-SSP2	56	50	26.79
NC_027351	Salmonella phage SSE121	242	89	9.09
NC_019422	Clostridium phage phiMMP04	51	27	11.76
NC_007051	Staphylococcus phage 2638A	57	46	14.04
NC_019710	Enterobacteria phage HK140	71	53	19.72
NC_011756	Pseudomonas phage SN	92	211	94.57
NC_012742	Xanthomonas phage phiL7	58	65	22.41
NC_008562	Microcystis aeruginosa phage Ma-LMM01	184	143	9.78
NC_023569	Vibrio phage SHOU24	96	21	7.29
NC_015208	Pseudomonas phage phi15	50	52	22.00
NC_006820	Synechococcus phage S-PM2	244	517	29.51
NC_008584	Thermus phage phiYS40	170	147	6.47
NC_000872	Streptococcus phage Sfi21	50	5	8.00
NC_009233	Heliothis virescens ascovirus 3e	180	12	2.78
NC_021539	Listeria phage LP-030-2	69	23	5.80
NC_011216	Burkholderia phage KS10	49	34	16.33
NC_002331	Xestia c-nigrum granulovirus	181	3	1.10
NC_020844	Salicola phage CGphi29	64	125	21.88
NC_020870	Leuconostoc phage phiLN04	39	4	7.69
NC_018280	Celeribacter phage P12053L	56	236	42.86
NC_009811	Listeria virus A511	190	56	6.32
NC_004112	Lactobacillus phage A2	61	24	11.48
NC_020204	Klebsiella phage JD001	68	53	22.06
NC_018277	Staphylococcus phage SpaA1	63	4	3.17
NC_019517	Escherichia phage FV3	218	46	7.80
NC_024136	Mycobacterium phage Seabiscuit	94	20	10.64
NC_013594	Escherichia phage D108	57	18	19.30
NC_017984	Acinetobacter bacteriophage AP22	89	158	20.22
NC_014662	Enterobacter phage CC31	279	108	10.04
NC_019455	Haemophilus phage SuMu	55	10	14.55
NC_015273	Burkholderia phage KS14	44	23	29.55
NC_019725	Escherichia phage ADB-2	78	23	7.69
NC_024207	Bacillus phage Evoli	294	85	2.72
NC_008798	Staphylococcus phage phiETA2	69	14	5.80
NC_002214	Streptococcus phage Sfi11	51	3	5.88
NC_005309	Canarypox virus	328	57	3.35
NC_008363	Lactococcus virus P008	58	24	1.72
NC_019419	Escherichia virus JL1	60	47	20.00
NC_023556	Achromobacter phage JWAlpha	91	43	23.08
NC_024368	Mycobacterium phage Pinto	87	26	11.49
NC_016655	Rhodococcus phage REQ1	85	34	12.94
NC_024361	Streptococcus phage DCC1738	56	20	12.50
NC_005282	Salmonella phage FelixO1	131	59	12.21
NC_021249	Choristoneura rosaceana entomopoxvirus 'L'	296	32	3.04
NC_011645	Bacillus phage TP21-L	56	40	7.14
NC_021061	Mycobacterium phage Butters	66	44	9.09
NC_008152	Escherichia virus K1-5	52	20	17.31
NC_007057	Staphylococcus phage 96	74	21	5.41
NC_016158	Escherichia phage HK639	76	58	21.05
NC_022971	Pseudomonas phage phiIBB-PAA2	69	131	14.49
NC_006884	Prochlorococcus phage P-SSM4	221	630	33.03
NC_025470	Shewanella sp. phage 1/40	236	65	6.36
NC_018860	Bacillus phage BCP78	227	123	5.29
NC_008520	Anticarsia gemmatalis nucleopolyhedrovirus	158	9	1.90
NC_009235	Burkholderia virus phi6442	71	72	21.13
NC_021533	Mycobacterium phage BTCU-1	73	40	9.59
NC_001697	Haemophilus phage HP1	42	14	11.90
NC_007045	Staphylococcus phage PT1028	22	2	4.55
NC_013055	Burkholderia phage KS9	50	168	30.00
NC_009236	Burkholderia virus phiE122	50	25	30.00
NC_024150	California sea lion adenovirus 1	30	10	3.33
NC_023591	Mycobacterium phage Adler	125	19	7.20
NC_021329	Halovirus HRTV-4	73	19	1.37
NC_020082	Edwardsiella phage MSW-3	66	30	15.15
NC_019930	Tetrasphaera phage TJE1	66	32	13.64
NC_007809	Pseudomonas phage M6	85	91	17.65
NC_018843	Salmonella phage SSU5	130	211	26.15
NC_001942	Mycoplasma phage MAV1	15	3	13.33
NC_003907	Vibrio phage VpV262	67	7	8.96
NC_006940	Salmonella phage SS3e	58	26	17.24
NC_007967	Streptomyces phage mu1/6	52	21	7.69
NC_023609	Mycobacterium phage RhynO	73	63	17.81
NC_011802	Salmonella phage SE1	67	64	16.42
NC_000899	Fowl aviadenovirus D	29	4	3.45
NC_004156	Helicoverpa zea nudivirus 2	113	126	6.19
NC_019909	Yersinia phage phiR1-RT	262	104	11.45
NC_013692	Pseudomonas phage LIT1	90	27	12.22
NC_024355	Staphylococcus phage 6ec	142	79	10.56
NC_024382	Alcelaphine gammaherpesvirus 2	70	11	4.29
NC_028854	Paenibacillus phage Sitara	74	67	16.22
NC_011167	Bacillus virus IEBH	86	10	3.49
NC_022766	Bacillus virus Glittering	78	92	5.13
NC_010583	Escherichia virus EPS7	170	118	18.82
NC_018282	Pseudomonas phage MP1412	77	97	20.78
NC_004775	Salmonella phage epsilon15	51	91	33.33
NC_004629	Pseudomonas phage phiKZ	306	129	24.84
NC_024138	Mycobacterium phage MosMoris	111	30	6.31
NC_009814	Listeria phage P35	56	11	5.36
NC_021309	Mycobacterium phage Phrux	141	139	9.22
NC_007917	Clostridium virus phiCD119	79	51	11.39
NC_019443	Synechococcus phage metaG-MbCM1	234	460	28.63
NC_017979	Goose adenovirus 4	34	3	2.94
NC_006549	Singapore grouper iridovirus	162	116	5.56
NC_023614	Croceibacter phage P2559Y	51	75	21.57
NC_008617	Staphylococcus phage phiNM3	65	20	7.69
NC_003287	Enterobacteria phage M13	10	3	10.00
NC_015049	Cricetid gammaherpesvirus 2	82	21	4.88
NC_024384	Listeria phage LP-030-3	73	6	4.11
NC_011285	Mycobacterium phage Troll4	84	37	5.95
NC_011272	Mycobacterium phage Rizal	220	116	5.00
NC_011041	Escherichia phage V5	233	51	8.15
NC_011976	Salmonella phage epsilon34	73	84	16.44
NC_018519	Blueberry virus A	10	13	10.00
NC_028788	Paenibacillus phage Diva	60	65	18.33
NC_023499	Staphylococcus phage StauST398-4	65	23	7.69
NC_017969	Escherichia virus AKFV33	160	148	19.38
NC_015293	Pseudoalteromonas phage H105/1	52	69	13.46
NC_022775	Lactobacillus phage phiJB	46	17	8.70
NC_004002	Sheeppox virus	148	34	4.73
NC_004814	Streptococcus phage C1	20	1	5.00
NC_004745	Yersinia phage L-413C	40	17	30.00
NC_024148	Mycobacterium phage Phantastic	91	51	12.09
NC_005210	Beet pseudoyellows virus	8	7	12.50
NC_023593	Escherichia phage KBNP1711	126	73	11.11
NC_019768	Enterobacteria phage HK106	65	76	24.62
NC_009011	Spodoptera frugiperda multiple nucleopolyhedrovirus	143	4	1.40
NC_001266	Rabbit fibroma virus	165	32	3.64
NC_026926	Synechococcus phage ACG-2014j	230	564	33.04
NC_010808	Staphylococcus phage phiMR25	70	33	10.00
NC_010240	Helicoverpa armigera granulovirus	179	4	1.12
NC_021788	Cellulophaga phage phi4:1	197	71	9.14
NC_020080	Klebsiella phage KP27	276	124	11.59
NC_021795	Cellulophaga phage phi17:1	65	45	15.38
NC_016924	Cotia virus SPAn232	185	29	2.16
NC_023548	Citrobacter phage CR8	57	78	24.56
NC_021247	Adoxophyes honmai entomopoxvirus 'L'	247	22	2.02
NC_021335	Halovirus HRTV-7	105	2	0.95
NC_014791	Ugandan cassava brown streak virus	2	10	50.00
NC_011357	Stx2-converting phage 1717	77	119	24.68
NC_015270	Enterococcus phage EFRM31	23	16	17.39
NC_011534	Kluyvera phage Kvp1	47	74	31.91
NC_023704	Mycobacterium phage Doom	85	29	8.24
NC_009815	Listeria phage A006	62	22	11.29
NC_018269	Marinomonas phage P12026	54	141	22.22
NC_015279	Synechococcus phage S-SM2	267	762	38.58
NC_021774	Salmonella phage FSL SP-004	40	18	30.00
NC_027383	Escherichia phage YD-2008.s	62	44	19.35
NC_015938	Salmonella phage 7-11	151	127	15.23
NC_020231	Caviid betaherpesvirus 2	110	5	1.82
NC_007019	Streptococcus phage 2972	44	16	9.09
NC_023561	Enterobacter phage PG7	294	110	9.52
NC_023498	Mycobacterium phage Validus	105	17	4.76
NC_009127	Cyprinid herpesvirus 3	163	45	1.84
NC_005137	Choristoneura fumiferana DEF multiple nucleopolyhedrovirus	149	5	2.68
NC_004686	Mycobacterium phage Che9d	111	65	6.31
NC_019509	Cronobacter virus ESP29491	45	29	20.00
NC_020871	Listeria phage vB_LmoM_AG20	178	54	7.30
NC_011039	Mycobacterium phage Predator	92	18	4.35
NC_005906	Neodiprion lecontei nucleopolyhedrovirus	89	2	2.25
NC_013598	Streptococcus phage Alq132	44	11	11.36
NC_006268	Sulfolobus virus STSV1	74	3	4.05
NC_021784	Thermus phage phi OH2	60	43	16.67
NC_010342	Halomonas phage phiHAP-1	46	26	10.87
NC_010495	Salmonella phage Vi II-E1	51	73	11.76
NC_021780	Salmonella phage FSLSP088	70	41	11.43
NC_013036	Anatid alphaherpesvirus 1	77	6	1.30
NC_023744	Mycobacterium phage DS6A	97	21	9.28
NC_016447	Aotine betaherpesvirus 1	146	6	1.37
NC_023566	Rhizobium phage vB_RglS_P106B	95	63	20.00
NC_022563	Squirrelpox virus	141	16	2.13
NC_010276	Orgyia leucostigma nucleopolyhedrovirus	135	56	3.70
NC_019918	Pseudomonas phage vB_PaeM_C2-10_Ab1	158	39	11.39
NC_003345	Halorubrum phage HF2	114	24	4.39
NC_023718	Pseudomonas phage phiPto-bp6g	68	2	2.94
NC_005069	Yersinia phage PY54	67	31	19.40
NC_015251	Aeromonas virus 65	437	89	6.41
NC_023612	Geobacillus phage GBK2	62	161	16.13
NC_012783	Cercopithecine betaherpesvirus 5	177	1	0.56
NC_023501	Bacillus phage BPS10C	271	21	2.95
NC_007709	Xanthomonas phage OP1	59	63	33.90
NC_019538	Aeromonas phage CC2	427	84	6.32
NC_021334	Mycobacterium phage WIVsmall	83	32	7.23
NC_016567	Vibrio phage SIO-2	115	17	3.48
NC_021853	Lactococcus phage 340	58	20	5.17
NC_013600	Sodalis phage SO1	59	48	20.34
NC_006623	Gallid alphaherpesvirus 1	79	5	1.27
NC_023681	Mamestra brassicae multiple nucleopolyhedrovirus	159	32	3.77
NC_007605	Human gammaherpesvirus 4	95	19	2.11
NC_011703	Pseudomonas phage 14-1	90	209	96.67
NC_018862	Dragonfly-associated microphage 1	5	2	20.00
NC_016509	Grapevine leafroll-associated virus 1	10	4	10.00
NC_022965	Mycobacterium phage CloudWang3	103	64	13.59
NC_021070	Vibrio phage martha 12B12	51	13	23.53
NC_014765	Bathycoccus sp. RCC1105 virus BpV1	203	778	35.47
NC_005263	Burkholderia virus Bcep1	71	69	19.72
NC_019514	Erwinia phage vB_EamP-S6	115	40	11.30
NC_005833	Escherichia virus T1	78	36	11.54
NC_024450	Falconid herpesvirus 1	130	21	1.54
NC_015721	Bdellovibrio phage phi1402	42	3	7.14
NC_011551	Bacteriophage APSE-2	41	84	26.83
NC_023567	Klebsiella phage F19	51	18	11.76
NC_002577	Gallid alphaherpesvirus 3	76	11	3.95
NC_008717	Pseudomonas phage DMS3	52	11	15.38
NC_002656	Mycobacterium phage Bxb1	86	16	5.81
NC_018085	Bacillus phage BtCS33	57	33	10.53
NC_003050	Streptococcus phage MM1	53	41	9.43
NC_015960	Yokapox virus	186	86	3.23
NC_021789	Cellulophaga phage phi19:3	129	68	13.95
NC_019502	Bacillus phage phIS3501	51	29	9.80
NC_016164	Synechococcus phage S-CBS1	43	103	23.26
NC_019709	Enterobacteria phage mEpX1	66	45	22.73
NC_021535	Mycobacterium phage Jobu08	85	58	10.59
NC_011399	Ralstonia phage RSM3	14	4	7.14
NC_016761	Salmonella phage SPN1S	52	97	34.62
NC_024375	Listeria phage LP-026	114	39	3.51
NC_025429	Rhizobium phage vB_RleM_P10VF	257	152	11.28
NC_023712	Mycobacterium phage Firecracker	128	19	3.91
NC_021863	Staphylococcus phage SA13	62	14	6.45
NC_021302	Mycobacterium phage Fishburne	77	46	7.79
NC_001962	Bombyx mori nucleopolyhedrovirus	143	15	3.50
NC_017976	Bacillus phage PBC1	50	40	12.00
NC_015456	Shigella virus Shfl1	80	27	10.00
NC_018836	Streptomyces phage phiHau3	72	39	11.11
NC_020477	Bacillus virus Eoghan	75	97	6.67
NC_025459	Aeromonas phage pAh6-C	86	13	9.30
NC_011421	Bacillus virus SPO1	204	181	6.86
NC_022069	Mycobacterium phage Jabbawokkie	106	31	4.72
NC_010178	Pineapple mealybug wilt-associated virus 1	7	2	14.29
NC_009875	Staphylococcus phage SAP-2	20	1	5.00
NC_020158	Halovirus HVTV-1	173	101	8.09
NC_015265	Burkholderia phage KS5	46	26	23.91
NC_008208	Aeromonas virus 25	242	109	13.64
NC_008207	Mycobacterium phage Catera	218	119	5.50
NC_025425	Enterobacteria phage GEC-3S	277	73	9.39
NC_011616	Spodoptera litura nucleopolyhedrovirus II	147	3	0.68
NC_023715	Yersinia phage Yep-phi	45	65	31.11
NC_019508	Clostridium phage phiCP34O	52	22	9.62
NC_012756	Streptococcus phage PH10	54	9	11.11
NC_020481	Pelagibacter phage HTVC010P	64	196	32.81
NC_019919	Yersinia phage phiR201	166	165	21.08
NC_023747	Mycobacterium phage BarrelRoll	95	26	7.37
NC_011308	Listeria phage P40	62	2	1.61
NC_008586	Ectropis obliqua nucleopolyhedrovirus	126	16	3.17
NC_008195	Mycobacterium phage Cooper	99	4	3.03
NC_018279	Salmonella phage vB_SosS_Oslo	79	113	16.46
NC_007646	Ovine gammaherpesvirus 2	73	17	5.48
NC_020857	Cyanophage MED4-117	63	45	28.57
NC_019496	Clostridium phage phiCP26F	49	30	16.33
NC_022915	Ralstonia phage RSK1	54	84	27.78
NC_004165	Bacillus virus B103	17	25	5.88
NC_011022	Mycobacterium phage DD5	87	24	11.49
NC_022988	Mycobacterium phage Bruin	141	148	10.64
NC_002642	Yaba-like disease virus	152	32	3.95
NC_023588	Stenotrophomonas phage Smp131	46	19	23.91
NC_020081	Bacillus phage phiAGATE	210	154	9.52
NC_001895	Escherichia virus P2	43	21	27.91
NC_019511	Staphylococcus virus SA11	186	66	5.38
