Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
NC_008603	Paramecium bursaria Chlorella virus FR483	849	594	5.42
NC_019421	Clostridium phage phiMMP02	76	80	7.89
NC_001798	Human alphaherpesvirus 2	77	18	3.90
NC_023615	Invertebrate iridescent virus 22	174	137	8.05
NC_013648	Enterococcus phage phiFL3A	64	31	10.94
NC_006949	Enterobacteria phage ES18	79	68	12.66
NC_006565	Lactobacillus virus LP65	165	18	5.45
NC_023552	Mycobacterium phage Donovan	78	62	6.41
NC_023725	Mycobacterium phage Nappy	234	119	5.98
NC_019719	Enterobacteria phage HK633	67	52	19.40
NC_022982	Xylella phage Paz	51	18	11.76
NC_005893	Lactobacillus phage phiAT3	55	16	7.27
NC_021311	Mycobacterium phage Phaux	145	151	8.97
NC_008376	Geobacillus phage GBSV1	54	24	12.96
NC_023587	Synechococcus phage ACG-2014h	221	425	29.86
NC_019550	Liberibacter phage SC2	47	51	14.89
NC_020841	Psychrobacter phage pOW20-A	71	204	12.68
NC_008194	Mycobacterium virus 244	142	126	9.15
NC_003310	Monkeypox virus Zaire-96-I-16	191	75	4.19
NC_015271	Salmonella phage Vi06	47	25	25.53
NC_003309	Burkholderia virus phiE125	71	107	23.94
NC_019525	Bdellovibrio phage phi1422	76	55	11.84
NC_024329	Podovirus Lau218	48	118	20.83
NC_025452	Dickeya phage RC-2014	196	46	9.69
NC_018838	Propionibacterium phage P100_A	45	6	8.89
NC_022071	Mycobacterium phage Crossroads	133	27	7.52
NC_003313	Vibrio phage K139	44	3	4.55
NC_014636	Aeromonas phage phiAS5	343	134	8.16
NC_005178	Pseudomonas phage D3112	55	13	12.73
NC_013638	Pseudomonas phage phi-2	43	13	6.98
NC_018504	Apocheima cinerarium nucleopolyhedrovirus	117	1	0.85
NC_023699	Mycobacterium phage SG4	105	94	9.52
NC_023554	Mycobacterium phage JAMaL	98	19	6.12
NC_023577	Mycobacterium phage Obama12	89	142	15.73
NC_023706	Rhodococcus phage ReqiDocB7	105	24	5.71
NC_022763	Bacillus phage Spock	283	100	4.24
NC_004117	Mamestra configurata nucleopolyhedrovirus B	168	27	2.38
NC_011269	Mycobacterium phage ScottMcG	221	121	6.33
NC_023720	Mycobacterium phage Perseus	92	49	7.61
NC_003494	Infectious spleen and kidney necrosis virus	125	32	1.60
NC_024784	Escherichia phage vB_EcoS_AHS24	81	22	7.41
NC_019398	Cronobacter phage vB_CsaM_GAP161	275	92	9.45
NC_007383	Trichoplusia ni single nucleopolyhedrovirus	145	15	2.07
NC_005891	Vibrio phage VP5	48	36	14.58
NC_018841	Propionibacterium phage P101A	47	2	4.26
NC_022338	Propionibacterium phage PHL060L00	46	4	6.52
NC_017974	Cronobacter phage CR3	265	99	7.17
NC_024697	Aureococcus anophagefferens virus	376	501	10.11
NC_004812	Macacine alphaherpesvirus 1	75	32	2.67
NC_022067	Mycobacterium phage Wanda	240	159	8.33
NC_023602	Mycobacterium phage 32HC	86	53	5.81
NC_018875	Epinotia aporema granulovirus	132	8	1.52
NC_016072	Megavirus chiliensis	1120	1546	8.48
NC_021558	Paenibacillus phage PG1	67	6	2.99
NC_023502	Rhizobium phage vB_RleS_L338C	181	115	7.18
NC_023607	Mycobacterium phage 40AC	90	104	15.56
NC_025467	Enterococcus phage vB_Efae230P-4	25	3	4.00
NC_022323	Escherichia phage JES2013	220	47	6.36
NC_000929	Escherichia virus Mu	55	17	16.36
NC_023426	Anomala cuprea entomopoxvirus	263	274	2.28
NC_008574	Ralstonia phage RSM1	15	8	6.67
NC_020848	Vibrio phage VBP47	115	43	9.57
NC_019513	Staphylococcus phage SMSAP5	42	47	19.05
NC_021348	Mycobacterium phage ArcherS7	237	116	5.91
NC_021344	Escherichia phage Lw1	273	88	9.16
NC_025449	Escherichia phage ECML-134	270	66	8.52
NC_023610	Erwinia phage PhiEaH1	241	94	3.73
NC_025466	Shewanella sp. phage 3/49	70	59	15.71
NC_018272	Nonlabens phage P12024L	58	96	34.48
NC_018847	Propionibacterium phage ATCC29399B_T	46	3	6.52
NC_024451	Armadillidium vulgare iridescent virus	203	120	5.91
NC_025458	Shewanella sp. phage 1/41	69	36	15.94
NC_015457	Shigella phage Shfl2	265	69	8.68
NC_015719	Escherichia phage K30	49	47	18.37
NC_012788	Mycobacterium phage Angel	61	32	4.92
NC_013643	Enterococcus phage phiFL2A	63	26	11.11
NC_023553	Mycobacterium phage Echild	100	67	10.00
NC_005882	Burkholderia virus BcepMu	53	33	15.09
NC_019506	Clostridium phage phiCP13O	55	17	10.91
NC_014637	Cafeteria roenbergensis virus BV-PW1	544	1031	11.40
NC_013694	Mycobacterium phage Peaches	86	155	17.44
NC_022968	Escherichia phage 4MG	271	103	7.01
NC_019921	Staphylococcus phage phi5967PVL	42	4	2.38
NC_007048	Staphylococcus phage 69	69	7	1.45
NC_013645	Streptococcus phage Abc2	48	2	4.17
NC_015285	Prochlorococcus phage Syn33	227	426	31.28
NC_023600	Mycobacterium phage Jolie1	98	24	6.12
NC_020199	Staphylococcus phage phi7401PVL	44	61	22.73
NC_012223	Escherichia virus SSL2009a	67	42	13.43
NC_019448	Staphylococcus phage GH15	214	62	6.07
NC_024203	Lactococcus phage P092	76	2	2.63
NC_023568	Vibrio phage VH7D	327	202	11.93
NC_019723	Enterobacteria phage HK630	69	41	14.49
NC_024789	Escherichia phage vB_EcoS_AKS96	74	30	6.76
NC_008203	Mycobacterium phage Che12	98	39	10.20
NC_016658	Cyanophage NATL1A-7	65	31	16.92
NC_001909	Lactococcus virus bIL170	64	13	3.12
NC_001491	Equid alphaherpesvirus 1	80	28	2.50
NC_011166	Pseudomonas phage LMA2	94	223	96.81
NC_024217	Nitrincola phage 1M3-16	144	70	14.58
NC_020838	Synechococcus phage S-RIP2	54	161	29.63
NC_006883	Prochlorococcus phage P-SSM2	334	850	30.24
NC_021332	Staphylococcus phage StauST398-3	69	32	8.70
NC_001271	Yersinia phage phiYeO3-12	59	88	22.03
NC_007151	Chrysodeixis chalcites nucleopolyhedrovirus	151	27	3.31
NC_019450	Pseudomonas phage JG004	161	36	8.07
NC_005857	Klebsiella phage phiKO2	64	57	18.75
NC_004928	Enterobacteria phage RB69	273	55	6.96
NC_023701	Mycobacterium phage Acadian	97	44	8.25
NC_015294	Pseudomonas phage PAK_P1	181	42	8.84
NC_017940	European catfish virus	136	94	5.88
NC_023710	Mycobacterium phage RidgeCB	94	37	8.51
NC_020843	Vibrio phage 11895-B1	196	77	6.63
NC_024386	Leuconostoc phage phiLN25	41	3	7.32
NC_004003	Goatpox virus Pellor	150	25	4.00
NC_003389	Swinepox virus	150	55	4.67
NC_020486	Synechococcus phage S-RIM8 A.HR1	211	453	30.33
NC_003356	Enterobacteria phage phiP27	58	120	31.03
NC_023580	Mycobacterium phage Saal	101	35	6.93
NC_020846	Vibrio phage pYD21-A	74	46	10.81
NC_021319	Halovirus HCTV-2	86	17	2.33
NC_020847	Prochlorococcus phage MED4-184	59	57	27.12
NC_026928	Synechococcus phage ACG-2014e	213	429	30.52
NC_021561	Vibrio phage pYD38-B	57	19	10.53
NC_019721	Enterobacterial phage mEp390	59	79	20.34
NC_007064	Staphylococcus phage 92	64	18	9.38
NC_005337	Bovine papular stomatitis virus	131	14	2.29
NC_022086	Mycobacterium phage LittleCherry	87	74	11.49
NC_023571	Oenococcus phage phiS11	59	35	6.78
NC_001847	Bovine alphaherpesvirus 1	70	31	2.86
NC_025471	Idiomarinaceae phage Phi1M2-2	65	50	13.85
NC_000852	Paramecium bursaria Chlorella virus 1	802	697	6.61
NC_008201	Mannheimia phage phiMHaA1	49	39	14.29
NC_023606	Mycobacterium phage CRB1	94	77	8.51
NC_015283	Prochlorococcus phage P-RSM4	239	516	32.64
NC_012027	Mycobacterium phage Phlyer	103	24	6.80
NC_023503	Streptococcus phage 20617	68	115	7.35
NC_023693	Enterobacteria phage phi92	250	343	7.60
NC_004105	Ectromelia virus	173	78	4.05
NC_021067	Vibrio phage helene 12B3	263	104	6.84
NC_002665	Bovine gammaherpesvirus 4	79	11	3.80
NC_009603	Microbacterium phage Min1	77	86	11.69
NC_008206	Mycobacterium phage Wildcat	148	69	5.41
NC_021794	Cellulophaga phage phi18:3	123	46	13.01
NC_016656	Cyanophage P-SSP2	56	42	23.21
NC_027351	Salmonella phage SSE121	242	105	9.09
NC_019422	Clostridium phage phiMMP04	51	27	9.80
NC_007051	Staphylococcus phage 2638A	57	50	14.04
NC_019710	Enterobacteria phage HK140	71	42	19.72
NC_011756	Pseudomonas phage SN	92	223	94.57
NC_012742	Xanthomonas phage phiL7	58	60	22.41
NC_008562	Microcystis aeruginosa phage Ma-LMM01	184	155	7.61
NC_023569	Vibrio phage SHOU24	96	24	6.25
NC_015208	Pseudomonas phage phi15	50	45	22.00
NC_006820	Synechococcus phage S-PM2	244	380	25.41
NC_008584	Thermus phage phiYS40	170	152	5.88
NC_000872	Streptococcus phage Sfi21	50	3	4.00
NC_009233	Heliothis virescens ascovirus 3e	180	6	1.67
NC_021539	Listeria phage LP-030-2	69	32	5.80
NC_011216	Burkholderia phage KS10	49	35	10.20
NC_002331	Xestia c-nigrum granulovirus	181	7	2.21
NC_020844	Salicola phage CGphi29	64	154	20.31
NC_020870	Leuconostoc phage phiLN04	39	3	2.56
NC_018280	Celeribacter phage P12053L	56	271	33.93
NC_009811	Listeria virus A511	190	50	4.21
NC_004112	Lactobacillus phage A2	61	28	9.84
NC_020204	Klebsiella phage JD001	68	46	14.71
NC_018277	Staphylococcus phage SpaA1	63	12	6.35
NC_019517	Escherichia phage FV3	218	39	5.96
NC_024136	Mycobacterium phage Seabiscuit	94	30	9.57
NC_013594	Escherichia phage D108	57	18	15.79
NC_017984	Acinetobacter bacteriophage AP22	89	136	10.11
NC_014662	Enterobacter phage CC31	279	60	8.60
NC_019455	Haemophilus phage SuMu	55	13	14.55
NC_015273	Burkholderia phage KS14	44	12	6.82
NC_019725	Escherichia phage ADB-2	78	26	6.41
NC_024207	Bacillus phage Evoli	294	85	2.38
NC_008798	Staphylococcus phage phiETA2	69	8	2.90
NC_002214	Streptococcus phage Sfi11	51	3	3.92
NC_005309	Canarypox virus	328	54	3.96
NC_008363	Lactococcus virus P008	58	11	1.72
NC_019419	Escherichia virus JL1	60	42	15.00
NC_023556	Achromobacter phage JWAlpha	91	24	10.99
NC_024368	Mycobacterium phage Pinto	87	54	9.20
NC_016655	Rhodococcus phage REQ1	85	34	10.59
NC_024361	Streptococcus phage DCC1738	56	12	12.50
NC_005282	Salmonella phage FelixO1	131	32	11.45
NC_021249	Choristoneura rosaceana entomopoxvirus 'L'	296	30	3.04
NC_011645	Bacillus phage TP21-L	56	35	8.93
NC_021061	Mycobacterium phage Butters	66	50	10.61
NC_008152	Escherichia virus K1-5	52	24	13.46
NC_007057	Staphylococcus phage 96	74	18	4.05
NC_016158	Escherichia phage HK639	76	51	14.47
NC_022971	Pseudomonas phage phiIBB-PAA2	69	194	14.49
NC_006884	Prochlorococcus phage P-SSM4	221	494	31.22
NC_025470	Shewanella sp. phage 1/40	236	65	5.93
NC_018860	Bacillus phage BCP78	227	123	3.08
NC_008520	Anticarsia gemmatalis nucleopolyhedrovirus	158	5	0.63
NC_009235	Burkholderia virus phi6442	71	66	18.31
NC_021533	Mycobacterium phage BTCU-1	73	85	12.33
NC_001697	Haemophilus phage HP1	42	13	11.90
NC_007045	Staphylococcus phage PT1028	22	5	4.55
NC_013055	Burkholderia phage KS9	50	175	32.00
NC_009236	Burkholderia virus phiE122	50	24	20.00
NC_024150	California sea lion adenovirus 1	30	7	6.67
NC_023591	Mycobacterium phage Adler	125	35	4.00
NC_021329	Halovirus HRTV-4	73	11	1.37
NC_020082	Edwardsiella phage MSW-3	66	24	9.09
NC_019930	Tetrasphaera phage TJE1	66	20	6.06
NC_007809	Pseudomonas phage M6	85	121	20.00
NC_018843	Salmonella phage SSU5	130	217	19.23
NC_001942	Mycoplasma phage MAV1	15	2	6.67
NC_003907	Vibrio phage VpV262	67	4	4.48
NC_006940	Salmonella phage SS3e	58	29	17.24
NC_007967	Streptomyces phage mu1/6	52	20	11.54
NC_023609	Mycobacterium phage RhynO	73	104	17.81
NC_011802	Salmonella phage SE1	67	60	14.93
NC_000899	Fowl aviadenovirus D	29	2	3.45
NC_004156	Helicoverpa zea nudivirus 2	113	109	5.31
NC_019909	Yersinia phage phiR1-RT	262	57	8.02
NC_013692	Pseudomonas phage LIT1	90	23	7.78
NC_024355	Staphylococcus phage 6ec	142	78	9.86
NC_024382	Alcelaphine gammaherpesvirus 2	70	6	4.29
NC_028854	Paenibacillus phage Sitara	74	83	16.22
NC_011167	Bacillus virus IEBH	86	7	5.81
NC_022766	Bacillus virus Glittering	78	111	3.85
NC_010583	Escherichia virus EPS7	170	90	15.29
NC_018282	Pseudomonas phage MP1412	77	133	23.38
NC_004775	Salmonella phage epsilon15	51	111	35.29
NC_004629	Pseudomonas phage phiKZ	306	102	17.97
NC_024138	Mycobacterium phage MosMoris	111	33	4.50
NC_009814	Listeria phage P35	56	6	5.36
NC_021309	Mycobacterium phage Phrux	141	149	9.22
NC_007917	Clostridium virus phiCD119	79	39	8.86
NC_019443	Synechococcus phage metaG-MbCM1	234	323	26.92
NC_006549	Singapore grouper iridovirus	162	97	4.32
NC_023614	Croceibacter phage P2559Y	51	86	25.49
NC_008617	Staphylococcus phage phiNM3	65	25	10.77
NC_003287	Enterobacteria phage M13	10	8	10.00
NC_015049	Cricetid gammaherpesvirus 2	82	12	2.44
NC_024384	Listeria phage LP-030-3	73	5	2.74
NC_011285	Mycobacterium phage Troll4	84	38	4.76
NC_011272	Mycobacterium phage Rizal	220	117	5.45
NC_011041	Escherichia phage V5	233	41	5.58
NC_011976	Salmonella phage epsilon34	73	84	12.33
NC_018519	Blueberry virus A	10	5	10.00
NC_028788	Paenibacillus phage Diva	60	82	18.33
NC_023499	Staphylococcus phage StauST398-4	65	32	10.77
NC_017969	Escherichia virus AKFV33	160	112	18.75
NC_015293	Pseudoalteromonas phage H105/1	52	50	7.69
NC_022775	Lactobacillus phage phiJB	46	15	6.52
NC_004002	Sheeppox virus	148	24	4.05
NC_004745	Yersinia phage L-413C	40	7	10.00
NC_024148	Mycobacterium phage Phantastic	91	101	13.19
NC_005210	Beet pseudoyellows virus	8	8	12.50
NC_023593	Escherichia phage KBNP1711	126	110	12.70
NC_019768	Enterobacteria phage HK106	65	48	18.46
NC_013801	Croton yellow vein mosaic alphasatellite	1	1	100.00
NC_009011	Spodoptera frugiperda multiple nucleopolyhedrovirus	143	2	1.40
NC_001266	Rabbit fibroma virus	165	20	3.03
NC_026926	Synechococcus phage ACG-2014j	230	452	30.87
NC_010808	Staphylococcus phage phiMR25	70	20	5.71
NC_010240	Helicoverpa armigera granulovirus	179	8	2.23
NC_021788	Cellulophaga phage phi4:1	197	58	7.61
NC_020080	Klebsiella phage KP27	276	98	9.06
NC_021795	Cellulophaga phage phi17:1	65	33	12.31
NC_016924	Cotia virus SPAn232	185	17	2.70
NC_023548	Citrobacter phage CR8	57	66	21.05
NC_021247	Adoxophyes honmai entomopoxvirus 'L'	247	12	1.21
NC_021335	Halovirus HRTV-7	105	1	0.95
NC_014791	Ugandan cassava brown streak virus	2	3	50.00
NC_011357	Stx2-converting phage 1717	77	100	15.58
NC_015270	Enterococcus phage EFRM31	23	16	17.39
NC_011534	Kluyvera phage Kvp1	47	77	27.66
NC_023704	Mycobacterium phage Doom	85	49	8.24
NC_009815	Listeria phage A006	62	11	6.45
NC_018269	Marinomonas phage P12026	54	126	16.67
NC_015279	Synechococcus phage S-SM2	267	585	32.58
NC_021774	Salmonella phage FSL SP-004	40	8	12.50
NC_027383	Escherichia phage YD-2008.s	62	36	14.52
NC_015938	Salmonella phage 7-11	151	170	15.89
NC_020231	Caviid betaherpesvirus 2	110	6	0.91
NC_007019	Streptococcus phage 2972	44	17	6.82
NC_023561	Enterobacter phage PG7	294	60	8.84
NC_023498	Mycobacterium phage Validus	105	27	8.57
NC_009127	Cyprinid herpesvirus 3	163	38	2.45
NC_005137	Choristoneura fumiferana DEF multiple nucleopolyhedrovirus	149	4	2.01
NC_004686	Mycobacterium phage Che9d	111	93	8.11
NC_019509	Cronobacter virus ESP29491	45	30	11.11
NC_020871	Listeria phage vB_LmoM_AG20	178	45	4.49
NC_011039	Mycobacterium phage Predator	92	23	3.26
NC_013598	Streptococcus phage Alq132	44	9	9.09
NC_006268	Sulfolobus virus STSV1	74	2	2.70
NC_021784	Thermus phage phi OH2	60	47	16.67
NC_010342	Halomonas phage phiHAP-1	46	35	13.04
NC_010495	Salmonella phage Vi II-E1	51	75	17.65
NC_021780	Salmonella phage FSLSP088	70	47	11.43
NC_013036	Anatid alphaherpesvirus 1	77	9	1.30
NC_023744	Mycobacterium phage DS6A	97	26	9.28
NC_016447	Aotine betaherpesvirus 1	146	2	0.68
NC_023566	Rhizobium phage vB_RglS_P106B	95	50	12.63
NC_022563	Squirrelpox virus	141	21	2.13
NC_010276	Orgyia leucostigma nucleopolyhedrovirus	135	42	3.70
NC_019918	Pseudomonas phage vB_PaeM_C2-10_Ab1	158	39	8.23
NC_003345	Halorubrum phage HF2	114	31	3.51
NC_023718	Pseudomonas phage phiPto-bp6g	68	2	2.94
NC_005069	Yersinia phage PY54	67	36	10.45
NC_015251	Aeromonas virus 65	437	107	5.72
NC_023612	Geobacillus phage GBK2	62	159	16.13
NC_012783	Cercopithecine betaherpesvirus 5	177	2	0.56
NC_023501	Bacillus phage BPS10C	271	24	2.95
NC_007709	Xanthomonas phage OP1	59	50	25.42
NC_019538	Aeromonas phage CC2	427	81	4.68
NC_021334	Mycobacterium phage WIVsmall	83	31	8.43
NC_016567	Vibrio phage SIO-2	115	18	1.74
NC_021853	Lactococcus phage 340	58	13	3.45
NC_013600	Sodalis phage SO1	59	44	16.95
NC_006623	Gallid alphaherpesvirus 1	79	5	1.27
NC_023681	Mamestra brassicae multiple nucleopolyhedrovirus	159	27	2.52
NC_007605	Human gammaherpesvirus 4	95	18	2.11
NC_011703	Pseudomonas phage 14-1	90	225	96.67
NC_016509	Grapevine leafroll-associated virus 1	10	2	10.00
NC_022965	Mycobacterium phage CloudWang3	103	101	17.48
NC_021070	Vibrio phage martha 12B12	51	12	19.61
NC_014765	Bathycoccus sp. RCC1105 virus BpV1	203	680	30.05
NC_005263	Burkholderia virus Bcep1	71	49	14.08
NC_019514	Erwinia phage vB_EamP-S6	115	42	7.83
NC_005833	Escherichia virus T1	78	39	10.26
NC_024450	Falconid herpesvirus 1	130	31	1.54
NC_015721	Bdellovibrio phage phi1402	42	2	4.76
NC_011551	Bacteriophage APSE-2	41	122	26.83
NC_023567	Klebsiella phage F19	51	6	5.88
NC_002577	Gallid alphaherpesvirus 3	76	8	2.63
NC_008717	Pseudomonas phage DMS3	52	13	13.46
NC_002656	Mycobacterium phage Bxb1	86	41	5.81
NC_018085	Bacillus phage BtCS33	57	43	10.53
NC_003050	Streptococcus phage MM1	53	33	9.43
NC_015960	Yokapox virus	186	68	2.69
NC_021789	Cellulophaga phage phi19:3	129	45	9.30
NC_019502	Bacillus phage phIS3501	51	34	11.76
NC_016164	Synechococcus phage S-CBS1	43	123	30.23
NC_019709	Enterobacteria phage mEpX1	66	39	18.18
NC_021535	Mycobacterium phage Jobu08	85	105	11.76
NC_011399	Ralstonia phage RSM3	14	8	7.14
NC_016761	Salmonella phage SPN1S	52	107	34.62
NC_024375	Listeria phage LP-026	114	35	5.26
NC_025429	Rhizobium phage vB_RleM_P10VF	257	163	10.12
NC_023712	Mycobacterium phage Firecracker	128	53	6.25
NC_021863	Staphylococcus phage SA13	62	15	6.45
NC_021302	Mycobacterium phage Fishburne	77	67	6.49
NC_001962	Bombyx mori nucleopolyhedrovirus	143	13	2.10
NC_017976	Bacillus phage PBC1	50	44	12.00
NC_015456	Shigella virus Shfl1	80	31	7.50
NC_018836	Streptomyces phage phiHau3	72	38	13.89
NC_020477	Bacillus virus Eoghan	75	110	4.00
NC_025459	Aeromonas phage pAh6-C	86	12	6.98
NC_011421	Bacillus virus SPO1	204	162	5.88
NC_022069	Mycobacterium phage Jabbawokkie	106	27	5.66
NC_020158	Halovirus HVTV-1	173	87	7.51
NC_015265	Burkholderia phage KS5	46	20	15.22
NC_008208	Aeromonas virus 25	242	65	7.85
NC_008207	Mycobacterium phage Catera	218	114	5.96
NC_025425	Enterobacteria phage GEC-3S	277	53	7.58
NC_011616	Spodoptera litura nucleopolyhedrovirus II	147	6	1.36
NC_023715	Yersinia phage Yep-phi	45	60	22.22
NC_019508	Clostridium phage phiCP34O	52	17	9.62
NC_012756	Streptococcus phage PH10	54	3	3.70
NC_020481	Pelagibacter phage HTVC010P	64	209	32.81
NC_019919	Yersinia phage phiR201	166	132	19.28
NC_023747	Mycobacterium phage BarrelRoll	95	29	6.32
NC_011308	Listeria phage P40	62	1	1.61
NC_008586	Ectropis obliqua nucleopolyhedrovirus	126	18	1.59
NC_008195	Mycobacterium phage Cooper	99	11	6.06
NC_018279	Salmonella phage vB_SosS_Oslo	79	125	15.19
NC_007646	Ovine gammaherpesvirus 2	73	14	4.11
NC_020857	Cyanophage MED4-117	63	59	26.98
NC_019496	Clostridium phage phiCP26F	49	18	12.24
NC_022915	Ralstonia phage RSK1	54	109	31.48
NC_004165	Bacillus virus B103	17	36	5.88
NC_011022	Mycobacterium phage DD5	87	61	8.05
NC_022988	Mycobacterium phage Bruin	141	153	9.93
NC_002642	Yaba-like disease virus	152	22	3.29
NC_023588	Stenotrophomonas phage Smp131	46	11	13.04
NC_020081	Bacillus phage phiAGATE	210	147	7.62
NC_001895	Escherichia virus P2	43	13	11.63
NC_019511	Staphylococcus virus SA11	186	51	4.30
NC_022060	Mycobacterium phage Velveteen	100	33	4.00
NC_022914	Staphylococcus phage phiRS7	62	54	11.29
NC_018850	Pseudomonas phage UFV-P2	75	180	18.67
NC_022752	Salmonella phage SETP13	69	51	14.49
NC_019488	Salmonella phage RE-2010	47	14	12.77
NC_015933	Escherichia phage vB_EcoP_G7C	79	9	11.39
NC_022059	Mycobacterium phage DrDrey	144	146	9.03
NC_025444	Mycobacterium phage RedRock	95	67	11.58
NC_022758	Staphylococcus phage YMC/09/04/R1988	62	60	16.13
